,depot,INST0282_N25_N12_P000,INST0282_N25_N12_D000,INST0282_N25_N12_P001,INST0282_N25_N12_D001,INST0282_N25_N12_P002,INST0282_N25_N12_D002,INST0282_N25_N12_P003,INST0282_N25_N12_D003,INST0282_N25_N12_P004,INST0282_N25_N12_D004,INST0282_N25_N12_P005,INST0282_N25_N12_D005,INST0282_N25_N12_P006,INST0282_N25_N12_D006,INST0282_N25_N12_P007,INST0282_N25_N12_D007,INST0282_N25_N12_P008,INST0282_N25_N12_D008,INST0282_N25_N12_P009,INST0282_N25_N12_D009,INST0282_N25_N12_P010,INST0282_N25_N12_D010,INST0282_N25_N12_P011,INST0282_N25_N12_D011,INST0282_N25_N12_P012,INST0282_N25_N12_D012,INST0282_N25_N12_P013,INST0282_N25_N12_D013,INST0282_N25_N12_P014,INST0282_N25_N12_D014,INST0282_N25_N12_P015,INST0282_N25_N12_D015,INST0282_N25_N12_P016,INST0282_N25_N12_D016,INST0282_N25_N12_P017,INST0282_N25_N12_D017,INST0282_N25_N12_P018,INST0282_N25_N12_D018,INST0282_N25_N12_P019,INST0282_N25_N12_D019,INST0282_N25_N12_P020,INST0282_N25_N12_D020,INST0282_N25_N12_P021,INST0282_N25_N12_D021,INST0282_N25_N12_P022,INST0282_N25_N12_D022,INST0282_N25_N12_P023,INST0282_N25_N12_D023,INST0282_N25_N12_P024,INST0282_N25_N12_D024
depot,0.0,18.791,0.0,35.534,18.283,18.283,122.278,0.0,82.833,18.283,30.471,35.653,0.0,27.709,122.278,40.266,93.214,0.0,47.339,47.339,30.471,0.0,47.339,18.283,143.5,18.791,82.833,18.283,35.653,0.0,82.833,18.791,27.709,0.0,40.266,30.471,35.653,35.653,47.339,0.0,35.653,35.653,35.534,27.709,18.283,35.653,0.0,40.266,18.283,18.283,131.141
INST0282_N25_N12_P000,18.791,0.0,18.791,19.671,7.201,7.201,119.262,18.791,66.32,7.201,13.759,34.294,18.791,11.477,119.262,21.8,87.958,18.791,61.784,61.784,13.759,18.791,61.784,7.201,132.823,0.0,66.32,7.201,34.294,18.791,66.32,0.0,11.477,18.791,21.8,13.759,34.294,34.294,61.784,18.791,34.294,34.294,19.671,11.477,7.201,34.294,18.791,21.8,7.201,7.201,134.365
INST0282_N25_N12_D000,0.0,18.791,0.0,35.534,18.283,18.283,122.278,0.0,82.833,18.283,30.471,35.653,0.0,27.709,122.278,40.266,93.214,0.0,47.339,47.339,30.471,0.0,47.339,18.283,143.5,18.791,82.833,18.283,35.653,0.0,82.833,18.791,27.709,0.0,40.266,30.471,35.653,35.653,47.339,0.0,35.653,35.653,35.534,27.709,18.283,35.653,0.0,40.266,18.283,18.283,131.141
INST0282_N25_N12_P001,35.534,19.671,35.534,0.0,17.254,17.254,132.815,35.534,64.86,17.254,23.353,28.616,35.534,23.461,132.815,20.683,100.436,35.534,81.17,81.17,23.353,35.534,81.17,17.254,113.8,19.671,64.86,17.254,28.616,35.534,64.86,19.671,23.461,35.534,20.683,23.353,28.616,28.616,81.17,35.534,28.616,28.616,0.0,23.461,17.254,28.616,35.534,20.683,17.254,17.254,125.319
INST0282_N25_N12_D001,18.283,7.201,18.283,17.254,0.0,0.0,126.352,18.283,71.779,0.0,20.176,27.111,18.283,18.229,126.352,26.126,95.136,18.283,64.45,64.45,20.176,18.283,64.45,0.0,127.973,7.201,71.779,0.0,27.111,18.283,71.779,7.201,18.229,18.283,26.126,20.176,27.111,27.111,64.45,18.283,27.111,27.111,17.254,18.229,0.0,27.111,18.283,26.126,0.0,0.0,127.166
INST0282_N25_N12_P002,18.283,7.201,18.283,17.254,0.0,0.0,126.352,18.283,71.779,0.0,20.176,27.111,18.283,18.229,126.352,26.126,95.136,18.283,64.45,64.45,20.176,18.283,64.45,0.0,127.973,7.201,71.779,0.0,27.111,18.283,71.779,7.201,18.229,18.283,26.126,20.176,27.111,27.111,64.45,18.283,27.111,27.111,17.254,18.229,0.0,27.111,18.283,26.126,0.0,0.0,127.166
INST0282_N25_N12_D002,122.278,119.262,122.278,132.815,126.352,126.352,0.0,122.278,95.428,126.352,109.689,153.371,122.278,110.207,0.0,113.909,32.884,122.278,104.379,104.379,109.689,122.278,104.379,126.352,239.676,119.262,95.428,126.352,153.371,122.278,95.428,119.262,110.207,122.278,113.909,109.689,153.371,153.371,104.379,122.278,153.371,153.371,132.815,110.207,126.352,153.371,122.278,113.909,126.352,126.352,252.84
INST0282_N25_N12_P003,0.0,18.791,0.0,35.534,18.283,18.283,122.278,0.0,82.833,18.283,30.471,35.653,0.0,27.709,122.278,40.266,93.214,0.0,47.339,47.339,30.471,0.0,47.339,18.283,143.5,18.791,82.833,18.283,35.653,0.0,82.833,18.791,27.709,0.0,40.266,30.471,35.653,35.653,47.339,0.0,35.653,35.653,35.534,27.709,18.283,35.653,0.0,40.266,18.283,18.283,131.141
INST0282_N25_N12_D003,82.833,66.32,82.833,64.86,71.779,71.779,95.428,82.833,0.0,71.779,52.8,93.371,82.833,55.435,95.428,46.019,65.084,82.833,107.477,107.477,52.8,82.833,107.477,71.779,149.304,66.32,0.0,71.779,93.371,82.833,0.0,66.32,55.435,82.833,46.019,52.8,93.371,93.371,107.477,82.833,93.371,93.371,64.86,55.435,71.779,93.371,82.833,46.019,71.779,71.779,187.822
INST0282_N25_N12_P004,18.283,7.201,18.283,17.254,0.0,0.0,126.352,18.283,71.779,0.0,20.176,27.111,18.283,18.229,126.352,26.126,95.136,18.283,64.45,64.45,20.176,18.283,64.45,0.0,127.973,7.201,71.779,0.0,27.111,18.283,71.779,7.201,18.229,18.283,26.126,20.176,27.111,27.111,64.45,18.283,27.111,27.111,17.254,18.229,0.0,27.111,18.283,26.126,0.0,0.0,127.166
