,depot,INST0259_N22_W19_P000,INST0259_N22_W19_D000,INST0259_N22_W19_P001,INST0259_N22_W19_D001,INST0259_N22_W19_P002,INST0259_N22_W19_D002,INST0259_N22_W19_P003,INST0259_N22_W19_D003,INST0259_N22_W19_P004,INST0259_N22_W19_D004,INST0259_N22_W19_P005,INST0259_N22_W19_D005,INST0259_N22_W19_P006,INST0259_N22_W19_D006,INST0259_N22_W19_P007,INST0259_N22_W19_D007,INST0259_N22_W19_P008,INST0259_N22_W19_D008,INST0259_N22_W19_P009,INST0259_N22_W19_D009,INST0259_N22_W19_P010,INST0259_N22_W19_D010,INST0259_N22_W19_P011,INST0259_N22_W19_D011,INST0259_N22_W19_P012,INST0259_N22_W19_D012,INST0259_N22_W19_P013,INST0259_N22_W19_D013,INST0259_N22_W19_P014,INST0259_N22_W19_D014,INST0259_N22_W19_P015,INST0259_N22_W19_D015,INST0259_N22_W19_P016,INST0259_N22_W19_D016,INST0259_N22_W19_P017,INST0259_N22_W19_D017,INST0259_N22_W19_P018,INST0259_N22_W19_D018,INST0259_N22_W19_P019,INST0259_N22_W19_D019,INST0259_N22_W19_P020,INST0259_N22_W19_D020,INST0259_N22_W19_P021,INST0259_N22_W19_D021
depot,0.0,54.132,123.055,14.722,93.687,71.944,104.634,14.722,120.757,14.722,120.757,71.944,54.132,0.0,71.944,71.944,14.722,71.944,54.132,71.944,93.687,54.132,93.687,14.722,109.245,54.132,123.055,0.0,120.757,54.132,109.245,71.944,0.0,71.944,54.132,0.0,71.944,71.944,123.055,14.722,54.132,54.132,93.687,14.722,93.687
INST0259_N22_W19_P000,54.132,0.0,69.129,40.846,40.063,20.342,57.646,40.846,70.903,40.846,70.903,20.342,0.0,54.132,20.342,20.342,40.846,20.342,0.0,20.342,40.063,0.0,40.063,40.846,55.217,0.0,69.129,54.132,70.903,0.0,55.217,20.342,54.132,20.342,0.0,54.132,20.342,20.342,69.129,40.846,0.0,0.0,40.063,40.846,40.063
INST0259_N22_W19_D000,123.055,69.129,0.0,109.164,29.48,51.842,52.507,109.164,28.769,109.164,28.769,51.842,69.129,123.055,51.842,51.842,109.164,51.842,69.129,51.842,29.48,69.129,29.48,109.164,18.744,69.129,0.0,123.055,28.769,69.129,18.744,51.842,123.055,51.842,69.129,123.055,51.842,51.842,0.0,109.164,69.129,69.129,29.48,109.164,29.48
INST0259_N22_W19_P001,14.722,40.846,109.164,0.0,79.708,57.687,94.442,0.0,106.091,0.0,106.091,57.687,40.846,14.722,57.687,57.687,0.0,57.687,40.846,57.687,79.708,40.846,79.708,0.0,96.036,40.846,109.164,14.722,106.091,40.846,96.036,57.687,14.722,57.687,40.846,14.722,57.687,57.687,109.164,0.0,40.846,40.846,79.708,0.0,79.708
INST0259_N22_W19_D001,93.687,40.063,29.48,79.708,0.0,22.455,46.518,79.708,35.196,79.708,35.196,22.455,40.063,93.687,22.455,22.455,79.708,22.455,40.063,22.455,0.0,40.063,0.0,79.708,20.581,40.063,29.48,93.687,35.196,40.063,20.581,22.455,93.687,22.455,40.063,93.687,22.455,22.455,29.48,79.708,40.063,40.063,0.0,79.708,0.0
INST0259_N22_W19_P002,71.944,20.342,51.842,57.687,22.455,0.0,55.918,57.687,50.611,57.687,50.611,0.0,20.342,71.944,0.0,0.0,57.687,0.0,20.342,0.0,22.455,20.342,22.455,57.687,41.349,20.342,51.842,71.944,50.611,20.342,41.349,0.0,71.944,0.0,20.342,71.944,0.0,0.0,51.842,57.687,20.342,20.342,22.455,57.687,22.455
INST0259_N22_W19_D002,104.634,57.646,52.507,94.442,46.518,55.918,0.0,94.442,75.918,94.442,75.918,55.918,57.646,104.634,55.918,55.918,94.442,55.918,57.646,55.918,46.518,57.646,46.518,94.442,35.155,57.646,52.507,104.634,75.918,57.646,35.155,55.918,104.634,55.918,57.646,104.634,55.918,55.918,52.507,94.442,57.646,57.646,46.518,94.442,46.518
INST0259_N22_W19_P003,14.722,40.846,109.164,0.0,79.708,57.687,94.442,0.0,106.091,0.0,106.091,57.687,40.846,14.722,57.687,57.687,0.0,57.687,40.846,57.687,79.708,40.846,79.708,0.0,96.036,40.846,109.164,14.722,106.091,40.846,96.036,57.687,14.722,57.687,40.846,14.722,57.687,57.687,109.164,0.0,40.846,40.846,79.708,0.0,79.708
INST0259_N22_W19_D003,120.757,70.903,28.769,106.091,35.196,50.611,75.918,106.091,0.0,106.091,0.0,50.611,70.903,120.757,50.611,50.611,106.091,50.611,70.903,50.611,35.196,70.903,35.196,106.091,41.092,70.903,28.769,120.757,0.0,70.903,41.092,50.611,120.757,50.611,70.903,120.757,50.611,50.611,28.769,106.091,70.903,70.903,35.196,106.091,35.196
INST0259_N22_W19_P004,14.722,40.846,109.164,0.0,79.708,57.687,94.442,0.0,106.091,0.0,106.091,57.687,40.846,14.722,57.687,57.687,0.0,57.687,40.846,57.687,79.708,40.846,79.708,0.0,96.036,40.846,109.164,14.722,106.091,40.846,96.036,57.687,14.722,57.687,40.846,14.722,57.687,57.687,109.164,0.0,40.846,40.846,79.708,0.0,79.708
INST0259_N22_W19_D004,120.757,70.903,28.769,106.091,35.196,50.611,75.918,106.091,0.0,106.091,0.0,50.611,70.903,120.757,50.611,50.611,106.091,50.611,70.903,50.611,35.196,70.903,35.196,106.091,41.092,70.903,28.769,120.757,0.0,70.903,41.092,50.611,120.757,50.611,70.903,120.757,50.611,50.611,28.769,106.091,70.903,70.903,35.196,106.091,35.196
INST0259_N22_W19_P005,71.944,20.342,51.842,57.687,22.455,0.0,55.918,57.687,50.611,57.687,50.611,0.0,20.342,71.944,0.0,0.0,57.687,0.0,20.342,0.0,22.455,20.342,22.455,57.687,41.349,20.342,51.842,71.944,50.611,20.342,41.349,0.0,71.944,0.0,20.342,71.944,0.0,0.0,51.842,57.687,20.342,20.342,22.455,57.687,22.455
INST0259_N22_W19_D005,54.132,0.0,69.129,40.846,40.063,20.342,57.646,40.846,70.903,40.846,70.903,20.342,0.0,54.132,20.342,20.342,40.846,20.342,0.0,20.342,40.063,0.0,40.063,40.846,55.217,0.0,69.129,54.132,70.903,0.0,55.217,20.342,54.132,20.342,0.0,54.132,20.342,20.342,69.129,40.846,0.0,0.0,40.063,40.846,40.063
INST0259_N22_W19_P006,0.0,54.132,123.055,14.722,93.687,71.944,104.634,14.722,120.757,14.722,120.757,71.944,54.132,0.0,71.944,71.944,14.722,71.944,54.132,71.944,93.687,54.132,93.687,14.722,109.245,54.132,123.055,0.0,120.757,54.132,109.245,71.944,0.0,71.944,54.132,0.0,71.944,71.944,123.055,14.722,54.132,54.132,93.687,14.722,93.687
INST0259_N22_W19_D006,71.944,20.342,51.842,57.687,22.455,0.0,55.918,57.687,50.611,57.687,50.611,0.0,20.342,71.944,0.0,0.0,57.687,0.0,20.342,0.0,22.455,20.342,22.455,57.687,41.349,20.342,51.842,71.944,50.611,20.342,41.349,0.0,71.944,0.0,20.342,71.944,0.0,0.0,51.842,57.687,20.342,20.342,22.455,57.687,22.455
INST0259_N22_W19_P007,71.944,20.342,51.842,57.687,22.455,0.0,55.918,57.687,50.611,57.687,50.611,0.0,20.342,71.944,0.0,0.0,57.687,0.0,20.342,0.0,22.455,20.342,22.455,57.687,41.349,20.342,51.842,71.944,50.611,20.342,41.349,0.0,71.944,0.0,20.342,71.944,0.0,0.0,51.842,57.687,20.342,20.342,22.455,57.687,22.455
INST0259_N22_W19_D007,14.722,40.846,109.164,0.0,79.708,57.687,94.442,0.0,106.091,0.0,106.091,57.687,40.846,14.722,57.687,57.687,0.0,57.687,40.846,57.687,79.708,40.846,79.708,0.0,96.036,40.846,109.164,14.722,106.091,40.846,96.036,57.687,14.722,57.687,40.846,14.722,57.687,57.687,109.164,0.0,40.846,40.846,79.708,0.0,79.708
INST0259_N22_W19_P008,71.944,20.342,51.842,57.687,22.455,0.0,55.918,57.687,50.611,57.687,50.611,0.0,20.342,71.944,0.0,0.0,57.687,0.0,20.342,0.0,22.455,20.342,22.455,57.687,41.349,20.342,51.842,71.944,50.611,20.342,41.349,0.0,71.944,0.0,20.342,71.944,0.0,0.0,51.842,57.687,20.342,20.342,22.455,57.687,22.455
INST0259_N22_W19_D008,54.132,0.0,69.129,40.846,40.063,20.342,57.646,40.846,70.903,40.846,70.903,20.342,0.0,54.132,20.342,20.342,40.846,20.342,0.0,20.342,40.063,0.0,40.063,40.846,55.217,0.0,69.129,54.132,70.903,0.0,55.217,20.342,54.132,20.342,0.0,54.132,20.342,20.342,69.129,40.846,0.0,0.0,40.063,40.846,40.063
INST0259_N22_W19_P009,71.944,20.342,51.842,57.687,22.455,0.0,55.918,57.687,50.611,57.687,50.611,0.0,20.342,71.944,0.0,0.0,57.687,0.0,20.342,0.0,22.455,20.342,22.455,57.687,41.349,20.342,51.842,71.944,50.611,20.342,41.349,0.0,71.944,0.0,20.342,71.944,0.0,0.0,51.842,57.687,20.342,20.342,22.455,57.687,22.455
INST0259_N22_W19_D009,93.687,40.063,29.48,79.708,0.0,22.455,46.518,79.708,35.196,79.708,35.196,22.455,40.063,93.687,22.455,22.455,79.708,22.455,40.063,22.455,0.0,40.063,0.0,79.708,20.581,40.063,29.48,93.687,35.196,40.063,20.581,22.455,93.687,22.455,40.063,93.687,22.455,22.455,29.48,79.708,40.063,40.063,0.0,79.708,0.0
INST0259_N22_W19_P010,54.132,0.0,69.129,40.846,40.063,20.342,57.646,40.846,70.903,40.846,70.903,20.342,0.0,54.132,20.342,20.342,40.846,20.342,0.0,20.342,40.063,0.0,40.063,40.846,55.217,0.0,69.129,54.132,70.903,0.0,55.217,20.342,54.132,20.342,0.0,54.132,20.342,20.342,69.129,40.846,0.0,0.0,40.063,40.846,40.063
