,depot,INST0158_N15_S08_P000,INST0158_N15_S08_D000,INST0158_N15_S08_P001,INST0158_N15_S08_D001,INST0158_N15_S08_P002,INST0158_N15_S08_D002,INST0158_N15_S08_P003,INST0158_N15_S08_D003,INST0158_N15_S08_P004,INST0158_N15_S08_D004,INST0158_N15_S08_P005,INST0158_N15_S08_D005,INST0158_N15_S08_P006,INST0158_N15_S08_D006,INST0158_N15_S08_P007,INST0158_N15_S08_D007,INST0158_N15_S08_P008,INST0158_N15_S08_D008,INST0158_N15_S08_P009,INST0158_N15_S08_D009,INST0158_N15_S08_P010,INST0158_N15_S08_D010,INST0158_N15_S08_P011,INST0158_N15_S08_D011,INST0158_N15_S08_P012,INST0158_N15_S08_D012,INST0158_N15_S08_P013,INST0158_N15_S08_D013,INST0158_N15_S08_P014,INST0158_N15_S08_D014
depot,0.0,0.0,29.68,8.581,117.194,61.135,0.0,61.135,158.604,74.382,117.194,74.382,0.0,0.0,74.382,6.707,71.658,29.68,32.455,61.135,8.581,61.135,32.455,74.382,71.658,6.707,117.194,74.382,0.0,61.135,6.707
INST0158_N15_S08_P000,0.0,0.0,29.68,8.581,117.194,61.135,0.0,61.135,158.604,74.382,117.194,74.382,0.0,0.0,74.382,6.707,71.658,29.68,32.455,61.135,8.581,61.135,32.455,74.382,71.658,6.707,117.194,74.382,0.0,61.135,6.707
INST0158_N15_S08_D000,29.68,29.68,0.0,31.149,112.533,55.105,29.68,55.105,152.108,67.557,112.533,67.557,29.68,29.68,67.557,24.036,72.268,0.0,26.348,55.105,31.149,55.105,26.348,67.557,72.268,24.036,112.533,67.557,29.68,55.105,24.036
INST0158_N15_S08_P001,8.581,8.581,31.149,0.0,109.068,53.679,8.581,53.679,150.553,66.815,109.068,66.815,8.581,8.581,66.815,13.324,80.145,31.149,39.549,53.679,0.0,53.679,39.549,66.815,80.145,13.324,109.068,66.815,8.581,53.679,13.324
INST0158_N15_S08_D001,117.194,117.194,112.533,109.068,0.0,57.803,117.194,57.803,41.594,44.98,0.0,44.98,117.194,117.194,44.98,118.85,183.928,112.533,137.848,57.803,109.068,57.803,137.848,44.98,183.928,118.85,0.0,44.98,117.194,57.803,118.85
INST0158_N15_S08_P002,61.135,61.135,55.105,53.679,57.803,0.0,61.135,0.0,98.41,13.307,57.803,13.307,61.135,61.135,13.307,61.869,126.125,55.105,80.067,0.0,53.679,0.0,80.067,13.307,126.125,61.869,57.803,13.307,61.135,0.0,61.869
INST0158_N15_S08_D002,0.0,0.0,29.68,8.581,117.194,61.135,0.0,61.135,158.604,74.382,117.194,74.382,0.0,0.0,74.382,6.707,71.658,29.68,32.455,61.135,8.581,61.135,32.455,74.382,71.658,6.707,117.194,74.382,0.0,61.135,6.707
INST0158_N15_S08_P003,61.135,61.135,55.105,53.679,57.803,0.0,61.135,0.0,98.41,13.307,57.803,13.307,61.135,61.135,13.307,61.869,126.125,55.105,80.067,0.0,53.679,0.0,80.067,13.307,126.125,61.869,57.803,13.307,61.135,0.0,61.869
INST0158_N15_S08_D003,158.604,158.604,152.108,150.553,41.594,98.41,158.604,98.41,0.0,85.211,41.594,85.211,158.604,158.604,85.211,160.028,224.124,152.108,177.944,98.41,150.553,98.41,177.944,85.211,224.124,160.028,41.594,85.211,158.604,98.41,160.028
INST0158_N15_S08_P004,74.382,74.382,67.557,66.815,44.98,13.307,74.382,13.307,85.211,0.0,44.98,0.0,74.382,74.382,0.0,75.176,139.086,67.557,92.948,13.307,66.815,13.307,92.948,0.0,139.086,75.176,44.98,0.0,74.382,13.307,75.176
INST0158_N15_S08_D004,117.194,117.194,112.533,109.068,0.0,57.803,117.194,57.803,41.594,44.98,0.0,44.98,117.194,117.194,44.98,118.85,183.928,112.533,137.848,57.803,109.068,57.803,137.848,44.98,183.928,118.85,0.0,44.98,117.194,57.803,118.85
INST0158_N15_S08_P005,74.382,74.382,67.557,66.815,44.98,13.307,74.382,13.307,85.211,0.0,44.98,0.0,74.382,74.382,0.0,75.176,139.086,67.557,92.948,13.307,66.815,13.307,92.948,0.0,139.086,75.176,44.98,0.0,74.382,13.307,75.176
INST0158_N15_S08_D005,0.0,0.0,29.68,8.581,117.194,61.135,0.0,61.135,158.604,74.382,117.194,74.382,0.0,0.0,74.382,6.707,71.658,29.68,32.455,61.135,8.581,61.135,32.455,74.382,71.658,6.707,117.194,74.382,0.0,61.135,6.707
INST0158_N15_S08_P006,0.0,0.0,29.68,8.581,117.194,61.135,0.0,61.135,158.604,74.382,117.194,74.382,0.0,0.0,74.382,6.707,71.658,29.68,32.455,61.135,8.581,61.135,32.455,74.382,71.658,6.707,117.194,74.382,0.0,61.135,6.707
INST0158_N15_S08_D006,74.382,74.382,67.557,66.815,44.98,13.307,74.382,13.307,85.211,0.0,44.98,0.0,74.382,74.382,0.0,75.176,139.086,67.557,92.948,13.307,66.815,13.307,92.948,0.0,139.086,75.176,44.98,0.0,74.382,13.307,75.176
INST0158_N15_S08_P007,6.707,6.707,24.036,13.324,118.85,61.869,6.707,61.869,160.028,75.176,118.85,75.176,6.707,6.707,75.176,0.0,67.566,24.036,26.3,61.869,13.324,61.869,26.3,75.176,67.566,0.0,118.85,75.176,6.707,61.869,0.0
INST0158_N15_S08_D007,71.658,71.658,72.268,80.145,183.928,126.125,71.658,126.125,224.124,139.086,183.928,139.086,71.658,71.658,139.086,67.566,0.0,72.268,46.181,126.125,80.145,126.125,46.181,139.086,0.0,67.566,183.928,139.086,71.658,126.125,67.566
INST0158_N15_S08_P008,29.68,29.68,0.0,31.149,112.533,55.105,29.68,55.105,152.108,67.557,112.533,67.557,29.68,29.68,67.557,24.036,72.268,0.0,26.348,55.105,31.149,55.105,26.348,67.557,72.268,24.036,112.533,67.557,29.68,55.105,24.036
INST0158_N15_S08_D008,32.455,32.455,26.348,39.549,137.848,80.067,32.455,80.067,177.944,92.948,137.848,92.948,32.455,32.455,92.948,26.3,46.181,26.348,0.0,80.067,39.549,80.067,0.0,92.948,46.181,26.3,137.848,92.948,32.455,80.067,26.3
INST0158_N15_S08_P009,61.135,61.135,55.105,53.679,57.803,0.0,61.135,0.0,98.41,13.307,57.803,13.307,61.135,61.135,13.307,61.869,126.125,55.105,80.067,0.0,53.679,0.0,80.067,13.307,126.125,61.869,57.803,13.307,61.135,0.0,61.869
INST0158_N15_S08_D009,8.581,8.581,31.149,0.0,109.068,53.679,8.581,53.679,150.553,66.815,109.068,66.815,8.581,8.581,66.815,13.324,80.145,31.149,39.549,53.679,0.0,53.679,39.549,66.815,80.145,13.324,109.068,66.815,8.581,53.679,13.324
INST0158_N15_S08_P010,61.135,61.135,55.105,53.679,57.803,0.0,61.135,0.0,98.41,13.307,57.803,13.307,61.135,61.135,13.307,61.869,126.125,55.105,80.067,0.0,53.679,0.0,80.067,13.307,126.125,61.869,57.803,13.307,61.135,0.0,61.869
INST0158_N15_S08_D010,32.455,32.455,26.348,39.549,137.848,80.067,32.455,80.067,177.944,92.948,137.848,92.948,32.455,32.455,92.948,26.3,46.181,26.348,0.0,80.067,39.549,80.067,0.0,92.948,46.181,26.3,137.848,92.948,32.455,80.067,26.3
INST0158_N15_S08_P011,74.382,74.382,67.557,66.815,44.98,13.307,74.382,13.307,85.211,0.0,44.98,0.0,74.382,74.382,0.0,75.176,139.086,67.557,92.948,13.307,66.815,13.307,92.948,0.0,139.086,75.176,44.98,0.0,74.382,13.307,75.176
INST0158_N15_S08_D011,71.658,71.658,72.268,80.145,183.928,126.125,71.658,126.125,224.124,139.086,183.928,139.086,71.658,71.658,139.086,67.566,0.0,72.268,46.181,126.125,80.145,126.125,46.181,139.086,0.0,67.566,183.928,139.086,71.658,126.125,67.566
INST0158_N15_S08_P012,6.707,6.707,24.036,13.324,118.85,61.869,6.707,61.869,160.028,75.176,118.85,75.176,6.707,6.707,75.176,0.0,67.566,24.036,26.3,61.869,13.324,61.869,26.3,75.176,67.566,0.0,118.85,75.176,6.707,61.869,0.0
INST0158_N15_S08_D012,117.194,117.194,112.533,109.068,0.0,57.803,117.194,57.803,41.594,44.98,0.0,44.98,117.194,117.194,44.98,118.85,183.928,112.533,137.848,57.803,109.068,57.803,137.848,44.98,183.928,118.85,0.0,44.98,117.194,57.803,118.85
