,depot,INST0139_N12_W19_P000,INST0139_N12_W19_D000,INST0139_N12_W19_P001,INST0139_N12_W19_D001,INST0139_N12_W19_P002,INST0139_N12_W19_D002,INST0139_N12_W19_P003,INST0139_N12_W19_D003,INST0139_N12_W19_P004,INST0139_N12_W19_D004,INST0139_N12_W19_P005,INST0139_N12_W19_D005,INST0139_N12_W19_P006,INST0139_N12_W19_D006,INST0139_N12_W19_P007,INST0139_N12_W19_D007,INST0139_N12_W19_P008,INST0139_N12_W19_D008,INST0139_N12_W19_P009,INST0139_N12_W19_D009,INST0139_N12_W19_P010,INST0139_N12_W19_D010,INST0139_N12_W19_P011,INST0139_N12_W19_D011
depot,0.0,54.132,0.0,71.944,0.0,71.944,109.245,14.722,120.757,71.944,109.245,14.722,109.245,0.0,123.055,14.722,0.0,71.944,120.757,0.0,71.944,14.722,0.0,14.722,120.757
INST0139_N12_W19_P000,54.132,0.0,54.132,20.342,54.132,20.342,55.217,40.846,70.903,20.342,55.217,40.846,55.217,54.132,69.129,40.846,54.132,20.342,70.903,54.132,20.342,40.846,54.132,40.846,70.903
INST0139_N12_W19_D000,0.0,54.132,0.0,71.944,0.0,71.944,109.245,14.722,120.757,71.944,109.245,14.722,109.245,0.0,123.055,14.722,0.0,71.944,120.757,0.0,71.944,14.722,0.0,14.722,120.757
INST0139_N12_W19_P001,71.944,20.342,71.944,0.0,71.944,0.0,41.349,57.687,50.611,0.0,41.349,57.687,41.349,71.944,51.842,57.687,71.944,0.0,50.611,71.944,0.0,57.687,71.944,57.687,50.611
INST0139_N12_W19_D001,0.0,54.132,0.0,71.944,0.0,71.944,109.245,14.722,120.757,71.944,109.245,14.722,109.245,0.0,123.055,14.722,0.0,71.944,120.757,0.0,71.944,14.722,0.0,14.722,120.757
INST0139_N12_W19_P002,71.944,20.342,71.944,0.0,71.944,0.0,41.349,57.687,50.611,0.0,41.349,57.687,41.349,71.944,51.842,57.687,71.944,0.0,50.611,71.944,0.0,57.687,71.944,57.687,50.611
INST0139_N12_W19_D002,109.245,55.217,109.245,41.349,109.245,41.349,0.0,96.036,41.092,41.349,0.0,96.036,0.0,109.245,18.744,96.036,109.245,41.349,41.092,109.245,41.349,96.036,109.245,96.036,41.092
INST0139_N12_W19_P003,14.722,40.846,14.722,57.687,14.722,57.687,96.036,0.0,106.091,57.687,96.036,0.0,96.036,14.722,109.164,0.0,14.722,57.687,106.091,14.722,57.687,0.0,14.722,0.0,106.091
INST0139_N12_W19_D003,120.757,70.903,120.757,50.611,120.757,50.611,41.092,106.091,0.0,50.611,41.092,106.091,41.092,120.757,28.769,106.091,120.757,50.611,0.0,120.757,50.611,106.091,120.757,106.091,0.0
INST0139_N12_W19_P004,71.944,20.342,71.944,0.0,71.944,0.0,41.349,57.687,50.611,0.0,41.349,57.687,41.349,71.944,51.842,57.687,71.944,0.0,50.611,71.944,0.0,57.687,71.944,57.687,50.611
INST0139_N12_W19_D004,109.245,55.217,109.245,41.349,109.245,41.349,0.0,96.036,41.092,41.349,0.0,96.036,0.0,109.245,18.744,96.036,109.245,41.349,41.092,109.245,41.349,96.036,109.245,96.036,41.092
INST0139_N12_W19_P005,14.722,40.846,14.722,57.687,14.722,57.687,96.036,0.0,106.091,57.687,96.036,0.0,96.036,14.722,109.164,0.0,14.722,57.687,106.091,14.722,57.687,0.0,14.722,0.0,106.091
