,depot,INST0176_N15_S26_P000,INST0176_N15_S26_D000,INST0176_N15_S26_P001,INST0176_N15_S26_D001,INST0176_N15_S26_P002,INST0176_N15_S26_D002,INST0176_N15_S26_P003,INST0176_N15_S26_D003,INST0176_N15_S26_P004,INST0176_N15_S26_D004,INST0176_N15_S26_P005,INST0176_N15_S26_D005,INST0176_N15_S26_P006,INST0176_N15_S26_D006,INST0176_N15_S26_P007,INST0176_N15_S26_D007,INST0176_N15_S26_P008,INST0176_N15_S26_D008,INST0176_N15_S26_P009,INST0176_N15_S26_D009,INST0176_N15_S26_P010,INST0176_N15_S26_D010,INST0176_N15_S26_P011,INST0176_N15_S26_D011,INST0176_N15_S26_P012,INST0176_N15_S26_D012,INST0176_N15_S26_P013,INST0176_N15_S26_D013,INST0176_N15_S26_P014,INST0176_N15_S26_D014
depot,0.0,26.505,24.954,0.0,21.517,37.715,0.0,32.298,112.576,21.517,26.505,0.0,21.517,24.954,37.715,21.517,65.388,21.517,24.954,21.517,37.715,32.298,21.517,75.908,88.975,37.715,26.505,26.505,21.517,21.517,0.0
INST0176_N15_S26_P000,26.505,0.0,41.761,26.505,24.239,58.521,26.505,7.008,95.708,24.239,0.0,26.505,24.239,41.761,58.521,24.239,49.927,24.239,41.761,24.239,58.521,7.008,24.239,60.745,62.898,58.521,0.0,0.0,24.239,24.239,26.505
INST0176_N15_S26_D000,24.954,41.761,0.0,24.954,19.488,54.903,24.954,44.339,103.829,19.488,41.761,24.954,19.488,0.0,54.903,19.488,59.003,19.488,0.0,19.488,54.903,44.339,19.488,67.889,102.776,54.903,41.761,41.761,19.488,19.488,24.954
INST0176_N15_S26_P001,0.0,26.505,24.954,0.0,21.517,37.715,0.0,32.298,112.576,21.517,26.505,0.0,21.517,24.954,37.715,21.517,65.388,21.517,24.954,21.517,37.715,32.298,21.517,75.908,88.975,37.715,26.505,26.505,21.517,21.517,0.0
INST0176_N15_S26_D001,21.517,24.239,19.488,21.517,0.0,59.019,21.517,25.439,91.902,0.0,24.239,21.517,0.0,19.488,59.019,0.0,45.002,0.0,19.488,0.0,59.019,25.439,0.0,55.171,83.416,59.019,24.239,24.239,0.0,0.0,21.517
INST0176_N15_S26_P002,37.715,58.521,54.903,37.715,59.019,0.0,37.715,65.452,150.208,59.019,58.521,37.715,59.019,54.903,0.0,59.019,103.002,59.019,54.903,59.019,0.0,65.452,59.019,113.587,113.511,0.0,58.521,58.521,59.019,59.019,37.715
INST0176_N15_S26_D002,0.0,26.505,24.954,0.0,21.517,37.715,0.0,32.298,112.576,21.517,26.505,0.0,21.517,24.954,37.715,21.517,65.388,21.517,24.954,21.517,37.715,32.298,21.517,75.908,88.975,37.715,26.505,26.505,21.517,21.517,0.0
INST0176_N15_S26_P003,32.298,7.008,44.339,32.298,25.439,65.452,32.298,0.0,89.072,25.439,7.008,32.298,25.439,44.339,65.452,25.439,43.838,25.439,44.339,25.439,65.452,0.0,25.439,54.565,58.699,65.452,7.008,7.008,25.439,25.439,32.298
INST0176_N15_S26_D003,112.576,95.708,103.829,112.576,91.902,150.208,112.576,89.072,0.0,91.902,95.708,112.576,91.902,103.829,150.208,91.902,47.206,91.902,103.829,91.902,150.208,89.072,91.902,36.733,93.449,150.208,95.708,95.708,91.902,91.902,112.576
INST0176_N15_S26_P004,21.517,24.239,19.488,21.517,0.0,59.019,21.517,25.439,91.902,0.0,24.239,21.517,0.0,19.488,59.019,0.0,45.002,0.0,19.488,0.0,59.019,25.439,0.0,55.171,83.416,59.019,24.239,24.239,0.0,0.0,21.517
