,depot,INST0118_N10_W28_P000,INST0118_N10_W28_D000,INST0118_N10_W28_P001,INST0118_N10_W28_D001,INST0118_N10_W28_P002,INST0118_N10_W28_D002,INST0118_N10_W28_P003,INST0118_N10_W28_D003,INST0118_N10_W28_P004,INST0118_N10_W28_D004,INST0118_N10_W28_P005,INST0118_N10_W28_D005,INST0118_N10_W28_P006,INST0118_N10_W28_D006,INST0118_N10_W28_P007,INST0118_N10_W28_D007,INST0118_N10_W28_P008,INST0118_N10_W28_D008,INST0118_N10_W28_P009,INST0118_N10_W28_D009
depot,0.0,50.015,0.0,50.015,0.0,50.015,0.0,0.0,70.637,0.0,70.637,70.637,0.0,18.026,129.907,50.015,110.354,97.602,18.026,0.0,133.671
INST0118_N10_W28_P000,50.015,0.0,50.015,0.0,50.015,0.0,50.015,50.015,24.909,50.015,24.909,24.909,50.015,66.284,86.82,0.0,61.567,49.056,66.284,50.015,84.648
INST0118_N10_W28_D000,0.0,50.015,0.0,50.015,0.0,50.015,0.0,0.0,70.637,0.0,70.637,70.637,0.0,18.026,129.907,50.015,110.354,97.602,18.026,0.0,133.671
INST0118_N10_W28_P001,50.015,0.0,50.015,0.0,50.015,0.0,50.015,50.015,24.909,50.015,24.909,24.909,50.015,66.284,86.82,0.0,61.567,49.056,66.284,50.015,84.648
INST0118_N10_W28_D001,0.0,50.015,0.0,50.015,0.0,50.015,0.0,0.0,70.637,0.0,70.637,70.637,0.0,18.026,129.907,50.015,110.354,97.602,18.026,0.0,133.671
INST0118_N10_W28_P002,50.015,0.0,50.015,0.0,50.015,0.0,50.015,50.015,24.909,50.015,24.909,24.909,50.015,66.284,86.82,0.0,61.567,49.056,66.284,50.015,84.648
INST0118_N10_W28_D002,0.0,50.015,0.0,50.015,0.0,50.015,0.0,0.0,70.637,0.0,70.637,70.637,0.0,18.026,129.907,50.015,110.354,97.602,18.026,0.0,133.671
INST0118_N10_W28_P003,0.0,50.015,0.0,50.015,0.0,50.015,0.0,0.0,70.637,0.0,70.637,70.637,0.0,18.026,129.907,50.015,110.354,97.602,18.026,0.0,133.671
INST0118_N10_W28_D003,70.637,24.909,70.637,24.909,70.637,24.909,70.637,70.637,0.0,70.637,0.0,0.0,70.637,88.095,61.972,24.909,40.204,27.496,88.095,70.637,63.48
INST0118_N10_W28_P004,0.0,50.015,0.0,50.015,0.0,50.015,0.0,0.0,70.637,0.0,70.637,70.637,0.0,18.026,129.907,50.015,110.354,97.602,18.026,0.0,133.671
INST0118_N10_W28_D004,70.637,24.909,70.637,24.909,70.637,24.909,70.637,70.637,0.0,70.637,0.0,0.0,70.637,88.095,61.972,24.909,40.204,27.496,88.095,70.637,63.48
INST0118_N10_W28_P005,70.637,24.909,70.637,24.909,70.637,24.909,70.637,70.637,0.0,70.637,0.0,0.0,70.637,88.095,61.972,24.909,40.204,27.496,88.095,70.637,63.48
INST0118_N10_W28_D005,0.0,50.015,0.0,50.015,0.0,50.015,0.0,0.0,70.637,0.0,70.637,70.637,0.0,18.026,129.907,50.015,110.354,97.602,18.026,0.0,133.671
INST0118_N10_W28_P006,18.026,66.284,18.026,66.284,18.026,66.284,18.026,18.026,88.095,18.026,88.095,88.095,18.026,0.0,147.866,66.284,127.423,114.719,0.0,18.026,150.679
INST0118_N10_W28_D006,129.907,86.82,129.907,86.82,129.907,86.82,129.907,129.907,61.972,129.907,61.972,61.972,129.907,147.866,0.0,86.82,36.679,43.098,147.866,129.907,35.228
INST0118_N10_W28_P007,50.015,0.0,50.015,0.0,50.015,0.0,50.015,50.015,24.909,50.015,24.909,24.909,50.015,66.284,86.82,0.0,61.567,49.056,66.284,50.015,84.648
INST0118_N10_W28_D007,110.354,61.567,110.354,61.567,110.354,61.567,110.354,110.354,40.204,110.354,40.204,40.204,110.354,127.423,36.679,61.567,0.0,12.767,127.423,110.354,23.331
INST0118_N10_W28_P008,97.602,49.056,97.602,49.056,97.602,49.056,97.602,97.602,27.496,97.602,27.496,27.496,97.602,114.719,43.098,49.056,12.767,0.0,114.719,97.602,36.098
INST0118_N10_W28_D008,18.026,66.284,18.026,66.284,18.026,66.284,18.026,18.026,88.095,18.026,88.095,88.095,18.026,0.0,147.866,66.284,127.423,114.719,0.0,18.026,150.679
INST0118_N10_W28_P009,0.0,50.015,0.0,50.015,0.0,50.015,0.0,0.0,70.637,0.0,70.637,70.637,0.0,18.026,129.907,50.015,110.354,97.602,18.026,0.0,133.671
INST0118_N10_W28_D009,133.671,84.648,133.671,84.648,133.671,84.648,133.671,133.671,63.48,133.671,63.48,63.48,133.671,150.679,35.228,84.648,23.331,36.098,150.679,133.671,0.0
