,depot,INST0106_N10_W16_P000,INST0106_N10_W16_D000,INST0106_N10_W16_P001,INST0106_N10_W16_D001,INST0106_N10_W16_P002,INST0106_N10_W16_D002,INST0106_N10_W16_P003,INST0106_N10_W16_D003,INST0106_N10_W16_P004,INST0106_N10_W16_D004,INST0106_N10_W16_P005,INST0106_N10_W16_D005,INST0106_N10_W16_P006,INST0106_N10_W16_D006,INST0106_N10_W16_P007,INST0106_N10_W16_D007,INST0106_N10_W16_P008,INST0106_N10_W16_D008,INST0106_N10_W16_P009,INST0106_N10_W16_D009
depot,0.0,25.201,50.317,43.046,17.238,43.046,117.595,50.317,43.046,50.317,32.905,50.631,25.201,22.951,17.238,37.156,0.0,43.046,50.631,50.631,117.595
INST0106_N10_W16_P000,25.201,0.0,43.098,56.961,12.767,56.961,97.602,43.098,56.961,43.098,29.878,27.496,0.0,36.098,12.767,45.89,25.201,56.961,27.496,27.496,97.602
INST0106_N10_W16_D000,50.317,43.098,0.0,92.961,36.679,92.961,129.907,0.0,92.961,0.0,17.435,61.972,43.098,35.228,36.679,28.407,50.317,92.961,61.972,61.972,129.907
INST0106_N10_W16_P001,43.046,56.961,92.961,0.0,57.051,0.0,115.643,92.961,0.0,92.961,75.699,68.471,56.961,64.294,57.051,78.578,43.046,0.0,68.471,68.471,115.643
INST0106_N10_W16_D001,17.238,12.767,36.679,57.051,0.0,57.051,110.354,36.679,57.051,36.679,20.56,40.204,12.767,23.331,0.0,33.728,17.238,57.051,40.204,40.204,110.354
INST0106_N10_W16_P002,43.046,56.961,92.961,0.0,57.051,0.0,115.643,92.961,0.0,92.961,75.699,68.471,56.961,64.294,57.051,78.578,43.046,0.0,68.471,68.471,115.643
INST0106_N10_W16_D002,117.595,97.602,129.907,115.643,110.354,115.643,0.0,129.907,115.643,129.907,124.166,70.637,97.602,133.671,110.354,142.787,117.595,115.643,70.637,70.637,0.0
INST0106_N10_W16_P003,50.317,43.098,0.0,92.961,36.679,92.961,129.907,0.0,92.961,0.0,17.435,61.972,43.098,35.228,36.679,28.407,50.317,92.961,61.972,61.972,129.907
INST0106_N10_W16_D003,43.046,56.961,92.961,0.0,57.051,0.0,115.643,92.961,0.0,92.961,75.699,68.471,56.961,64.294,57.051,78.578,43.046,0.0,68.471,68.471,115.643
INST0106_N10_W16_P004,50.317,43.098,0.0,92.961,36.679,92.961,129.907,0.0,92.961,0.0,17.435,61.972,43.098,35.228,36.679,28.407,50.317,92.961,61.972,61.972,129.907
INST0106_N10_W16_D004,32.905,29.878,17.435,75.699,20.56,75.699,124.166,17.435,75.699,17.435,0.0,53.818,29.878,20.02,20.56,20.081,32.905,75.699,53.818,53.818,124.166
INST0106_N10_W16_P005,50.631,27.496,61.972,68.471,40.204,68.471,70.637,61.972,68.471,61.972,53.818,0.0,27.496,63.48,40.204,72.151,50.631,68.471,0.0,0.0,70.637
INST0106_N10_W16_D005,25.201,0.0,43.098,56.961,12.767,56.961,97.602,43.098,56.961,43.098,29.878,27.496,0.0,36.098,12.767,45.89,25.201,56.961,27.496,27.496,97.602
INST0106_N10_W16_P006,22.951,36.098,35.228,64.294,23.331,64.294,133.671,35.228,64.294,35.228,20.02,63.48,36.098,0.0,23.331,14.369,22.951,64.294,63.48,63.48,133.671
INST0106_N10_W16_D006,17.238,12.767,36.679,57.051,0.0,57.051,110.354,36.679,57.051,36.679,20.56,40.204,12.767,23.331,0.0,33.728,17.238,57.051,40.204,40.204,110.354
INST0106_N10_W16_P007,37.156,45.89,28.407,78.578,33.728,78.578,142.787,28.407,78.578,28.407,20.081,72.151,45.89,14.369,33.728,0.0,37.156,78.578,72.151,72.151,142.787
INST0106_N10_W16_D007,0.0,25.201,50.317,43.046,17.238,43.046,117.595,50.317,43.046,50.317,32.905,50.631,25.201,22.951,17.238,37.156,0.0,43.046,50.631,50.631,117.595
INST0106_N10_W16_P008,43.046,56.961,92.961,0.0,57.051,0.0,115.643,92.961,0.0,92.961,75.699,68.471,56.961,64.294,57.051,78.578,43.046,0.0,68.471,68.471,115.643
INST0106_N10_W16_D008,50.631,27.496,61.972,68.471,40.204,68.471,70.637,61.972,68.471,61.972,53.818,0.0,27.496,63.48,40.204,72.151,50.631,68.471,0.0,0.0,70.637
INST0106_N10_W16_P009,50.631,27.496,61.972,68.471,40.204,68.471,70.637,61.972,68.471,61.972,53.818,0.0,27.496,63.48,40.204,72.151,50.631,68.471,0.0,0.0,70.637
INST0106_N10_W16_D009,117.595,97.602,129.907,115.643,110.354,115.643,0.0,129.907,115.643,129.907,124.166,70.637,97.602,133.671,110.354,142.787,117.595,115.643,70.637,70.637,0.0
