,depot,INST0162_N15_N12_P000,INST0162_N15_N12_D000,INST0162_N15_N12_P001,INST0162_N15_N12_D001,INST0162_N15_N12_P002,INST0162_N15_N12_D002,INST0162_N15_N12_P003,INST0162_N15_N12_D003,INST0162_N15_N12_P004,INST0162_N15_N12_D004,INST0162_N15_N12_P005,INST0162_N15_N12_D005,INST0162_N15_N12_P006,INST0162_N15_N12_D006,INST0162_N15_N12_P007,INST0162_N15_N12_D007,INST0162_N15_N12_P008,INST0162_N15_N12_D008,INST0162_N15_N12_P009,INST0162_N15_N12_D009,INST0162_N15_N12_P010,INST0162_N15_N12_D010,INST0162_N15_N12_P011,INST0162_N15_N12_D011,INST0162_N15_N12_P012,INST0162_N15_N12_D012,INST0162_N15_N12_P013,INST0162_N15_N12_D013,INST0162_N15_N12_P014,INST0162_N15_N12_D014
depot,0.0,35.653,143.5,18.791,122.278,40.266,122.278,18.791,47.339,18.791,93.214,18.283,93.214,18.283,0.0,47.339,27.709,18.791,35.534,30.471,47.339,40.266,93.214,0.0,18.283,35.534,131.141,18.791,35.534,35.653,35.534
INST0162_N15_N12_P000,35.653,0.0,110.202,34.294,153.371,48.052,153.371,34.294,81.232,34.294,122.247,27.111,122.247,27.111,35.653,81.232,44.646,34.294,28.616,46.06,81.232,48.052,122.247,35.653,27.111,28.616,100.108,34.294,28.616,0.0,28.616
INST0162_N15_N12_D000,143.5,110.202,0.0,132.823,239.676,128.231,239.676,132.823,190.666,132.823,206.878,127.973,206.878,127.973,143.5,190.666,136.742,132.823,113.8,135.971,190.666,128.231,206.878,143.5,127.973,113.8,102.687,132.823,113.8,110.202,113.8
INST0162_N15_N12_P001,18.791,34.294,132.823,0.0,119.262,21.8,119.262,0.0,61.784,0.0,87.958,7.201,87.958,7.201,18.791,61.784,11.477,0.0,19.671,13.759,61.784,21.8,87.958,18.791,7.201,19.671,134.365,0.0,19.671,34.294,19.671
INST0162_N15_N12_D001,122.278,153.371,239.676,119.262,0.0,113.909,0.0,119.262,104.379,119.262,32.884,126.352,32.884,126.352,122.278,104.379,110.207,119.262,132.815,109.689,104.379,113.909,32.884,122.278,126.352,132.815,252.84,119.262,132.815,153.371,132.815
INST0162_N15_N12_P002,40.266,48.052,128.231,21.8,113.909,0.0,113.909,21.8,77.99,21.8,81.189,26.126,81.189,26.126,40.266,77.99,13.942,21.8,20.683,11.436,77.99,0.0,81.189,40.266,26.126,20.683,145.998,21.8,20.683,48.052,20.683
INST0162_N15_N12_D002,122.278,153.371,239.676,119.262,0.0,113.909,0.0,119.262,104.379,119.262,32.884,126.352,32.884,126.352,122.278,104.379,110.207,119.262,132.815,109.689,104.379,113.909,32.884,122.278,126.352,132.815,252.84,119.262,132.815,153.371,132.815
INST0162_N15_N12_P003,18.791,34.294,132.823,0.0,119.262,21.8,119.262,0.0,61.784,0.0,87.958,7.201,87.958,7.201,18.791,61.784,11.477,0.0,19.671,13.759,61.784,21.8,87.958,18.791,7.201,19.671,134.365,0.0,19.671,34.294,19.671
INST0162_N15_N12_D003,47.339,81.232,190.666,61.784,104.379,77.99,104.379,61.784,0.0,61.784,85.106,64.45,85.106,64.45,47.339,0.0,64.236,61.784,81.17,66.572,0.0,77.99,85.106,47.339,64.45,81.17,165.945,61.784,81.17,81.232,81.17
INST0162_N15_N12_P004,18.791,34.294,132.823,0.0,119.262,21.8,119.262,0.0,61.784,0.0,87.958,7.201,87.958,7.201,18.791,61.784,11.477,0.0,19.671,13.759,61.784,21.8,87.958,18.791,7.201,19.671,134.365,0.0,19.671,34.294,19.671
