,depot,INST0228_N20_N18_P000,INST0228_N20_N18_D000,INST0228_N20_N18_P001,INST0228_N20_N18_D001,INST0228_N20_N18_P002,INST0228_N20_N18_D002,INST0228_N20_N18_P003,INST0228_N20_N18_D003,INST0228_N20_N18_P004,INST0228_N20_N18_D004,INST0228_N20_N18_P005,INST0228_N20_N18_D005,INST0228_N20_N18_P006,INST0228_N20_N18_D006,INST0228_N20_N18_P007,INST0228_N20_N18_D007,INST0228_N20_N18_P008,INST0228_N20_N18_D008,INST0228_N20_N18_P009,INST0228_N20_N18_D009,INST0228_N20_N18_P010,INST0228_N20_N18_D010,INST0228_N20_N18_P011,INST0228_N20_N18_D011,INST0228_N20_N18_P012,INST0228_N20_N18_D012,INST0228_N20_N18_P013,INST0228_N20_N18_D013,INST0228_N20_N18_P014,INST0228_N20_N18_D014,INST0228_N20_N18_P015,INST0228_N20_N18_D015,INST0228_N20_N18_P016,INST0228_N20_N18_D016,INST0228_N20_N18_P017,INST0228_N20_N18_D017,INST0228_N20_N18_P018,INST0228_N20_N18_D018,INST0228_N20_N18_P019,INST0228_N20_N18_D019
depot,0.0,37.312,28.595,56.4,14.003,14.003,28.595,56.4,14.003,37.312,81.517,3.413,28.595,94.965,0.0,56.4,24.705,37.312,24.705,37.312,64.653,81.517,24.705,64.653,56.4,0.0,14.003,16.848,64.653,0.0,64.653,81.517,134.313,81.517,134.313,16.848,28.595,16.848,134.313,0.0,14.003
INST0228_N20_N18_P000,37.312,0.0,43.511,43.657,49.306,49.306,43.511,43.657,49.306,0.0,57.966,33.929,43.511,114.14,37.312,43.657,22.387,0.0,22.387,0.0,101.428,57.966,22.387,101.428,43.657,37.312,49.306,23.01,101.428,37.312,101.428,57.966,149.729,57.966,149.729,23.01,43.511,23.01,149.729,37.312,49.306
INST0228_N20_N18_D000,28.595,43.511,0.0,35.041,25.326,25.326,0.0,35.041,25.326,43.511,99.392,28.727,0.0,122.983,28.595,35.041,21.127,43.511,21.127,43.511,79.42,99.392,21.127,79.42,35.041,28.595,25.326,24.088,79.42,28.595,79.42,99.392,162.63,99.392,162.63,24.088,0.0,24.088,162.63,28.595,25.326
INST0228_N20_N18_P001,56.4,43.657,35.041,0.0,58.839,58.839,35.041,0.0,58.839,43.657,99.467,54.669,35.041,149.69,56.4,0.0,33.197,43.657,33.197,43.657,114.332,99.467,33.197,114.332,0.0,56.4,58.839,41.993,114.332,56.4,114.332,99.467,187.802,99.467,187.802,41.993,35.041,41.993,187.802,56.4,58.839
INST0228_N20_N18_D001,14.003,49.306,25.326,58.839,0.0,0.0,25.326,58.839,0.0,49.306,95.498,17.072,25.326,99.415,14.003,58.839,31.992,49.306,31.992,49.306,56.35,95.498,31.992,56.35,58.839,14.003,0.0,26.694,56.35,14.003,56.35,95.498,139.481,95.498,139.481,26.694,25.326,26.694,139.481,14.003,0.0
INST0228_N20_N18_P002,14.003,49.306,25.326,58.839,0.0,0.0,25.326,58.839,0.0,49.306,95.498,17.072,25.326,99.415,14.003,58.839,31.992,49.306,31.992,49.306,56.35,95.498,31.992,56.35,58.839,14.003,0.0,26.694,56.35,14.003,56.35,95.498,139.481,95.498,139.481,26.694,25.326,26.694,139.481,14.003,0.0
INST0228_N20_N18_D002,28.595,43.511,0.0,35.041,25.326,25.326,0.0,35.041,25.326,43.511,99.392,28.727,0.0,122.983,28.595,35.041,21.127,43.511,21.127,43.511,79.42,99.392,21.127,79.42,35.041,28.595,25.326,24.088,79.42,28.595,79.42,99.392,162.63,99.392,162.63,24.088,0.0,24.088,162.63,28.595,25.326
INST0228_N20_N18_P003,56.4,43.657,35.041,0.0,58.839,58.839,35.041,0.0,58.839,43.657,99.467,54.669,35.041,149.69,56.4,0.0,33.197,43.657,33.197,43.657,114.332,99.467,33.197,114.332,0.0,56.4,58.839,41.993,114.332,56.4,114.332,99.467,187.802,99.467,187.802,41.993,35.041,41.993,187.802,56.4,58.839
INST0228_N20_N18_D003,14.003,49.306,25.326,58.839,0.0,0.0,25.326,58.839,0.0,49.306,95.498,17.072,25.326,99.415,14.003,58.839,31.992,49.306,31.992,49.306,56.35,95.498,31.992,56.35,58.839,14.003,0.0,26.694,56.35,14.003,56.35,95.498,139.481,95.498,139.481,26.694,25.326,26.694,139.481,14.003,0.0
INST0228_N20_N18_P004,37.312,0.0,43.511,43.657,49.306,49.306,43.511,43.657,49.306,0.0,57.966,33.929,43.511,114.14,37.312,43.657,22.387,0.0,22.387,0.0,101.428,57.966,22.387,101.428,43.657,37.312,49.306,23.01,101.428,37.312,101.428,57.966,149.729,57.966,149.729,23.01,43.511,23.01,149.729,37.312,49.306
INST0228_N20_N18_D004,81.517,57.966,99.392,99.467,95.498,95.498,99.392,99.467,95.498,57.966,0.0,78.656,99.392,104.211,81.517,99.467,78.919,57.966,78.919,57.966,131.605,0.0,78.919,131.605,99.467,81.517,95.498,75.654,131.605,81.517,131.605,0.0,127.812,0.0,127.812,75.654,99.392,75.654,127.812,81.517,95.498
INST0228_N20_N18_P005,3.413,33.929,28.727,54.669,17.072,17.072,28.727,54.669,17.072,33.929,78.656,0.0,28.727,95.867,3.413,54.669,22.322,33.929,22.322,33.929,67.88,78.656,22.322,67.88,54.669,3.413,17.072,14.053,67.88,3.413,67.88,78.656,134.948,78.656,134.948,14.053,28.727,14.053,134.948,3.413,17.072
INST0228_N20_N18_D005,28.595,43.511,0.0,35.041,25.326,25.326,0.0,35.041,25.326,43.511,99.392,28.727,0.0,122.983,28.595,35.041,21.127,43.511,21.127,43.511,79.42,99.392,21.127,79.42,35.041,28.595,25.326,24.088,79.42,28.595,79.42,99.392,162.63,99.392,162.63,24.088,0.0,24.088,162.63,28.595,25.326
INST0228_N20_N18_P006,94.965,114.14,122.983,149.69,99.415,99.415,122.983,149.69,99.415,114.14,104.211,95.867,122.983,0.0,94.965,149.69,116.493,114.14,116.493,114.14,79.694,104.211,116.493,79.694,149.69,94.965,99.415,107.703,79.694,94.965,79.694,104.211,40.266,104.211,40.266,107.703,122.983,107.703,40.266,94.965,99.415
INST0228_N20_N18_D006,0.0,37.312,28.595,56.4,14.003,14.003,28.595,56.4,14.003,37.312,81.517,3.413,28.595,94.965,0.0,56.4,24.705,37.312,24.705,37.312,64.653,81.517,24.705,64.653,56.4,0.0,14.003,16.848,64.653,0.0,64.653,81.517,134.313,81.517,134.313,16.848,28.595,16.848,134.313,0.0,14.003
