,depot,INST0113_N10_S23_P000,INST0113_N10_S23_D000,INST0113_N10_S23_P001,INST0113_N10_S23_D001,INST0113_N10_S23_P002,INST0113_N10_S23_D002,INST0113_N10_S23_P003,INST0113_N10_S23_D003,INST0113_N10_S23_P004,INST0113_N10_S23_D004,INST0113_N10_S23_P005,INST0113_N10_S23_D005,INST0113_N10_S23_P006,INST0113_N10_S23_D006,INST0113_N10_S23_P007,INST0113_N10_S23_D007,INST0113_N10_S23_P008,INST0113_N10_S23_D008,INST0113_N10_S23_P009,INST0113_N10_S23_D009
depot,0.0,58.521,62.898,41.761,95.708,58.521,7.008,41.761,26.505,26.505,95.708,60.745,7.008,24.239,41.761,41.761,26.505,60.745,62.898,0.0,62.898
INST0113_N10_S23_P000,58.521,0.0,113.511,54.903,150.208,0.0,65.452,54.903,37.715,37.715,150.208,113.587,65.452,59.019,54.903,54.903,37.715,113.587,113.511,58.521,113.511
INST0113_N10_S23_D000,62.898,113.511,0.0,102.776,93.449,113.511,58.699,102.776,88.975,88.975,93.449,77.092,58.699,83.416,102.776,102.776,88.975,77.092,0.0,62.898,0.0
INST0113_N10_S23_P001,41.761,54.903,102.776,0.0,103.829,54.903,44.339,0.0,24.954,24.954,103.829,67.889,44.339,19.488,0.0,0.0,24.954,67.889,102.776,41.761,102.776
INST0113_N10_S23_D001,95.708,150.208,93.449,103.829,0.0,150.208,89.072,103.829,112.576,112.576,0.0,36.733,89.072,91.902,103.829,103.829,112.576,36.733,93.449,95.708,93.449
INST0113_N10_S23_P002,58.521,0.0,113.511,54.903,150.208,0.0,65.452,54.903,37.715,37.715,150.208,113.587,65.452,59.019,54.903,54.903,37.715,113.587,113.511,58.521,113.511
INST0113_N10_S23_D002,7.008,65.452,58.699,44.339,89.072,65.452,0.0,44.339,32.298,32.298,89.072,54.565,0.0,25.439,44.339,44.339,32.298,54.565,58.699,7.008,58.699
INST0113_N10_S23_P003,41.761,54.903,102.776,0.0,103.829,54.903,44.339,0.0,24.954,24.954,103.829,67.889,44.339,19.488,0.0,0.0,24.954,67.889,102.776,41.761,102.776
INST0113_N10_S23_D003,26.505,37.715,88.975,24.954,112.576,37.715,32.298,24.954,0.0,0.0,112.576,75.908,32.298,21.517,24.954,24.954,0.0,75.908,88.975,26.505,88.975
INST0113_N10_S23_P004,26.505,37.715,88.975,24.954,112.576,37.715,32.298,24.954,0.0,0.0,112.576,75.908,32.298,21.517,24.954,24.954,0.0,75.908,88.975,26.505,88.975
INST0113_N10_S23_D004,95.708,150.208,93.449,103.829,0.0,150.208,89.072,103.829,112.576,112.576,0.0,36.733,89.072,91.902,103.829,103.829,112.576,36.733,93.449,95.708,93.449
INST0113_N10_S23_P005,60.745,113.587,77.092,67.889,36.733,113.587,54.565,67.889,75.908,75.908,36.733,0.0,54.565,55.171,67.889,67.889,75.908,0.0,77.092,60.745,77.092
INST0113_N10_S23_D005,7.008,65.452,58.699,44.339,89.072,65.452,0.0,44.339,32.298,32.298,89.072,54.565,0.0,25.439,44.339,44.339,32.298,54.565,58.699,7.008,58.699
INST0113_N10_S23_P006,24.239,59.019,83.416,19.488,91.902,59.019,25.439,19.488,21.517,21.517,91.902,55.171,25.439,0.0,19.488,19.488,21.517,55.171,83.416,24.239,83.416
INST0113_N10_S23_D006,41.761,54.903,102.776,0.0,103.829,54.903,44.339,0.0,24.954,24.954,103.829,67.889,44.339,19.488,0.0,0.0,24.954,67.889,102.776,41.761,102.776
INST0113_N10_S23_P007,41.761,54.903,102.776,0.0,103.829,54.903,44.339,0.0,24.954,24.954,103.829,67.889,44.339,19.488,0.0,0.0,24.954,67.889,102.776,41.761,102.776
INST0113_N10_S23_D007,26.505,37.715,88.975,24.954,112.576,37.715,32.298,24.954,0.0,0.0,112.576,75.908,32.298,21.517,24.954,24.954,0.0,75.908,88.975,26.505,88.975
INST0113_N10_S23_P008,60.745,113.587,77.092,67.889,36.733,113.587,54.565,67.889,75.908,75.908,36.733,0.0,54.565,55.171,67.889,67.889,75.908,0.0,77.092,60.745,77.092
INST0113_N10_S23_D008,62.898,113.511,0.0,102.776,93.449,113.511,58.699,102.776,88.975,88.975,93.449,77.092,58.699,83.416,102.776,102.776,88.975,77.092,0.0,62.898,0.0
INST0113_N10_S23_P009,0.0,58.521,62.898,41.761,95.708,58.521,7.008,41.761,26.505,26.505,95.708,60.745,7.008,24.239,41.761,41.761,26.505,60.745,62.898,0.0,62.898
INST0113_N10_S23_D009,62.898,113.511,0.0,102.776,93.449,113.511,58.699,102.776,88.975,88.975,93.449,77.092,58.699,83.416,102.776,102.776,88.975,77.092,0.0,62.898,0.0
