,depot,INST0036_N5_N06_P000,INST0036_N5_N06_D000,INST0036_N5_N06_P001,INST0036_N5_N06_D001,INST0036_N5_N06_P002,INST0036_N5_N06_D002,INST0036_N5_N06_P003,INST0036_N5_N06_D003,INST0036_N5_N06_P004,INST0036_N5_N06_D004
depot,0.0,0.0,100.436,23.461,17.254,20.683,0.0,20.683,19.671,23.461,28.616
INST0036_N5_N06_P000,0.0,0.0,100.436,23.461,17.254,20.683,0.0,20.683,19.671,23.461,28.616
INST0036_N5_N06_D000,100.436,100.436,0.0,78.292,95.136,81.189,100.436,81.189,87.958,78.292,122.247
INST0036_N5_N06_P001,23.461,23.461,78.292,0.0,18.229,13.942,23.461,13.942,11.477,0.0,44.646
INST0036_N5_N06_D001,17.254,17.254,95.136,18.229,0.0,26.126,17.254,26.126,7.201,18.229,27.111
INST0036_N5_N06_P002,20.683,20.683,81.189,13.942,26.126,0.0,20.683,0.0,21.8,13.942,48.052
INST0036_N5_N06_D002,0.0,0.0,100.436,23.461,17.254,20.683,0.0,20.683,19.671,23.461,28.616
INST0036_N5_N06_P003,20.683,20.683,81.189,13.942,26.126,0.0,20.683,0.0,21.8,13.942,48.052
INST0036_N5_N06_D003,19.671,19.671,87.958,11.477,7.201,21.8,19.671,21.8,0.0,11.477,34.294
INST0036_N5_N06_P004,23.461,23.461,78.292,0.0,18.229,13.942,23.461,13.942,11.477,0.0,44.646
INST0036_N5_N06_D004,28.616,28.616,122.247,44.646,27.111,48.052,28.616,48.052,34.294,44.646,0.0
