,depot,INST0289_N25_W19_P000,INST0289_N25_W19_D000,INST0289_N25_W19_P001,INST0289_N25_W19_D001,INST0289_N25_W19_P002,INST0289_N25_W19_D002,INST0289_N25_W19_P003,INST0289_N25_W19_D003,INST0289_N25_W19_P004,INST0289_N25_W19_D004,INST0289_N25_W19_P005,INST0289_N25_W19_D005,INST0289_N25_W19_P006,INST0289_N25_W19_D006,INST0289_N25_W19_P007,INST0289_N25_W19_D007,INST0289_N25_W19_P008,INST0289_N25_W19_D008,INST0289_N25_W19_P009,INST0289_N25_W19_D009,INST0289_N25_W19_P010,INST0289_N25_W19_D010,INST0289_N25_W19_P011,INST0289_N25_W19_D011,INST0289_N25_W19_P012,INST0289_N25_W19_D012,INST0289_N25_W19_P013,INST0289_N25_W19_D013,INST0289_N25_W19_P014,INST0289_N25_W19_D014,INST0289_N25_W19_P015,INST0289_N25_W19_D015,INST0289_N25_W19_P016,INST0289_N25_W19_D016,INST0289_N25_W19_P017,INST0289_N25_W19_D017,INST0289_N25_W19_P018,INST0289_N25_W19_D018,INST0289_N25_W19_P019,INST0289_N25_W19_D019,INST0289_N25_W19_P020,INST0289_N25_W19_D020,INST0289_N25_W19_P021,INST0289_N25_W19_D021,INST0289_N25_W19_P022,INST0289_N25_W19_D022,INST0289_N25_W19_P023,INST0289_N25_W19_D023,INST0289_N25_W19_P024,INST0289_N25_W19_D024
depot,0.0,0.0,114.719,66.284,0.0,18.026,0.0,88.095,160.194,18.026,0.0,0.0,147.866,88.095,128.123,18.026,141.804,0.0,18.026,88.095,160.194,66.284,127.423,88.095,141.804,66.284,127.423,66.284,0.0,0.0,114.719,88.095,18.026,66.284,160.194,18.026,127.423,18.026,147.866,18.026,147.866,88.095,147.866,18.026,66.284,66.284,114.719,18.026,66.284,66.284,128.123
INST0289_N25_W19_P000,0.0,0.0,114.719,66.284,0.0,18.026,0.0,88.095,160.194,18.026,0.0,0.0,147.866,88.095,128.123,18.026,141.804,0.0,18.026,88.095,160.194,66.284,127.423,88.095,141.804,66.284,127.423,66.284,0.0,0.0,114.719,88.095,18.026,66.284,160.194,18.026,127.423,18.026,147.866,18.026,147.866,88.095,147.866,18.026,66.284,66.284,114.719,18.026,66.284,66.284,128.123
INST0289_N25_W19_D000,114.719,114.719,0.0,49.056,114.719,97.602,114.719,27.496,45.89,97.602,114.719,114.719,43.098,27.496,56.961,97.602,29.878,114.719,97.602,27.496,45.89,49.056,12.767,27.496,29.878,49.056,12.767,49.056,114.719,114.719,0.0,27.496,97.602,49.056,45.89,97.602,12.767,97.602,43.098,97.602,43.098,27.496,43.098,97.602,49.056,49.056,0.0,97.602,49.056,49.056,56.961
INST0289_N25_W19_P001,66.284,66.284,49.056,0.0,66.284,50.015,66.284,24.909,94.929,50.015,66.284,66.284,86.82,24.909,70.587,50.015,77.687,66.284,50.015,24.909,94.929,0.0,61.567,24.909,77.687,0.0,61.567,0.0,66.284,66.284,49.056,24.909,50.015,0.0,94.929,50.015,61.567,50.015,86.82,50.015,86.82,24.909,86.82,50.015,0.0,0.0,49.056,50.015,0.0,0.0,70.587
INST0289_N25_W19_D001,0.0,0.0,114.719,66.284,0.0,18.026,0.0,88.095,160.194,18.026,0.0,0.0,147.866,88.095,128.123,18.026,141.804,0.0,18.026,88.095,160.194,66.284,127.423,88.095,141.804,66.284,127.423,66.284,0.0,0.0,114.719,88.095,18.026,66.284,160.194,18.026,127.423,18.026,147.866,18.026,147.866,88.095,147.866,18.026,66.284,66.284,114.719,18.026,66.284,66.284,128.123
INST0289_N25_W19_P002,18.026,18.026,97.602,50.015,18.026,0.0,18.026,70.637,142.787,0.0,18.026,18.026,129.907,70.637,115.643,0.0,124.166,18.026,0.0,70.637,142.787,50.015,110.354,70.637,124.166,50.015,110.354,50.015,18.026,18.026,97.602,70.637,0.0,50.015,142.787,0.0,110.354,0.0,129.907,0.0,129.907,70.637,129.907,0.0,50.015,50.015,97.602,0.0,50.015,50.015,115.643
INST0289_N25_W19_D002,0.0,0.0,114.719,66.284,0.0,18.026,0.0,88.095,160.194,18.026,0.0,0.0,147.866,88.095,128.123,18.026,141.804,0.0,18.026,88.095,160.194,66.284,127.423,88.095,141.804,66.284,127.423,66.284,0.0,0.0,114.719,88.095,18.026,66.284,160.194,18.026,127.423,18.026,147.866,18.026,147.866,88.095,147.866,18.026,66.284,66.284,114.719,18.026,66.284,66.284,128.123
INST0289_N25_W19_P003,88.095,88.095,27.496,24.909,88.095,70.637,88.095,0.0,72.151,70.637,88.095,88.095,61.972,0.0,68.471,70.637,53.818,88.095,70.637,0.0,72.151,24.909,40.204,0.0,53.818,24.909,40.204,24.909,88.095,88.095,27.496,0.0,70.637,24.909,72.151,70.637,40.204,70.637,61.972,70.637,61.972,0.0,61.972,70.637,24.909,24.909,27.496,70.637,24.909,24.909,68.471
INST0289_N25_W19_D003,160.194,160.194,45.89,94.929,160.194,142.787,160.194,72.151,0.0,142.787,160.194,160.194,28.407,72.151,78.578,142.787,20.081,160.194,142.787,72.151,0.0,94.929,33.728,72.151,20.081,94.929,33.728,94.929,160.194,160.194,45.89,72.151,142.787,94.929,0.0,142.787,33.728,142.787,28.407,142.787,28.407,72.151,28.407,142.787,94.929,94.929,45.89,142.787,94.929,94.929,78.578
INST0289_N25_W19_P004,18.026,18.026,97.602,50.015,18.026,0.0,18.026,70.637,142.787,0.0,18.026,18.026,129.907,70.637,115.643,0.0,124.166,18.026,0.0,70.637,142.787,50.015,110.354,70.637,124.166,50.015,110.354,50.015,18.026,18.026,97.602,70.637,0.0,50.015,142.787,0.0,110.354,0.0,129.907,0.0,129.907,70.637,129.907,0.0,50.015,50.015,97.602,0.0,50.015,50.015,115.643
