,depot,INST0173_N15_S23_P000,INST0173_N15_S23_D000,INST0173_N15_S23_P001,INST0173_N15_S23_D001,INST0173_N15_S23_P002,INST0173_N15_S23_D002,INST0173_N15_S23_P003,INST0173_N15_S23_D003,INST0173_N15_S23_P004,INST0173_N15_S23_D004,INST0173_N15_S23_P005,INST0173_N15_S23_D005,INST0173_N15_S23_P006,INST0173_N15_S23_D006,INST0173_N15_S23_P007,INST0173_N15_S23_D007,INST0173_N15_S23_P008,INST0173_N15_S23_D008,INST0173_N15_S23_P009,INST0173_N15_S23_D009,INST0173_N15_S23_P010,INST0173_N15_S23_D010,INST0173_N15_S23_P011,INST0173_N15_S23_D011,INST0173_N15_S23_P012,INST0173_N15_S23_D012,INST0173_N15_S23_P013,INST0173_N15_S23_D013,INST0173_N15_S23_P014,INST0173_N15_S23_D014
depot,0.0,26.505,49.927,62.898,129.526,7.008,24.239,58.521,49.927,62.898,0.0,58.521,60.745,26.505,24.239,26.505,24.239,49.927,95.708,5.477,26.505,62.898,49.927,0.0,49.927,60.745,58.521,7.008,60.745,26.505,58.521
INST0173_N15_S23_P000,26.505,0.0,65.388,88.975,145.321,32.298,21.517,37.715,65.388,88.975,26.505,37.715,75.908,0.0,21.517,0.0,21.517,65.388,112.576,21.478,0.0,88.975,65.388,26.505,65.388,75.908,37.715,32.298,75.908,0.0,37.715
INST0173_N15_S23_D000,49.927,65.388,0.0,71.865,80.368,43.838,45.002,103.002,0.0,71.865,49.927,103.002,10.867,65.388,45.002,65.388,45.002,0.0,47.206,50.526,65.388,71.865,0.0,49.927,0.0,10.867,103.002,43.838,10.867,65.388,103.002
INST0173_N15_S23_P001,62.898,88.975,71.865,0.0,123.443,58.699,83.416,113.511,71.865,0.0,62.898,113.511,77.092,88.975,83.416,88.975,83.416,71.865,93.449,68.319,88.975,0.0,71.865,62.898,71.865,77.092,113.511,58.699,77.092,88.975,113.511
INST0173_N15_S23_D001,129.526,145.321,80.368,123.443,0.0,122.952,124.222,183.035,80.368,123.443,129.526,183.035,69.589,145.321,124.222,145.321,124.222,80.368,33.969,130.689,145.321,123.443,80.368,129.526,80.368,69.589,183.035,122.952,69.589,145.321,183.035
INST0173_N15_S23_P002,7.008,32.298,43.838,58.699,122.952,0.0,25.439,65.452,43.838,58.699,7.008,65.452,54.565,32.298,25.439,32.298,25.439,43.838,89.072,10.881,32.298,58.699,43.838,7.008,43.838,54.565,65.452,0.0,54.565,32.298,65.452
INST0173_N15_S23_D002,24.239,21.517,45.002,83.416,124.222,25.439,0.0,59.019,45.002,83.416,24.239,59.019,55.171,21.517,0.0,21.517,0.0,45.002,91.902,19.629,21.517,83.416,45.002,24.239,45.002,55.171,59.019,25.439,55.171,21.517,59.019
INST0173_N15_S23_P003,58.521,37.715,103.002,113.511,183.035,65.452,59.019,0.0,103.002,113.511,58.521,0.0,113.587,37.715,59.019,37.715,59.019,103.002,150.208,55.179,37.715,113.511,103.002,58.521,103.002,113.587,0.0,65.452,113.587,37.715,0.0
INST0173_N15_S23_D003,49.927,65.388,0.0,71.865,80.368,43.838,45.002,103.002,0.0,71.865,49.927,103.002,10.867,65.388,45.002,65.388,45.002,0.0,47.206,50.526,65.388,71.865,0.0,49.927,0.0,10.867,103.002,43.838,10.867,65.388,103.002
INST0173_N15_S23_P004,62.898,88.975,71.865,0.0,123.443,58.699,83.416,113.511,71.865,0.0,62.898,113.511,77.092,88.975,83.416,88.975,83.416,71.865,93.449,68.319,88.975,0.0,71.865,62.898,71.865,77.092,113.511,58.699,77.092,88.975,113.511
