,depot,INST0147_N12_N27_P000,INST0147_N12_N27_D000,INST0147_N12_N27_P001,INST0147_N12_N27_D001,INST0147_N12_N27_P002,INST0147_N12_N27_D002,INST0147_N12_N27_P003,INST0147_N12_N27_D003,INST0147_N12_N27_P004,INST0147_N12_N27_D004,INST0147_N12_N27_P005,INST0147_N12_N27_D005,INST0147_N12_N27_P006,INST0147_N12_N27_D006,INST0147_N12_N27_P007,INST0147_N12_N27_D007,INST0147_N12_N27_P008,INST0147_N12_N27_D008,INST0147_N12_N27_P009,INST0147_N12_N27_D009,INST0147_N12_N27_P010,INST0147_N12_N27_D010,INST0147_N12_N27_P011,INST0147_N12_N27_D011
depot,0.0,40.266,18.283,18.791,35.534,18.283,35.653,18.283,40.266,40.266,93.214,18.791,27.709,35.653,93.214,27.709,35.534,18.283,82.833,18.791,27.709,40.266,35.653,27.709,82.833
INST0147_N12_N27_P000,40.266,0.0,26.126,21.8,20.683,26.126,48.052,26.126,0.0,0.0,81.189,21.8,13.942,48.052,81.189,13.942,20.683,26.126,46.019,21.8,13.942,0.0,48.052,13.942,46.019
INST0147_N12_N27_D000,18.283,26.126,0.0,7.201,17.254,0.0,27.111,0.0,26.126,26.126,95.136,7.201,18.229,27.111,95.136,18.229,17.254,0.0,71.779,7.201,18.229,26.126,27.111,18.229,71.779
INST0147_N12_N27_P001,18.791,21.8,7.201,0.0,19.671,7.201,34.294,7.201,21.8,21.8,87.958,0.0,11.477,34.294,87.958,11.477,19.671,7.201,66.32,0.0,11.477,21.8,34.294,11.477,66.32
INST0147_N12_N27_D001,35.534,20.683,17.254,19.671,0.0,17.254,28.616,17.254,20.683,20.683,100.436,19.671,23.461,28.616,100.436,23.461,0.0,17.254,64.86,19.671,23.461,20.683,28.616,23.461,64.86
INST0147_N12_N27_P002,18.283,26.126,0.0,7.201,17.254,0.0,27.111,0.0,26.126,26.126,95.136,7.201,18.229,27.111,95.136,18.229,17.254,0.0,71.779,7.201,18.229,26.126,27.111,18.229,71.779
INST0147_N12_N27_D002,35.653,48.052,27.111,34.294,28.616,27.111,0.0,27.111,48.052,48.052,122.247,34.294,44.646,0.0,122.247,44.646,28.616,27.111,93.371,34.294,44.646,48.052,0.0,44.646,93.371
INST0147_N12_N27_P003,18.283,26.126,0.0,7.201,17.254,0.0,27.111,0.0,26.126,26.126,95.136,7.201,18.229,27.111,95.136,18.229,17.254,0.0,71.779,7.201,18.229,26.126,27.111,18.229,71.779
INST0147_N12_N27_D003,40.266,0.0,26.126,21.8,20.683,26.126,48.052,26.126,0.0,0.0,81.189,21.8,13.942,48.052,81.189,13.942,20.683,26.126,46.019,21.8,13.942,0.0,48.052,13.942,46.019
INST0147_N12_N27_P004,40.266,0.0,26.126,21.8,20.683,26.126,48.052,26.126,0.0,0.0,81.189,21.8,13.942,48.052,81.189,13.942,20.683,26.126,46.019,21.8,13.942,0.0,48.052,13.942,46.019
INST0147_N12_N27_D004,93.214,81.189,95.136,87.958,100.436,95.136,122.247,95.136,81.189,81.189,0.0,87.958,78.292,122.247,0.0,78.292,100.436,95.136,65.084,87.958,78.292,81.189,122.247,78.292,65.084
INST0147_N12_N27_P005,18.791,21.8,7.201,0.0,19.671,7.201,34.294,7.201,21.8,21.8,87.958,0.0,11.477,34.294,87.958,11.477,19.671,7.201,66.32,0.0,11.477,21.8,34.294,11.477,66.32
INST0147_N12_N27_D005,27.709,13.942,18.229,11.477,23.461,18.229,44.646,18.229,13.942,13.942,78.292,11.477,0.0,44.646,78.292,0.0,23.461,18.229,55.435,11.477,0.0,13.942,44.646,0.0,55.435
INST0147_N12_N27_P006,35.653,48.052,27.111,34.294,28.616,27.111,0.0,27.111,48.052,48.052,122.247,34.294,44.646,0.0,122.247,44.646,28.616,27.111,93.371,34.294,44.646,48.052,0.0,44.646,93.371
INST0147_N12_N27_D006,93.214,81.189,95.136,87.958,100.436,95.136,122.247,95.136,81.189,81.189,0.0,87.958,78.292,122.247,0.0,78.292,100.436,95.136,65.084,87.958,78.292,81.189,122.247,78.292,65.084
INST0147_N12_N27_P007,27.709,13.942,18.229,11.477,23.461,18.229,44.646,18.229,13.942,13.942,78.292,11.477,0.0,44.646,78.292,0.0,23.461,18.229,55.435,11.477,0.0,13.942,44.646,0.0,55.435
INST0147_N12_N27_D007,35.534,20.683,17.254,19.671,0.0,17.254,28.616,17.254,20.683,20.683,100.436,19.671,23.461,28.616,100.436,23.461,0.0,17.254,64.86,19.671,23.461,20.683,28.616,23.461,64.86
INST0147_N12_N27_P008,18.283,26.126,0.0,7.201,17.254,0.0,27.111,0.0,26.126,26.126,95.136,7.201,18.229,27.111,95.136,18.229,17.254,0.0,71.779,7.201,18.229,26.126,27.111,18.229,71.779
INST0147_N12_N27_D008,82.833,46.019,71.779,66.32,64.86,71.779,93.371,71.779,46.019,46.019,65.084,66.32,55.435,93.371,65.084,55.435,64.86,71.779,0.0,66.32,55.435,46.019,93.371,55.435,0.0
INST0147_N12_N27_P009,18.791,21.8,7.201,0.0,19.671,7.201,34.294,7.201,21.8,21.8,87.958,0.0,11.477,34.294,87.958,11.477,19.671,7.201,66.32,0.0,11.477,21.8,34.294,11.477,66.32
INST0147_N12_N27_D009,27.709,13.942,18.229,11.477,23.461,18.229,44.646,18.229,13.942,13.942,78.292,11.477,0.0,44.646,78.292,0.0,23.461,18.229,55.435,11.477,0.0,13.942,44.646,0.0,55.435
INST0147_N12_N27_P010,40.266,0.0,26.126,21.8,20.683,26.126,48.052,26.126,0.0,0.0,81.189,21.8,13.942,48.052,81.189,13.942,20.683,26.126,46.019,21.8,13.942,0.0,48.052,13.942,46.019
INST0147_N12_N27_D010,35.653,48.052,27.111,34.294,28.616,27.111,0.0,27.111,48.052,48.052,122.247,34.294,44.646,0.0,122.247,44.646,28.616,27.111,93.371,34.294,44.646,48.052,0.0,44.646,93.371
INST0147_N12_N27_P011,27.709,13.942,18.229,11.477,23.461,18.229,44.646,18.229,13.942,13.942,78.292,11.477,0.0,44.646,78.292,0.0,23.461,18.229,55.435,11.477,0.0,13.942,44.646,0.0,55.435
INST0147_N12_N27_D011,82.833,46.019,71.779,66.32,64.86,71.779,93.371,71.779,46.019,46.019,65.084,66.32,55.435,93.371,65.084,55.435,64.86,71.779,0.0,66.32,55.435,46.019,93.371,55.435,0.0
