,depot,INST0185_N18_S05_P000,INST0185_N18_S05_D000,INST0185_N18_S05_P001,INST0185_N18_S05_D001,INST0185_N18_S05_P002,INST0185_N18_S05_D002,INST0185_N18_S05_P003,INST0185_N18_S05_D003,INST0185_N18_S05_P004,INST0185_N18_S05_D004,INST0185_N18_S05_P005,INST0185_N18_S05_D005,INST0185_N18_S05_P006,INST0185_N18_S05_D006,INST0185_N18_S05_P007,INST0185_N18_S05_D007,INST0185_N18_S05_P008,INST0185_N18_S05_D008,INST0185_N18_S05_P009,INST0185_N18_S05_D009,INST0185_N18_S05_P010,INST0185_N18_S05_D010,INST0185_N18_S05_P011,INST0185_N18_S05_D011,INST0185_N18_S05_P012,INST0185_N18_S05_D012,INST0185_N18_S05_P013,INST0185_N18_S05_D013,INST0185_N18_S05_P014,INST0185_N18_S05_D014,INST0185_N18_S05_P015,INST0185_N18_S05_D015,INST0185_N18_S05_P016,INST0185_N18_S05_D016,INST0185_N18_S05_P017,INST0185_N18_S05_D017
depot,0.0,55.179,61.394,21.478,36.46,55.179,61.394,5.477,19.629,61.394,50.526,68.319,5.477,36.46,50.526,55.179,21.478,50.526,61.394,36.46,5.477,19.629,68.319,50.526,19.629,0.0,55.179,0.0,55.179,21.478,97.061,61.394,19.629,5.477,68.319,68.319,55.179
INST0185_N18_S05_P000,55.179,0.0,113.587,37.715,54.903,0.0,113.587,58.521,59.019,113.587,103.002,113.511,58.521,54.903,103.002,0.0,37.715,103.002,113.587,54.903,58.521,59.019,113.511,103.002,59.019,55.179,0.0,55.179,0.0,37.715,150.208,113.587,59.019,58.521,113.511,113.511,0.0
INST0185_N18_S05_D000,61.394,113.587,0.0,75.908,67.889,113.587,0.0,60.745,55.171,0.0,10.867,77.092,60.745,67.889,10.867,113.587,75.908,10.867,0.0,67.889,60.745,55.171,77.092,10.867,55.171,61.394,113.587,61.394,113.587,75.908,36.733,0.0,55.171,60.745,77.092,77.092,113.587
INST0185_N18_S05_P001,21.478,37.715,75.908,0.0,24.954,37.715,75.908,26.505,21.517,75.908,65.388,88.975,26.505,24.954,65.388,37.715,0.0,65.388,75.908,24.954,26.505,21.517,88.975,65.388,21.517,21.478,37.715,21.478,37.715,0.0,112.576,75.908,21.517,26.505,88.975,88.975,37.715
INST0185_N18_S05_D001,36.46,54.903,67.889,24.954,0.0,54.903,67.889,41.761,19.488,67.889,59.003,102.776,41.761,0.0,59.003,54.903,24.954,59.003,67.889,0.0,41.761,19.488,102.776,59.003,19.488,36.46,54.903,36.46,54.903,24.954,103.829,67.889,19.488,41.761,102.776,102.776,54.903
INST0185_N18_S05_P002,55.179,0.0,113.587,37.715,54.903,0.0,113.587,58.521,59.019,113.587,103.002,113.511,58.521,54.903,103.002,0.0,37.715,103.002,113.587,54.903,58.521,59.019,113.511,103.002,59.019,55.179,0.0,55.179,0.0,37.715,150.208,113.587,59.019,58.521,113.511,113.511,0.0
INST0185_N18_S05_D002,61.394,113.587,0.0,75.908,67.889,113.587,0.0,60.745,55.171,0.0,10.867,77.092,60.745,67.889,10.867,113.587,75.908,10.867,0.0,67.889,60.745,55.171,77.092,10.867,55.171,61.394,113.587,61.394,113.587,75.908,36.733,0.0,55.171,60.745,77.092,77.092,113.587
INST0185_N18_S05_P003,5.477,58.521,60.745,26.505,41.761,58.521,60.745,0.0,24.239,60.745,49.927,62.898,0.0,41.761,49.927,58.521,26.505,49.927,60.745,41.761,0.0,24.239,62.898,49.927,24.239,5.477,58.521,5.477,58.521,26.505,95.708,60.745,24.239,0.0,62.898,62.898,58.521
INST0185_N18_S05_D003,19.629,59.019,55.171,21.517,19.488,59.019,55.171,24.239,0.0,55.171,45.002,83.416,24.239,19.488,45.002,59.019,21.517,45.002,55.171,19.488,24.239,0.0,83.416,45.002,0.0,19.629,59.019,19.629,59.019,21.517,91.902,55.171,0.0,24.239,83.416,83.416,59.019
INST0185_N18_S05_P004,61.394,113.587,0.0,75.908,67.889,113.587,0.0,60.745,55.171,0.0,10.867,77.092,60.745,67.889,10.867,113.587,75.908,10.867,0.0,67.889,60.745,55.171,77.092,10.867,55.171,61.394,113.587,61.394,113.587,75.908,36.733,0.0,55.171,60.745,77.092,77.092,113.587
INST0185_N18_S05_D004,50.526,103.002,10.867,65.388,59.003,103.002,10.867,49.927,45.002,10.867,0.0,71.865,49.927,59.003,0.0,103.002,65.388,0.0,10.867,59.003,49.927,45.002,71.865,0.0,45.002,50.526,103.002,50.526,103.002,65.388,47.206,10.867,45.002,49.927,71.865,71.865,103.002
INST0185_N18_S05_P005,68.319,113.511,77.092,88.975,102.776,113.511,77.092,62.898,83.416,77.092,71.865,0.0,62.898,102.776,71.865,113.511,88.975,71.865,77.092,102.776,62.898,83.416,0.0,71.865,83.416,68.319,113.511,68.319,113.511,88.975,93.449,77.092,83.416,62.898,0.0,0.0,113.511
INST0185_N18_S05_D005,5.477,58.521,60.745,26.505,41.761,58.521,60.745,0.0,24.239,60.745,49.927,62.898,0.0,41.761,49.927,58.521,26.505,49.927,60.745,41.761,0.0,24.239,62.898,49.927,24.239,5.477,58.521,5.477,58.521,26.505,95.708,60.745,24.239,0.0,62.898,62.898,58.521
INST0185_N18_S05_P006,36.46,54.903,67.889,24.954,0.0,54.903,67.889,41.761,19.488,67.889,59.003,102.776,41.761,0.0,59.003,54.903,24.954,59.003,67.889,0.0,41.761,19.488,102.776,59.003,19.488,36.46,54.903,36.46,54.903,24.954,103.829,67.889,19.488,41.761,102.776,102.776,54.903
INST0185_N18_S05_D006,50.526,103.002,10.867,65.388,59.003,103.002,10.867,49.927,45.002,10.867,0.0,71.865,49.927,59.003,0.0,103.002,65.388,0.0,10.867,59.003,49.927,45.002,71.865,0.0,45.002,50.526,103.002,50.526,103.002,65.388,47.206,10.867,45.002,49.927,71.865,71.865,103.002
INST0185_N18_S05_P007,55.179,0.0,113.587,37.715,54.903,0.0,113.587,58.521,59.019,113.587,103.002,113.511,58.521,54.903,103.002,0.0,37.715,103.002,113.587,54.903,58.521,59.019,113.511,103.002,59.019,55.179,0.0,55.179,0.0,37.715,150.208,113.587,59.019,58.521,113.511,113.511,0.0
INST0185_N18_S05_D007,21.478,37.715,75.908,0.0,24.954,37.715,75.908,26.505,21.517,75.908,65.388,88.975,26.505,24.954,65.388,37.715,0.0,65.388,75.908,24.954,26.505,21.517,88.975,65.388,21.517,21.478,37.715,21.478,37.715,0.0,112.576,75.908,21.517,26.505,88.975,88.975,37.715
INST0185_N18_S05_P008,50.526,103.002,10.867,65.388,59.003,103.002,10.867,49.927,45.002,10.867,0.0,71.865,49.927,59.003,0.0,103.002,65.388,0.0,10.867,59.003,49.927,45.002,71.865,0.0,45.002,50.526,103.002,50.526,103.002,65.388,47.206,10.867,45.002,49.927,71.865,71.865,103.002
INST0185_N18_S05_D008,61.394,113.587,0.0,75.908,67.889,113.587,0.0,60.745,55.171,0.0,10.867,77.092,60.745,67.889,10.867,113.587,75.908,10.867,0.0,67.889,60.745,55.171,77.092,10.867,55.171,61.394,113.587,61.394,113.587,75.908,36.733,0.0,55.171,60.745,77.092,77.092,113.587
INST0185_N18_S05_P009,36.46,54.903,67.889,24.954,0.0,54.903,67.889,41.761,19.488,67.889,59.003,102.776,41.761,0.0,59.003,54.903,24.954,59.003,67.889,0.0,41.761,19.488,102.776,59.003,19.488,36.46,54.903,36.46,54.903,24.954,103.829,67.889,19.488,41.761,102.776,102.776,54.903
INST0185_N18_S05_D009,5.477,58.521,60.745,26.505,41.761,58.521,60.745,0.0,24.239,60.745,49.927,62.898,0.0,41.761,49.927,58.521,26.505,49.927,60.745,41.761,0.0,24.239,62.898,49.927,24.239,5.477,58.521,5.477,58.521,26.505,95.708,60.745,24.239,0.0,62.898,62.898,58.521
INST0185_N18_S05_P010,19.629,59.019,55.171,21.517,19.488,59.019,55.171,24.239,0.0,55.171,45.002,83.416,24.239,19.488,45.002,59.019,21.517,45.002,55.171,19.488,24.239,0.0,83.416,45.002,0.0,19.629,59.019,19.629,59.019,21.517,91.902,55.171,0.0,24.239,83.416,83.416,59.019
INST0185_N18_S05_D010,68.319,113.511,77.092,88.975,102.776,113.511,77.092,62.898,83.416,77.092,71.865,0.0,62.898,102.776,71.865,113.511,88.975,71.865,77.092,102.776,62.898,83.416,0.0,71.865,83.416,68.319,113.511,68.319,113.511,88.975,93.449,77.092,83.416,62.898,0.0,0.0,113.511
INST0185_N18_S05_P011,50.526,103.002,10.867,65.388,59.003,103.002,10.867,49.927,45.002,10.867,0.0,71.865,49.927,59.003,0.0,103.002,65.388,0.0,10.867,59.003,49.927,45.002,71.865,0.0,45.002,50.526,103.002,50.526,103.002,65.388,47.206,10.867,45.002,49.927,71.865,71.865,103.002
INST0185_N18_S05_D011,19.629,59.019,55.171,21.517,19.488,59.019,55.171,24.239,0.0,55.171,45.002,83.416,24.239,19.488,45.002,59.019,21.517,45.002,55.171,19.488,24.239,0.0,83.416,45.002,0.0,19.629,59.019,19.629,59.019,21.517,91.902,55.171,0.0,24.239,83.416,83.416,59.019
INST0185_N18_S05_P012,0.0,55.179,61.394,21.478,36.46,55.179,61.394,5.477,19.629,61.394,50.526,68.319,5.477,36.46,50.526,55.179,21.478,50.526,61.394,36.46,5.477,19.629,68.319,50.526,19.629,0.0,55.179,0.0,55.179,21.478,97.061,61.394,19.629,5.477,68.319,68.319,55.179
INST0185_N18_S05_D012,55.179,0.0,113.587,37.715,54.903,0.0,113.587,58.521,59.019,113.587,103.002,113.511,58.521,54.903,103.002,0.0,37.715,103.002,113.587,54.903,58.521,59.019,113.511,103.002,59.019,55.179,0.0,55.179,0.0,37.715,150.208,113.587,59.019,58.521,113.511,113.511,0.0
INST0185_N18_S05_P013,0.0,55.179,61.394,21.478,36.46,55.179,61.394,5.477,19.629,61.394,50.526,68.319,5.477,36.46,50.526,55.179,21.478,50.526,61.394,36.46,5.477,19.629,68.319,50.526,19.629,0.0,55.179,0.0,55.179,21.478,97.061,61.394,19.629,5.477,68.319,68.319,55.179
INST0185_N18_S05_D013,55.179,0.0,113.587,37.715,54.903,0.0,113.587,58.521,59.019,113.587,103.002,113.511,58.521,54.903,103.002,0.0,37.715,103.002,113.587,54.903,58.521,59.019,113.511,103.002,59.019,55.179,0.0,55.179,0.0,37.715,150.208,113.587,59.019,58.521,113.511,113.511,0.0
INST0185_N18_S05_P014,21.478,37.715,75.908,0.0,24.954,37.715,75.908,26.505,21.517,75.908,65.388,88.975,26.505,24.954,65.388,37.715,0.0,65.388,75.908,24.954,26.505,21.517,88.975,65.388,21.517,21.478,37.715,21.478,37.715,0.0,112.576,75.908,21.517,26.505,88.975,88.975,37.715
INST0185_N18_S05_D014,97.061,150.208,36.733,112.576,103.829,150.208,36.733,95.708,91.902,36.733,47.206,93.449,95.708,103.829,47.206,150.208,112.576,47.206,36.733,103.829,95.708,91.902,93.449,47.206,91.902,97.061,150.208,97.061,150.208,112.576,0.0,36.733,91.902,95.708,93.449,93.449,150.208
INST0185_N18_S05_P015,61.394,113.587,0.0,75.908,67.889,113.587,0.0,60.745,55.171,0.0,10.867,77.092,60.745,67.889,10.867,113.587,75.908,10.867,0.0,67.889,60.745,55.171,77.092,10.867,55.171,61.394,113.587,61.394,113.587,75.908,36.733,0.0,55.171,60.745,77.092,77.092,113.587
