,depot,INST0287_N25_S17_P000,INST0287_N25_S17_D000,INST0287_N25_S17_P001,INST0287_N25_S17_D001,INST0287_N25_S17_P002,INST0287_N25_S17_D002,INST0287_N25_S17_P003,INST0287_N25_S17_D003,INST0287_N25_S17_P004,INST0287_N25_S17_D004,INST0287_N25_S17_P005,INST0287_N25_S17_D005,INST0287_N25_S17_P006,INST0287_N25_S17_D006,INST0287_N25_S17_P007,INST0287_N25_S17_D007,INST0287_N25_S17_P008,INST0287_N25_S17_D008,INST0287_N25_S17_P009,INST0287_N25_S17_D009,INST0287_N25_S17_P010,INST0287_N25_S17_D010,INST0287_N25_S17_P011,INST0287_N25_S17_D011,INST0287_N25_S17_P012,INST0287_N25_S17_D012,INST0287_N25_S17_P013,INST0287_N25_S17_D013,INST0287_N25_S17_P014,INST0287_N25_S17_D014,INST0287_N25_S17_P015,INST0287_N25_S17_D015,INST0287_N25_S17_P016,INST0287_N25_S17_D016,INST0287_N25_S17_P017,INST0287_N25_S17_D017,INST0287_N25_S17_P018,INST0287_N25_S17_D018,INST0287_N25_S17_P019,INST0287_N25_S17_D019,INST0287_N25_S17_P020,INST0287_N25_S17_D020,INST0287_N25_S17_P021,INST0287_N25_S17_D021,INST0287_N25_S17_P022,INST0287_N25_S17_D022,INST0287_N25_S17_P023,INST0287_N25_S17_D023,INST0287_N25_S17_P024,INST0287_N25_S17_D024
depot,0.0,21.517,19.488,45.002,19.629,25.439,83.416,55.171,83.416,24.239,91.902,0.0,45.002,21.517,55.171,25.439,45.002,21.517,19.488,0.0,25.439,21.517,19.629,21.517,24.239,45.002,59.019,25.439,21.517,19.629,59.019,55.171,124.222,0.0,19.629,0.0,91.902,59.019,19.488,0.0,124.222,21.517,0.0,59.019,19.488,21.517,24.239,21.517,83.416,55.171,24.239
INST0287_N25_S17_P000,21.517,0.0,24.954,65.388,21.478,32.298,88.975,75.908,88.975,26.505,112.576,21.517,65.388,0.0,75.908,32.298,65.388,0.0,24.954,21.517,32.298,0.0,21.478,0.0,26.505,65.388,37.715,32.298,0.0,21.478,37.715,75.908,145.321,21.517,21.478,21.517,112.576,37.715,24.954,21.517,145.321,0.0,21.517,37.715,24.954,0.0,26.505,0.0,88.975,75.908,26.505
INST0287_N25_S17_D000,19.488,24.954,0.0,59.003,36.46,44.339,102.776,67.889,102.776,41.761,103.829,19.488,59.003,24.954,67.889,44.339,59.003,24.954,0.0,19.488,44.339,24.954,36.46,24.954,41.761,59.003,54.903,44.339,24.954,36.46,54.903,67.889,134.327,19.488,36.46,19.488,103.829,54.903,0.0,19.488,134.327,24.954,19.488,54.903,0.0,24.954,41.761,24.954,102.776,67.889,41.761
INST0287_N25_S17_P001,45.002,65.388,59.003,0.0,50.526,43.838,71.865,10.867,71.865,49.927,47.206,45.002,0.0,65.388,10.867,43.838,0.0,65.388,59.003,45.002,43.838,65.388,50.526,65.388,49.927,0.0,103.002,43.838,65.388,50.526,103.002,10.867,80.368,45.002,50.526,45.002,47.206,103.002,59.003,45.002,80.368,65.388,45.002,103.002,59.003,65.388,49.927,65.388,71.865,10.867,49.927
INST0287_N25_S17_D001,19.629,21.478,36.46,50.526,0.0,10.881,68.319,61.394,68.319,5.477,97.061,19.629,50.526,21.478,61.394,10.881,50.526,21.478,36.46,19.629,10.881,21.478,0.0,21.478,5.477,50.526,55.179,10.881,21.478,0.0,55.179,61.394,130.689,19.629,0.0,19.629,97.061,55.179,36.46,19.629,130.689,21.478,19.629,55.179,36.46,21.478,5.477,21.478,68.319,61.394,5.477
INST0287_N25_S17_P002,25.439,32.298,44.339,43.838,10.881,0.0,58.699,54.565,58.699,7.008,89.072,25.439,43.838,32.298,54.565,0.0,43.838,32.298,44.339,25.439,0.0,32.298,10.881,32.298,7.008,43.838,65.452,0.0,32.298,10.881,65.452,54.565,122.952,25.439,10.881,25.439,89.072,65.452,44.339,25.439,122.952,32.298,25.439,65.452,44.339,32.298,7.008,32.298,58.699,54.565,7.008
INST0287_N25_S17_D002,83.416,88.975,102.776,71.865,68.319,58.699,0.0,77.092,0.0,62.898,93.449,83.416,71.865,88.975,77.092,58.699,71.865,88.975,102.776,83.416,58.699,88.975,68.319,88.975,62.898,71.865,113.511,58.699,88.975,68.319,113.511,77.092,123.443,83.416,68.319,83.416,93.449,113.511,102.776,83.416,123.443,88.975,83.416,113.511,102.776,88.975,62.898,88.975,0.0,77.092,62.898
INST0287_N25_S17_P003,55.171,75.908,67.889,10.867,61.394,54.565,77.092,0.0,77.092,60.745,36.733,55.171,10.867,75.908,0.0,54.565,10.867,75.908,67.889,55.171,54.565,75.908,61.394,75.908,60.745,10.867,113.587,54.565,75.908,61.394,113.587,0.0,69.589,55.171,61.394,55.171,36.733,113.587,67.889,55.171,69.589,75.908,55.171,113.587,67.889,75.908,60.745,75.908,77.092,0.0,60.745
INST0287_N25_S17_D003,83.416,88.975,102.776,71.865,68.319,58.699,0.0,77.092,0.0,62.898,93.449,83.416,71.865,88.975,77.092,58.699,71.865,88.975,102.776,83.416,58.699,88.975,68.319,88.975,62.898,71.865,113.511,58.699,88.975,68.319,113.511,77.092,123.443,83.416,68.319,83.416,93.449,113.511,102.776,83.416,123.443,88.975,83.416,113.511,102.776,88.975,62.898,88.975,0.0,77.092,62.898
INST0287_N25_S17_P004,24.239,26.505,41.761,49.927,5.477,7.008,62.898,60.745,62.898,0.0,95.708,24.239,49.927,26.505,60.745,7.008,49.927,26.505,41.761,24.239,7.008,26.505,5.477,26.505,0.0,49.927,58.521,7.008,26.505,5.477,58.521,60.745,129.526,24.239,5.477,24.239,95.708,58.521,41.761,24.239,129.526,26.505,24.239,58.521,41.761,26.505,0.0,26.505,62.898,60.745,0.0
