,depot,INST0107_N10_S17_P000,INST0107_N10_S17_D000,INST0107_N10_S17_P001,INST0107_N10_S17_D001,INST0107_N10_S17_P002,INST0107_N10_S17_D002,INST0107_N10_S17_P003,INST0107_N10_S17_D003,INST0107_N10_S17_P004,INST0107_N10_S17_D004,INST0107_N10_S17_P005,INST0107_N10_S17_D005,INST0107_N10_S17_P006,INST0107_N10_S17_D006,INST0107_N10_S17_P007,INST0107_N10_S17_D007,INST0107_N10_S17_P008,INST0107_N10_S17_D008,INST0107_N10_S17_P009,INST0107_N10_S17_D009
depot,0.0,23.863,26.348,67.557,29.68,0.0,112.533,24.036,26.348,26.348,24.036,67.557,55.105,0.0,31.149,23.863,26.348,55.105,72.268,24.036,72.268
INST0107_N10_S17_P000,23.863,0.0,30.556,83.129,51.136,23.863,127.137,44.645,30.556,30.556,44.645,83.129,72.248,23.863,54.293,0.0,30.556,72.248,67.228,44.645,67.228
INST0107_N10_S17_D000,26.348,30.556,0.0,92.948,32.455,26.348,137.848,26.3,0.0,0.0,26.3,92.948,80.067,26.348,39.549,30.556,0.0,80.067,46.181,26.3,46.181
INST0107_N10_S17_P001,67.557,83.129,92.948,0.0,74.382,67.557,44.98,75.176,92.948,92.948,75.176,0.0,13.307,67.557,66.815,83.129,92.948,13.307,139.086,75.176,139.086
INST0107_N10_S17_D001,29.68,51.136,32.455,74.382,0.0,29.68,117.194,6.707,32.455,32.455,6.707,74.382,61.135,29.68,8.581,51.136,32.455,61.135,71.658,6.707,71.658
INST0107_N10_S17_P002,0.0,23.863,26.348,67.557,29.68,0.0,112.533,24.036,26.348,26.348,24.036,67.557,55.105,0.0,31.149,23.863,26.348,55.105,72.268,24.036,72.268
INST0107_N10_S17_D002,112.533,127.137,137.848,44.98,117.194,112.533,0.0,118.85,137.848,137.848,118.85,44.98,57.803,112.533,109.068,127.137,137.848,57.803,183.928,118.85,183.928
INST0107_N10_S17_P003,24.036,44.645,26.3,75.176,6.707,24.036,118.85,0.0,26.3,26.3,0.0,75.176,61.869,24.036,13.324,44.645,26.3,61.869,67.566,0.0,67.566
INST0107_N10_S17_D003,26.348,30.556,0.0,92.948,32.455,26.348,137.848,26.3,0.0,0.0,26.3,92.948,80.067,26.348,39.549,30.556,0.0,80.067,46.181,26.3,46.181
INST0107_N10_S17_P004,26.348,30.556,0.0,92.948,32.455,26.348,137.848,26.3,0.0,0.0,26.3,92.948,80.067,26.348,39.549,30.556,0.0,80.067,46.181,26.3,46.181
INST0107_N10_S17_D004,24.036,44.645,26.3,75.176,6.707,24.036,118.85,0.0,26.3,26.3,0.0,75.176,61.869,24.036,13.324,44.645,26.3,61.869,67.566,0.0,67.566
INST0107_N10_S17_P005,67.557,83.129,92.948,0.0,74.382,67.557,44.98,75.176,92.948,92.948,75.176,0.0,13.307,67.557,66.815,83.129,92.948,13.307,139.086,75.176,139.086
INST0107_N10_S17_D005,55.105,72.248,80.067,13.307,61.135,55.105,57.803,61.869,80.067,80.067,61.869,13.307,0.0,55.105,53.679,72.248,80.067,0.0,126.125,61.869,126.125
INST0107_N10_S17_P006,0.0,23.863,26.348,67.557,29.68,0.0,112.533,24.036,26.348,26.348,24.036,67.557,55.105,0.0,31.149,23.863,26.348,55.105,72.268,24.036,72.268
INST0107_N10_S17_D006,31.149,54.293,39.549,66.815,8.581,31.149,109.068,13.324,39.549,39.549,13.324,66.815,53.679,31.149,0.0,54.293,39.549,53.679,80.145,13.324,80.145
INST0107_N10_S17_P007,23.863,0.0,30.556,83.129,51.136,23.863,127.137,44.645,30.556,30.556,44.645,83.129,72.248,23.863,54.293,0.0,30.556,72.248,67.228,44.645,67.228
INST0107_N10_S17_D007,26.348,30.556,0.0,92.948,32.455,26.348,137.848,26.3,0.0,0.0,26.3,92.948,80.067,26.348,39.549,30.556,0.0,80.067,46.181,26.3,46.181
INST0107_N10_S17_P008,55.105,72.248,80.067,13.307,61.135,55.105,57.803,61.869,80.067,80.067,61.869,13.307,0.0,55.105,53.679,72.248,80.067,0.0,126.125,61.869,126.125
INST0107_N10_S17_D008,72.268,67.228,46.181,139.086,71.658,72.268,183.928,67.566,46.181,46.181,67.566,139.086,126.125,72.268,80.145,67.228,46.181,126.125,0.0,67.566,0.0
INST0107_N10_S17_P009,24.036,44.645,26.3,75.176,6.707,24.036,118.85,0.0,26.3,26.3,0.0,75.176,61.869,24.036,13.324,44.645,26.3,61.869,67.566,0.0,67.566
INST0107_N10_S17_D009,72.268,67.228,46.181,139.086,71.658,72.268,183.928,67.566,46.181,46.181,67.566,139.086,126.125,72.268,80.145,67.228,46.181,126.125,0.0,67.566,0.0
