,depot,INST0205_N18_W25_P000,INST0205_N18_W25_D000,INST0205_N18_W25_P001,INST0205_N18_W25_D001,INST0205_N18_W25_P002,INST0205_N18_W25_D002,INST0205_N18_W25_P003,INST0205_N18_W25_D003,INST0205_N18_W25_P004,INST0205_N18_W25_D004,INST0205_N18_W25_P005,INST0205_N18_W25_D005,INST0205_N18_W25_P006,INST0205_N18_W25_D006,INST0205_N18_W25_P007,INST0205_N18_W25_D007,INST0205_N18_W25_P008,INST0205_N18_W25_D008,INST0205_N18_W25_P009,INST0205_N18_W25_D009,INST0205_N18_W25_P010,INST0205_N18_W25_D010,INST0205_N18_W25_P011,INST0205_N18_W25_D011,INST0205_N18_W25_P012,INST0205_N18_W25_D012,INST0205_N18_W25_P013,INST0205_N18_W25_D013,INST0205_N18_W25_P014,INST0205_N18_W25_D014,INST0205_N18_W25_P015,INST0205_N18_W25_D015,INST0205_N18_W25_P016,INST0205_N18_W25_D016,INST0205_N18_W25_P017,INST0205_N18_W25_D017
depot,0.0,36.098,133.671,84.648,63.48,36.098,23.331,22.951,63.48,84.648,20.02,84.648,14.369,63.48,150.679,63.48,64.294,14.369,84.648,23.331,133.671,23.331,36.098,20.02,0.0,0.0,14.369,84.648,20.02,84.648,14.369,64.294,150.679,22.951,63.48,64.294,133.671
INST0205_N18_W25_P000,36.098,0.0,97.602,49.056,27.496,0.0,12.767,25.201,27.496,49.056,29.878,49.056,45.89,27.496,114.719,27.496,56.961,45.89,49.056,12.767,97.602,12.767,0.0,29.878,36.098,36.098,45.89,49.056,29.878,49.056,45.89,56.961,114.719,25.201,27.496,56.961,97.602
INST0205_N18_W25_D000,133.671,97.602,0.0,50.015,70.637,97.602,110.354,117.595,70.637,50.015,124.166,50.015,142.787,70.637,18.026,70.637,115.643,142.787,50.015,110.354,0.0,110.354,97.602,124.166,133.671,133.671,142.787,50.015,124.166,50.015,142.787,115.643,18.026,117.595,70.637,115.643,0.0
INST0205_N18_W25_P001,84.648,49.056,50.015,0.0,24.909,49.056,61.567,67.612,24.909,0.0,77.687,0.0,94.929,24.909,66.284,24.909,70.587,94.929,0.0,61.567,50.015,61.567,49.056,77.687,84.648,84.648,94.929,0.0,77.687,0.0,94.929,70.587,66.284,67.612,24.909,70.587,50.015
INST0205_N18_W25_D001,63.48,27.496,70.637,24.909,0.0,27.496,40.204,50.631,0.0,24.909,53.818,24.909,72.151,0.0,88.095,0.0,68.471,72.151,24.909,40.204,70.637,40.204,27.496,53.818,63.48,63.48,72.151,24.909,53.818,24.909,72.151,68.471,88.095,50.631,0.0,68.471,70.637
INST0205_N18_W25_P002,36.098,0.0,97.602,49.056,27.496,0.0,12.767,25.201,27.496,49.056,29.878,49.056,45.89,27.496,114.719,27.496,56.961,45.89,49.056,12.767,97.602,12.767,0.0,29.878,36.098,36.098,45.89,49.056,29.878,49.056,45.89,56.961,114.719,25.201,27.496,56.961,97.602
INST0205_N18_W25_D002,23.331,12.767,110.354,61.567,40.204,12.767,0.0,17.238,40.204,61.567,20.56,61.567,33.728,40.204,127.423,40.204,57.051,33.728,61.567,0.0,110.354,0.0,12.767,20.56,23.331,23.331,33.728,61.567,20.56,61.567,33.728,57.051,127.423,17.238,40.204,57.051,110.354
INST0205_N18_W25_P003,22.951,25.201,117.595,67.612,50.631,25.201,17.238,0.0,50.631,67.612,32.905,67.612,37.156,50.631,133.769,50.631,43.046,37.156,67.612,17.238,117.595,17.238,25.201,32.905,22.951,22.951,37.156,67.612,32.905,67.612,37.156,43.046,133.769,0.0,50.631,43.046,117.595
INST0205_N18_W25_D003,63.48,27.496,70.637,24.909,0.0,27.496,40.204,50.631,0.0,24.909,53.818,24.909,72.151,0.0,88.095,0.0,68.471,72.151,24.909,40.204,70.637,40.204,27.496,53.818,63.48,63.48,72.151,24.909,53.818,24.909,72.151,68.471,88.095,50.631,0.0,68.471,70.637
INST0205_N18_W25_P004,84.648,49.056,50.015,0.0,24.909,49.056,61.567,67.612,24.909,0.0,77.687,0.0,94.929,24.909,66.284,24.909,70.587,94.929,0.0,61.567,50.015,61.567,49.056,77.687,84.648,84.648,94.929,0.0,77.687,0.0,94.929,70.587,66.284,67.612,24.909,70.587,50.015
