,depot,INST0167_N15_S17_P000,INST0167_N15_S17_D000,INST0167_N15_S17_P001,INST0167_N15_S17_D001,INST0167_N15_S17_P002,INST0167_N15_S17_D002,INST0167_N15_S17_P003,INST0167_N15_S17_D003,INST0167_N15_S17_P004,INST0167_N15_S17_D004,INST0167_N15_S17_P005,INST0167_N15_S17_D005,INST0167_N15_S17_P006,INST0167_N15_S17_D006,INST0167_N15_S17_P007,INST0167_N15_S17_D007,INST0167_N15_S17_P008,INST0167_N15_S17_D008,INST0167_N15_S17_P009,INST0167_N15_S17_D009,INST0167_N15_S17_P010,INST0167_N15_S17_D010,INST0167_N15_S17_P011,INST0167_N15_S17_D011,INST0167_N15_S17_P012,INST0167_N15_S17_D012,INST0167_N15_S17_P013,INST0167_N15_S17_D013,INST0167_N15_S17_P014,INST0167_N15_S17_D014
depot,0.0,19.629,45.002,19.629,21.517,19.488,19.629,45.002,21.517,0.0,45.002,59.019,19.488,19.629,0.0,55.171,24.239,45.002,83.416,25.439,124.222,25.439,19.629,24.239,83.416,45.002,19.488,55.171,45.002,19.488,21.517
INST0167_N15_S17_P000,19.629,0.0,50.526,0.0,21.478,36.46,0.0,50.526,21.478,19.629,50.526,55.179,36.46,0.0,19.629,61.394,5.477,50.526,68.319,10.881,130.689,10.881,0.0,5.477,68.319,50.526,36.46,61.394,50.526,36.46,21.478
INST0167_N15_S17_D000,45.002,50.526,0.0,50.526,65.388,59.003,50.526,0.0,65.388,45.002,0.0,103.002,59.003,50.526,45.002,10.867,49.927,0.0,71.865,43.838,80.368,43.838,50.526,49.927,71.865,0.0,59.003,10.867,0.0,59.003,65.388
INST0167_N15_S17_P001,19.629,0.0,50.526,0.0,21.478,36.46,0.0,50.526,21.478,19.629,50.526,55.179,36.46,0.0,19.629,61.394,5.477,50.526,68.319,10.881,130.689,10.881,0.0,5.477,68.319,50.526,36.46,61.394,50.526,36.46,21.478
INST0167_N15_S17_D001,21.517,21.478,65.388,21.478,0.0,24.954,21.478,65.388,0.0,21.517,65.388,37.715,24.954,21.478,21.517,75.908,26.505,65.388,88.975,32.298,145.321,32.298,21.478,26.505,88.975,65.388,24.954,75.908,65.388,24.954,0.0
INST0167_N15_S17_P002,19.488,36.46,59.003,36.46,24.954,0.0,36.46,59.003,24.954,19.488,59.003,54.903,0.0,36.46,19.488,67.889,41.761,59.003,102.776,44.339,134.327,44.339,36.46,41.761,102.776,59.003,0.0,67.889,59.003,0.0,24.954
INST0167_N15_S17_D002,19.629,0.0,50.526,0.0,21.478,36.46,0.0,50.526,21.478,19.629,50.526,55.179,36.46,0.0,19.629,61.394,5.477,50.526,68.319,10.881,130.689,10.881,0.0,5.477,68.319,50.526,36.46,61.394,50.526,36.46,21.478
INST0167_N15_S17_P003,45.002,50.526,0.0,50.526,65.388,59.003,50.526,0.0,65.388,45.002,0.0,103.002,59.003,50.526,45.002,10.867,49.927,0.0,71.865,43.838,80.368,43.838,50.526,49.927,71.865,0.0,59.003,10.867,0.0,59.003,65.388
INST0167_N15_S17_D003,21.517,21.478,65.388,21.478,0.0,24.954,21.478,65.388,0.0,21.517,65.388,37.715,24.954,21.478,21.517,75.908,26.505,65.388,88.975,32.298,145.321,32.298,21.478,26.505,88.975,65.388,24.954,75.908,65.388,24.954,0.0
INST0167_N15_S17_P004,0.0,19.629,45.002,19.629,21.517,19.488,19.629,45.002,21.517,0.0,45.002,59.019,19.488,19.629,0.0,55.171,24.239,45.002,83.416,25.439,124.222,25.439,19.629,24.239,83.416,45.002,19.488,55.171,45.002,19.488,21.517
INST0167_N15_S17_D004,45.002,50.526,0.0,50.526,65.388,59.003,50.526,0.0,65.388,45.002,0.0,103.002,59.003,50.526,45.002,10.867,49.927,0.0,71.865,43.838,80.368,43.838,50.526,49.927,71.865,0.0,59.003,10.867,0.0,59.003,65.388
INST0167_N15_S17_P005,59.019,55.179,103.002,55.179,37.715,54.903,55.179,103.002,37.715,59.019,103.002,0.0,54.903,55.179,59.019,113.587,58.521,103.002,113.511,65.452,183.035,65.452,55.179,58.521,113.511,103.002,54.903,113.587,103.002,54.903,37.715
INST0167_N15_S17_D005,19.488,36.46,59.003,36.46,24.954,0.0,36.46,59.003,24.954,19.488,59.003,54.903,0.0,36.46,19.488,67.889,41.761,59.003,102.776,44.339,134.327,44.339,36.46,41.761,102.776,59.003,0.0,67.889,59.003,0.0,24.954
INST0167_N15_S17_P006,19.629,0.0,50.526,0.0,21.478,36.46,0.0,50.526,21.478,19.629,50.526,55.179,36.46,0.0,19.629,61.394,5.477,50.526,68.319,10.881,130.689,10.881,0.0,5.477,68.319,50.526,36.46,61.394,50.526,36.46,21.478
INST0167_N15_S17_D006,0.0,19.629,45.002,19.629,21.517,19.488,19.629,45.002,21.517,0.0,45.002,59.019,19.488,19.629,0.0,55.171,24.239,45.002,83.416,25.439,124.222,25.439,19.629,24.239,83.416,45.002,19.488,55.171,45.002,19.488,21.517
INST0167_N15_S17_P007,55.171,61.394,10.867,61.394,75.908,67.889,61.394,10.867,75.908,55.171,10.867,113.587,67.889,61.394,55.171,0.0,60.745,10.867,77.092,54.565,69.589,54.565,61.394,60.745,77.092,10.867,67.889,0.0,10.867,67.889,75.908
