,depot,INST0070_N8_W10_P000,INST0070_N8_W10_D000,INST0070_N8_W10_P001,INST0070_N8_W10_D001,INST0070_N8_W10_P002,INST0070_N8_W10_D002,INST0070_N8_W10_P003,INST0070_N8_W10_D003,INST0070_N8_W10_P004,INST0070_N8_W10_D004,INST0070_N8_W10_P005,INST0070_N8_W10_D005,INST0070_N8_W10_P006,INST0070_N8_W10_D006,INST0070_N8_W10_P007,INST0070_N8_W10_D007
depot,0.0,36.098,0.0,20.02,63.48,0.0,35.228,64.294,84.648,84.648,133.671,35.228,14.369,36.098,63.48,14.369,20.02
INST0070_N8_W10_P000,36.098,0.0,36.098,29.878,27.496,36.098,43.098,56.961,49.056,49.056,97.602,43.098,45.89,0.0,27.496,45.89,29.878
INST0070_N8_W10_D000,0.0,36.098,0.0,20.02,63.48,0.0,35.228,64.294,84.648,84.648,133.671,35.228,14.369,36.098,63.48,14.369,20.02
INST0070_N8_W10_P001,20.02,29.878,20.02,0.0,53.818,20.02,17.435,75.699,77.687,77.687,124.166,17.435,20.081,29.878,53.818,20.081,0.0
INST0070_N8_W10_D001,63.48,27.496,63.48,53.818,0.0,63.48,61.972,68.471,24.909,24.909,70.637,61.972,72.151,27.496,0.0,72.151,53.818
INST0070_N8_W10_P002,0.0,36.098,0.0,20.02,63.48,0.0,35.228,64.294,84.648,84.648,133.671,35.228,14.369,36.098,63.48,14.369,20.02
INST0070_N8_W10_D002,35.228,43.098,35.228,17.435,61.972,35.228,0.0,92.961,86.82,86.82,129.907,0.0,28.407,43.098,61.972,28.407,17.435
INST0070_N8_W10_P003,64.294,56.961,64.294,75.699,68.471,64.294,92.961,0.0,70.587,70.587,115.643,92.961,78.578,56.961,68.471,78.578,75.699
INST0070_N8_W10_D003,84.648,49.056,84.648,77.687,24.909,84.648,86.82,70.587,0.0,0.0,50.015,86.82,94.929,49.056,24.909,94.929,77.687
INST0070_N8_W10_P004,84.648,49.056,84.648,77.687,24.909,84.648,86.82,70.587,0.0,0.0,50.015,86.82,94.929,49.056,24.909,94.929,77.687
INST0070_N8_W10_D004,133.671,97.602,133.671,124.166,70.637,133.671,129.907,115.643,50.015,50.015,0.0,129.907,142.787,97.602,70.637,142.787,124.166
INST0070_N8_W10_P005,35.228,43.098,35.228,17.435,61.972,35.228,0.0,92.961,86.82,86.82,129.907,0.0,28.407,43.098,61.972,28.407,17.435
INST0070_N8_W10_D005,14.369,45.89,14.369,20.081,72.151,14.369,28.407,78.578,94.929,94.929,142.787,28.407,0.0,45.89,72.151,0.0,20.081
INST0070_N8_W10_P006,36.098,0.0,36.098,29.878,27.496,36.098,43.098,56.961,49.056,49.056,97.602,43.098,45.89,0.0,27.496,45.89,29.878
INST0070_N8_W10_D006,63.48,27.496,63.48,53.818,0.0,63.48,61.972,68.471,24.909,24.909,70.637,61.972,72.151,27.496,0.0,72.151,53.818
INST0070_N8_W10_P007,14.369,45.89,14.369,20.081,72.151,14.369,28.407,78.578,94.929,94.929,142.787,28.407,0.0,45.89,72.151,0.0,20.081
INST0070_N8_W10_D007,20.02,29.878,20.02,0.0,53.818,20.02,17.435,75.699,77.687,77.687,124.166,17.435,20.081,29.878,53.818,20.081,0.0
