,depot,INST0091_N10_W01_P000,INST0091_N10_W01_D000,INST0091_N10_W01_P001,INST0091_N10_W01_D001,INST0091_N10_W01_P002,INST0091_N10_W01_D002,INST0091_N10_W01_P003,INST0091_N10_W01_D003,INST0091_N10_W01_P004,INST0091_N10_W01_D004,INST0091_N10_W01_P005,INST0091_N10_W01_D005,INST0091_N10_W01_P006,INST0091_N10_W01_D006,INST0091_N10_W01_P007,INST0091_N10_W01_D007,INST0091_N10_W01_P008,INST0091_N10_W01_D008,INST0091_N10_W01_P009,INST0091_N10_W01_D009
depot,0.0,0.0,35.155,41.092,14.077,55.217,41.349,41.092,147.26,0.0,35.155,41.092,55.217,41.092,147.26,18.744,35.155,0.0,35.155,55.217,26.872
INST0091_N10_W01_P000,0.0,0.0,35.155,41.092,14.077,55.217,41.349,41.092,147.26,0.0,35.155,41.092,55.217,41.092,147.26,18.744,35.155,0.0,35.155,55.217,26.872
INST0091_N10_W01_D000,35.155,35.155,0.0,75.918,46.592,57.646,55.918,75.918,178.909,35.155,0.0,75.918,57.646,75.918,178.909,52.507,0.0,35.155,0.0,57.646,61.821
INST0091_N10_W01_P001,41.092,41.092,75.918,0.0,29.954,70.903,50.611,0.0,108.909,41.092,75.918,0.0,70.903,0.0,108.909,28.769,75.918,41.092,75.918,70.903,14.239
INST0091_N10_W01_D001,14.077,14.077,46.592,29.954,0.0,50.28,32.833,29.954,133.597,14.077,46.592,29.954,50.28,29.954,133.597,19.054,46.592,14.077,46.592,50.28,16.791
INST0091_N10_W01_P002,55.217,55.217,57.646,70.903,50.28,0.0,20.342,70.903,143.94,55.217,57.646,70.903,0.0,70.903,143.94,69.129,57.646,55.217,57.646,0.0,63.444
INST0091_N10_W01_D002,41.349,41.349,55.918,50.611,32.833,20.342,0.0,50.611,130.013,41.349,55.918,50.611,20.342,50.611,130.013,51.842,55.918,41.349,55.918,20.342,43.952
INST0091_N10_W01_P003,41.092,41.092,75.918,0.0,29.954,70.903,50.611,0.0,108.909,41.092,75.918,0.0,70.903,0.0,108.909,28.769,75.918,41.092,75.918,70.903,14.239
INST0091_N10_W01_D003,147.26,147.26,178.909,108.909,133.597,143.94,130.013,108.909,0.0,147.26,178.909,108.909,143.94,108.909,0.0,137.675,178.909,147.26,178.909,143.94,122.204
INST0091_N10_W01_P004,0.0,0.0,35.155,41.092,14.077,55.217,41.349,41.092,147.26,0.0,35.155,41.092,55.217,41.092,147.26,18.744,35.155,0.0,35.155,55.217,26.872
INST0091_N10_W01_D004,35.155,35.155,0.0,75.918,46.592,57.646,55.918,75.918,178.909,35.155,0.0,75.918,57.646,75.918,178.909,52.507,0.0,35.155,0.0,57.646,61.821
INST0091_N10_W01_P005,41.092,41.092,75.918,0.0,29.954,70.903,50.611,0.0,108.909,41.092,75.918,0.0,70.903,0.0,108.909,28.769,75.918,41.092,75.918,70.903,14.239
INST0091_N10_W01_D005,55.217,55.217,57.646,70.903,50.28,0.0,20.342,70.903,143.94,55.217,57.646,70.903,0.0,70.903,143.94,69.129,57.646,55.217,57.646,0.0,63.444
INST0091_N10_W01_P006,41.092,41.092,75.918,0.0,29.954,70.903,50.611,0.0,108.909,41.092,75.918,0.0,70.903,0.0,108.909,28.769,75.918,41.092,75.918,70.903,14.239
INST0091_N10_W01_D006,147.26,147.26,178.909,108.909,133.597,143.94,130.013,108.909,0.0,147.26,178.909,108.909,143.94,108.909,0.0,137.675,178.909,147.26,178.909,143.94,122.204
INST0091_N10_W01_P007,18.744,18.744,52.507,28.769,19.054,69.129,51.842,28.769,137.675,18.744,52.507,28.769,69.129,28.769,137.675,0.0,52.507,18.744,52.507,69.129,16.35
INST0091_N10_W01_D007,35.155,35.155,0.0,75.918,46.592,57.646,55.918,75.918,178.909,35.155,0.0,75.918,57.646,75.918,178.909,52.507,0.0,35.155,0.0,57.646,61.821
INST0091_N10_W01_P008,0.0,0.0,35.155,41.092,14.077,55.217,41.349,41.092,147.26,0.0,35.155,41.092,55.217,41.092,147.26,18.744,35.155,0.0,35.155,55.217,26.872
INST0091_N10_W01_D008,35.155,35.155,0.0,75.918,46.592,57.646,55.918,75.918,178.909,35.155,0.0,75.918,57.646,75.918,178.909,52.507,0.0,35.155,0.0,57.646,61.821
INST0091_N10_W01_P009,55.217,55.217,57.646,70.903,50.28,0.0,20.342,70.903,143.94,55.217,57.646,70.903,0.0,70.903,143.94,69.129,57.646,55.217,57.646,0.0,63.444
INST0091_N10_W01_D009,26.872,26.872,61.821,14.239,16.791,63.444,43.952,14.239,122.204,26.872,61.821,14.239,63.444,14.239,122.204,16.35,61.821,26.872,61.821,63.444,0.0
