,depot,INST0153_N15_N03_P000,INST0153_N15_N03_D000,INST0153_N15_N03_P001,INST0153_N15_N03_D001,INST0153_N15_N03_P002,INST0153_N15_N03_D002,INST0153_N15_N03_P003,INST0153_N15_N03_D003,INST0153_N15_N03_P004,INST0153_N15_N03_D004,INST0153_N15_N03_P005,INST0153_N15_N03_D005,INST0153_N15_N03_P006,INST0153_N15_N03_D006,INST0153_N15_N03_P007,INST0153_N15_N03_D007,INST0153_N15_N03_P008,INST0153_N15_N03_D008,INST0153_N15_N03_P009,INST0153_N15_N03_D009,INST0153_N15_N03_P010,INST0153_N15_N03_D010,INST0153_N15_N03_P011,INST0153_N15_N03_D011,INST0153_N15_N03_P012,INST0153_N15_N03_D012,INST0153_N15_N03_P013,INST0153_N15_N03_D013,INST0153_N15_N03_P014,INST0153_N15_N03_D014
depot,0.0,52.8,77.555,0.0,66.572,46.06,66.572,11.436,77.555,66.572,77.555,23.353,30.471,20.176,11.436,46.06,135.971,30.471,2.788,23.353,46.06,52.8,66.572,20.176,2.788,23.353,52.8,2.788,13.759,66.572,109.689
INST0153_N15_N03_P000,52.8,0.0,65.084,52.8,107.477,93.371,107.477,46.019,65.084,107.477,65.084,64.86,82.833,71.779,46.019,93.371,149.304,82.833,55.435,64.86,93.371,0.0,107.477,71.779,55.435,64.86,0.0,55.435,66.32,107.477,95.428
INST0153_N15_N03_D000,77.555,65.084,0.0,77.555,85.106,122.247,85.106,81.189,0.0,85.106,0.0,100.436,93.214,95.136,81.189,122.247,206.878,93.214,78.292,100.436,122.247,65.084,85.106,95.136,78.292,100.436,65.084,78.292,87.958,85.106,32.884
INST0153_N15_N03_P001,0.0,52.8,77.555,0.0,66.572,46.06,66.572,11.436,77.555,66.572,77.555,23.353,30.471,20.176,11.436,46.06,135.971,30.471,2.788,23.353,46.06,52.8,66.572,20.176,2.788,23.353,52.8,2.788,13.759,66.572,109.689
INST0153_N15_N03_D001,66.572,107.477,85.106,66.572,0.0,81.232,0.0,77.99,85.106,0.0,85.106,81.17,47.339,64.45,77.99,81.232,190.666,47.339,64.236,81.17,81.232,107.477,0.0,64.45,64.236,81.17,107.477,64.236,61.784,0.0,104.379
INST0153_N15_N03_P002,46.06,93.371,122.247,46.06,81.232,0.0,81.232,48.052,122.247,81.232,122.247,28.616,35.653,27.111,48.052,0.0,110.202,35.653,44.646,28.616,0.0,93.371,81.232,27.111,44.646,28.616,93.371,44.646,34.294,81.232,153.371
INST0153_N15_N03_D002,66.572,107.477,85.106,66.572,0.0,81.232,0.0,77.99,85.106,0.0,85.106,81.17,47.339,64.45,77.99,81.232,190.666,47.339,64.236,81.17,81.232,107.477,0.0,64.45,64.236,81.17,107.477,64.236,61.784,0.0,104.379
INST0153_N15_N03_P003,11.436,46.019,81.189,11.436,77.99,48.052,77.99,0.0,81.189,77.99,81.189,20.683,40.266,26.126,0.0,48.052,128.231,40.266,13.942,20.683,48.052,46.019,77.99,26.126,13.942,20.683,46.019,13.942,21.8,77.99,113.909
INST0153_N15_N03_D003,77.555,65.084,0.0,77.555,85.106,122.247,85.106,81.189,0.0,85.106,0.0,100.436,93.214,95.136,81.189,122.247,206.878,93.214,78.292,100.436,122.247,65.084,85.106,95.136,78.292,100.436,65.084,78.292,87.958,85.106,32.884
INST0153_N15_N03_P004,66.572,107.477,85.106,66.572,0.0,81.232,0.0,77.99,85.106,0.0,85.106,81.17,47.339,64.45,77.99,81.232,190.666,47.339,64.236,81.17,81.232,107.477,0.0,64.45,64.236,81.17,107.477,64.236,61.784,0.0,104.379
INST0153_N15_N03_D004,77.555,65.084,0.0,77.555,85.106,122.247,85.106,81.189,0.0,85.106,0.0,100.436,93.214,95.136,81.189,122.247,206.878,93.214,78.292,100.436,122.247,65.084,85.106,95.136,78.292,100.436,65.084,78.292,87.958,85.106,32.884
