,depot,INST0270_N25_N00_P000,INST0270_N25_N00_D000,INST0270_N25_N00_P001,INST0270_N25_N00_D001,INST0270_N25_N00_P002,INST0270_N25_N00_D002,INST0270_N25_N00_P003,INST0270_N25_N00_D003,INST0270_N25_N00_P004,INST0270_N25_N00_D004,INST0270_N25_N00_P005,INST0270_N25_N00_D005,INST0270_N25_N00_P006,INST0270_N25_N00_D006,INST0270_N25_N00_P007,INST0270_N25_N00_D007,INST0270_N25_N00_P008,INST0270_N25_N00_D008,INST0270_N25_N00_P009,INST0270_N25_N00_D009,INST0270_N25_N00_P010,INST0270_N25_N00_D010,INST0270_N25_N00_P011,INST0270_N25_N00_D011,INST0270_N25_N00_P012,INST0270_N25_N00_D012,INST0270_N25_N00_P013,INST0270_N25_N00_D013,INST0270_N25_N00_P014,INST0270_N25_N00_D014,INST0270_N25_N00_P015,INST0270_N25_N00_D015,INST0270_N25_N00_P016,INST0270_N25_N00_D016,INST0270_N25_N00_P017,INST0270_N25_N00_D017,INST0270_N25_N00_P018,INST0270_N25_N00_D018,INST0270_N25_N00_P019,INST0270_N25_N00_D019,INST0270_N25_N00_P020,INST0270_N25_N00_D020,INST0270_N25_N00_P021,INST0270_N25_N00_D021,INST0270_N25_N00_P022,INST0270_N25_N00_D022,INST0270_N25_N00_P023,INST0270_N25_N00_D023,INST0270_N25_N00_P024,INST0270_N25_N00_D024
depot,0.0,41.993,23.01,41.993,16.848,75.654,107.703,8.817,24.088,41.993,162.641,26.694,14.053,75.654,26.694,81.208,23.01,26.694,107.703,81.208,16.848,0.0,16.848,0.0,16.848,0.0,26.694,8.817,146.035,23.01,41.993,26.694,41.993,23.01,41.993,26.694,75.654,75.654,16.848,41.993,75.654,23.01,81.208,8.817,23.01,75.654,107.703,14.053,23.01,14.053,23.01
INST0270_N25_N00_P000,41.993,0.0,43.657,0.0,56.4,99.467,149.69,33.197,35.041,0.0,134.941,58.839,54.669,99.467,58.839,114.332,43.657,58.839,149.69,114.332,56.4,41.993,56.4,41.993,56.4,41.993,58.839,33.197,187.802,43.657,0.0,58.839,0.0,43.657,0.0,58.839,99.467,99.467,56.4,0.0,99.467,43.657,114.332,33.197,43.657,99.467,149.69,54.669,43.657,54.669,43.657
INST0270_N25_N00_D000,23.01,43.657,0.0,43.657,37.312,57.966,114.14,22.387,43.511,43.657,175.714,49.306,33.929,57.966,49.306,101.428,0.0,49.306,114.14,101.428,37.312,23.01,37.312,23.01,37.312,23.01,49.306,22.387,149.729,0.0,43.657,49.306,43.657,0.0,43.657,49.306,57.966,57.966,37.312,43.657,57.966,0.0,101.428,22.387,0.0,57.966,114.14,33.929,0.0,33.929,0.0
INST0270_N25_N00_P001,41.993,0.0,43.657,0.0,56.4,99.467,149.69,33.197,35.041,0.0,134.941,58.839,54.669,99.467,58.839,114.332,43.657,58.839,149.69,114.332,56.4,41.993,56.4,41.993,56.4,41.993,58.839,33.197,187.802,43.657,0.0,58.839,0.0,43.657,0.0,58.839,99.467,99.467,56.4,0.0,99.467,43.657,114.332,33.197,43.657,99.467,149.69,54.669,43.657,54.669,43.657
INST0270_N25_N00_D001,16.848,56.4,37.312,56.4,0.0,81.517,94.965,24.705,28.595,56.4,166.496,14.003,3.413,81.517,14.003,64.653,37.312,14.003,94.965,64.653,0.0,16.848,0.0,16.848,0.0,16.848,14.003,24.705,134.313,37.312,56.4,14.003,56.4,37.312,56.4,14.003,81.517,81.517,0.0,56.4,81.517,37.312,64.653,24.705,37.312,81.517,94.965,3.413,37.312,3.413,37.312
INST0270_N25_N00_P002,75.654,99.467,57.966,99.467,81.517,0.0,104.211,78.919,99.392,99.467,233.468,95.498,78.656,0.0,95.498,131.605,57.966,95.498,104.211,131.605,81.517,75.654,81.517,75.654,81.517,75.654,95.498,78.919,127.812,57.966,99.467,95.498,99.467,57.966,99.467,95.498,0.0,0.0,81.517,99.467,0.0,57.966,131.605,78.919,57.966,0.0,104.211,78.656,57.966,78.656,57.966
INST0270_N25_N00_D002,107.703,149.69,114.14,149.69,94.965,104.211,0.0,116.493,122.983,149.69,253.32,99.415,95.867,104.211,99.415,79.694,114.14,99.415,0.0,79.694,94.965,107.703,94.965,107.703,94.965,107.703,99.415,116.493,40.266,114.14,149.69,99.415,149.69,114.14,149.69,99.415,104.211,104.211,94.965,149.69,104.211,114.14,79.694,116.493,114.14,104.211,0.0,95.867,114.14,95.867,114.14
INST0270_N25_N00_P003,8.817,33.197,22.387,33.197,24.705,78.919,116.493,0.0,21.127,33.197,156.702,31.992,22.322,78.919,31.992,87.893,22.387,31.992,116.493,87.893,24.705,8.817,24.705,8.817,24.705,8.817,31.992,0.0,154.717,22.387,33.197,31.992,33.197,22.387,33.197,31.992,78.919,78.919,24.705,33.197,78.919,22.387,87.893,0.0,22.387,78.919,116.493,22.322,22.387,22.322,22.387
INST0270_N25_N00_D003,24.088,35.041,43.511,35.041,28.595,99.392,122.983,21.127,0.0,35.041,139.347,25.326,28.727,99.392,25.326,79.42,43.511,25.326,122.983,79.42,28.595,24.088,28.595,24.088,28.595,24.088,25.326,21.127,162.63,43.511,35.041,25.326,35.041,43.511,35.041,25.326,99.392,99.392,28.595,35.041,99.392,43.511,79.42,21.127,43.511,99.392,122.983,28.727,43.511,28.727,43.511
INST0270_N25_N00_P004,41.993,0.0,43.657,0.0,56.4,99.467,149.69,33.197,35.041,0.0,134.941,58.839,54.669,99.467,58.839,114.332,43.657,58.839,149.69,114.332,56.4,41.993,56.4,41.993,56.4,41.993,58.839,33.197,187.802,43.657,0.0,58.839,0.0,43.657,0.0,58.839,99.467,99.467,56.4,0.0,99.467,43.657,114.332,33.197,43.657,99.467,149.69,54.669,43.657,54.669,43.657
