,depot,INST0043_N5_W13_P000,INST0043_N5_W13_D000,INST0043_N5_W13_P001,INST0043_N5_W13_D001,INST0043_N5_W13_P002,INST0043_N5_W13_D002,INST0043_N5_W13_P003,INST0043_N5_W13_D003,INST0043_N5_W13_P004,INST0043_N5_W13_D004
depot,0.0,0.0,96.036,57.687,116.61,79.708,116.61,0.0,14.722,40.846,90.122
INST0043_N5_W13_P000,0.0,0.0,96.036,57.687,116.61,79.708,116.61,0.0,14.722,40.846,90.122
INST0043_N5_W13_D000,96.036,96.036,0.0,41.349,30.344,20.581,30.344,96.036,109.245,55.217,14.077
INST0043_N5_W13_P001,57.687,57.687,41.349,0.0,58.923,22.455,58.923,57.687,71.944,20.342,32.833
INST0043_N5_W13_D001,116.61,116.61,30.344,58.923,0.0,37.477,0.0,116.61,130.825,77.525,27.544
INST0043_N5_W13_P002,79.708,79.708,20.581,22.455,37.477,0.0,37.477,79.708,93.687,40.063,10.426
INST0043_N5_W13_D002,116.61,116.61,30.344,58.923,0.0,37.477,0.0,116.61,130.825,77.525,27.544
INST0043_N5_W13_P003,0.0,0.0,96.036,57.687,116.61,79.708,116.61,0.0,14.722,40.846,90.122
INST0043_N5_W13_D003,14.722,14.722,109.245,71.944,130.825,93.687,130.825,14.722,0.0,54.132,104.062
INST0043_N5_W13_P004,40.846,40.846,55.217,20.342,77.525,40.063,77.525,40.846,54.132,0.0,50.28
INST0043_N5_W13_D004,90.122,90.122,14.077,32.833,27.544,10.426,27.544,90.122,104.062,50.28,0.0
