,depot,INST0204_N18_N24_P000,INST0204_N18_N24_D000,INST0204_N18_N24_P001,INST0204_N18_N24_D001,INST0204_N18_N24_P002,INST0204_N18_N24_D002,INST0204_N18_N24_P003,INST0204_N18_N24_D003,INST0204_N18_N24_P004,INST0204_N18_N24_D004,INST0204_N18_N24_P005,INST0204_N18_N24_D005,INST0204_N18_N24_P006,INST0204_N18_N24_D006,INST0204_N18_N24_P007,INST0204_N18_N24_D007,INST0204_N18_N24_P008,INST0204_N18_N24_D008,INST0204_N18_N24_P009,INST0204_N18_N24_D009,INST0204_N18_N24_P010,INST0204_N18_N24_D010,INST0204_N18_N24_P011,INST0204_N18_N24_D011,INST0204_N18_N24_P012,INST0204_N18_N24_D012,INST0204_N18_N24_P013,INST0204_N18_N24_D013,INST0204_N18_N24_P014,INST0204_N18_N24_D014,INST0204_N18_N24_P015,INST0204_N18_N24_D015,INST0204_N18_N24_P016,INST0204_N18_N24_D016,INST0204_N18_N24_P017,INST0204_N18_N24_D017
depot,0.0,44.646,122.247,46.06,34.294,48.052,122.247,27.111,93.371,28.616,0.0,46.06,28.616,35.653,81.232,35.653,93.371,27.111,35.653,0.0,100.108,44.646,81.232,0.0,46.06,28.616,122.247,27.111,48.052,35.653,44.646,35.653,0.0,48.052,27.111,27.111,122.247
INST0204_N18_N24_P000,44.646,0.0,78.292,2.788,11.477,13.942,78.292,18.229,55.435,23.461,44.646,2.788,23.461,27.709,64.236,27.709,55.435,18.229,27.709,44.646,144.673,0.0,64.236,44.646,2.788,23.461,78.292,18.229,13.942,27.709,0.0,27.709,44.646,13.942,18.229,18.229,78.292
INST0204_N18_N24_D000,122.247,78.292,0.0,77.555,87.958,81.189,0.0,95.136,65.084,100.436,122.247,77.555,100.436,93.214,85.106,93.214,65.084,95.136,93.214,122.247,222.229,78.292,85.106,122.247,77.555,100.436,0.0,95.136,81.189,93.214,78.292,93.214,122.247,81.189,95.136,95.136,0.0
INST0204_N18_N24_P001,46.06,2.788,77.555,0.0,13.759,11.436,77.555,20.176,52.8,23.353,46.06,0.0,23.353,30.471,66.572,30.471,52.8,20.176,30.471,46.06,145.919,2.788,66.572,46.06,0.0,23.353,77.555,20.176,11.436,30.471,2.788,30.471,46.06,11.436,20.176,20.176,77.555
INST0204_N18_N24_D001,34.294,11.477,87.958,13.759,0.0,21.8,87.958,7.201,66.32,19.671,34.294,13.759,19.671,18.791,61.784,18.791,66.32,7.201,18.791,34.294,134.365,11.477,61.784,34.294,13.759,19.671,87.958,7.201,21.8,18.791,11.477,18.791,34.294,21.8,7.201,7.201,87.958
INST0204_N18_N24_P002,48.052,13.942,81.189,11.436,21.8,0.0,81.189,26.126,46.019,20.683,48.052,11.436,20.683,40.266,77.99,40.266,46.019,26.126,40.266,48.052,145.998,13.942,77.99,48.052,11.436,20.683,81.189,26.126,0.0,40.266,13.942,40.266,48.052,0.0,26.126,26.126,81.189
INST0204_N18_N24_D002,122.247,78.292,0.0,77.555,87.958,81.189,0.0,95.136,65.084,100.436,122.247,77.555,100.436,93.214,85.106,93.214,65.084,95.136,93.214,122.247,222.229,78.292,85.106,122.247,77.555,100.436,0.0,95.136,81.189,93.214,78.292,93.214,122.247,81.189,95.136,95.136,0.0
INST0204_N18_N24_P003,27.111,18.229,95.136,20.176,7.201,26.126,95.136,0.0,71.779,17.254,27.111,20.176,17.254,18.283,64.45,18.283,71.779,0.0,18.283,27.111,127.166,18.229,64.45,27.111,20.176,17.254,95.136,0.0,26.126,18.283,18.229,18.283,27.111,26.126,0.0,0.0,95.136
INST0204_N18_N24_D003,93.371,55.435,65.084,52.8,66.32,46.019,65.084,71.779,0.0,64.86,93.371,52.8,64.86,82.833,107.477,82.833,0.0,71.779,82.833,93.371,187.822,55.435,107.477,93.371,52.8,64.86,65.084,71.779,46.019,82.833,55.435,82.833,93.371,46.019,71.779,71.779,65.084
INST0204_N18_N24_P004,28.616,23.461,100.436,23.353,19.671,20.683,100.436,17.254,64.86,0.0,28.616,23.353,0.0,35.534,81.17,35.534,64.86,17.254,35.534,28.616,125.319,23.461,81.17,28.616,23.353,0.0,100.436,17.254,20.683,35.534,23.461,35.534,28.616,20.683,17.254,17.254,100.436
INST0204_N18_N24_D004,0.0,44.646,122.247,46.06,34.294,48.052,122.247,27.111,93.371,28.616,0.0,46.06,28.616,35.653,81.232,35.653,93.371,27.111,35.653,0.0,100.108,44.646,81.232,0.0,46.06,28.616,122.247,27.111,48.052,35.653,44.646,35.653,0.0,48.052,27.111,27.111,122.247
INST0204_N18_N24_P005,46.06,2.788,77.555,0.0,13.759,11.436,77.555,20.176,52.8,23.353,46.06,0.0,23.353,30.471,66.572,30.471,52.8,20.176,30.471,46.06,145.919,2.788,66.572,46.06,0.0,23.353,77.555,20.176,11.436,30.471,2.788,30.471,46.06,11.436,20.176,20.176,77.555
INST0204_N18_N24_D005,28.616,23.461,100.436,23.353,19.671,20.683,100.436,17.254,64.86,0.0,28.616,23.353,0.0,35.534,81.17,35.534,64.86,17.254,35.534,28.616,125.319,23.461,81.17,28.616,23.353,0.0,100.436,17.254,20.683,35.534,23.461,35.534,28.616,20.683,17.254,17.254,100.436
INST0204_N18_N24_P006,35.653,27.709,93.214,30.471,18.791,40.266,93.214,18.283,82.833,35.534,35.653,30.471,35.534,0.0,47.339,0.0,82.833,18.283,0.0,35.653,131.141,27.709,47.339,35.653,30.471,35.534,93.214,18.283,40.266,0.0,27.709,0.0,35.653,40.266,18.283,18.283,93.214
INST0204_N18_N24_D006,81.232,64.236,85.106,66.572,61.784,77.99,85.106,64.45,107.477,81.17,81.232,66.572,81.17,47.339,0.0,47.339,107.477,64.45,47.339,81.232,165.945,64.236,0.0,81.232,66.572,81.17,85.106,64.45,77.99,47.339,64.236,47.339,81.232,77.99,64.45,64.45,85.106
INST0204_N18_N24_P007,35.653,27.709,93.214,30.471,18.791,40.266,93.214,18.283,82.833,35.534,35.653,30.471,35.534,0.0,47.339,0.0,82.833,18.283,0.0,35.653,131.141,27.709,47.339,35.653,30.471,35.534,93.214,18.283,40.266,0.0,27.709,0.0,35.653,40.266,18.283,18.283,93.214
INST0204_N18_N24_D007,93.371,55.435,65.084,52.8,66.32,46.019,65.084,71.779,0.0,64.86,93.371,52.8,64.86,82.833,107.477,82.833,0.0,71.779,82.833,93.371,187.822,55.435,107.477,93.371,52.8,64.86,65.084,71.779,46.019,82.833,55.435,82.833,93.371,46.019,71.779,71.779,65.084
INST0204_N18_N24_P008,27.111,18.229,95.136,20.176,7.201,26.126,95.136,0.0,71.779,17.254,27.111,20.176,17.254,18.283,64.45,18.283,71.779,0.0,18.283,27.111,127.166,18.229,64.45,27.111,20.176,17.254,95.136,0.0,26.126,18.283,18.229,18.283,27.111,26.126,0.0,0.0,95.136
