,depot,INST0275_N25_S05_P000,INST0275_N25_S05_D000,INST0275_N25_S05_P001,INST0275_N25_S05_D001,INST0275_N25_S05_P002,INST0275_N25_S05_D002,INST0275_N25_S05_P003,INST0275_N25_S05_D003,INST0275_N25_S05_P004,INST0275_N25_S05_D004,INST0275_N25_S05_P005,INST0275_N25_S05_D005,INST0275_N25_S05_P006,INST0275_N25_S05_D006,INST0275_N25_S05_P007,INST0275_N25_S05_D007,INST0275_N25_S05_P008,INST0275_N25_S05_D008,INST0275_N25_S05_P009,INST0275_N25_S05_D009,INST0275_N25_S05_P010,INST0275_N25_S05_D010,INST0275_N25_S05_P011,INST0275_N25_S05_D011,INST0275_N25_S05_P012,INST0275_N25_S05_D012,INST0275_N25_S05_P013,INST0275_N25_S05_D013,INST0275_N25_S05_P014,INST0275_N25_S05_D014,INST0275_N25_S05_P015,INST0275_N25_S05_D015,INST0275_N25_S05_P016,INST0275_N25_S05_D016,INST0275_N25_S05_P017,INST0275_N25_S05_D017,INST0275_N25_S05_P018,INST0275_N25_S05_D018,INST0275_N25_S05_P019,INST0275_N25_S05_D019,INST0275_N25_S05_P020,INST0275_N25_S05_D020,INST0275_N25_S05_P021,INST0275_N25_S05_D021,INST0275_N25_S05_P022,INST0275_N25_S05_D022,INST0275_N25_S05_P023,INST0275_N25_S05_D023,INST0275_N25_S05_P024,INST0275_N25_S05_D024
depot,0.0,61.394,21.478,19.629,61.394,55.179,50.526,5.477,36.46,55.179,36.46,21.478,5.477,55.179,61.394,68.319,21.478,68.319,55.179,61.394,0.0,68.319,10.881,21.478,19.629,50.526,19.629,55.179,36.46,50.526,5.477,36.46,5.477,0.0,36.46,61.394,36.46,21.478,61.394,61.394,97.061,19.629,5.477,55.179,5.477,68.319,0.0,50.526,55.179,55.179,10.881
INST0275_N25_S05_P000,61.394,0.0,75.908,55.171,0.0,113.587,10.867,60.745,67.889,113.587,67.889,75.908,60.745,113.587,0.0,77.092,75.908,77.092,113.587,0.0,61.394,77.092,54.565,75.908,55.171,10.867,55.171,113.587,67.889,10.867,60.745,67.889,60.745,61.394,67.889,0.0,67.889,75.908,0.0,0.0,36.733,55.171,60.745,113.587,60.745,77.092,61.394,10.867,113.587,113.587,54.565
INST0275_N25_S05_D000,21.478,75.908,0.0,21.517,75.908,37.715,65.388,26.505,24.954,37.715,24.954,0.0,26.505,37.715,75.908,88.975,0.0,88.975,37.715,75.908,21.478,88.975,32.298,0.0,21.517,65.388,21.517,37.715,24.954,65.388,26.505,24.954,26.505,21.478,24.954,75.908,24.954,0.0,75.908,75.908,112.576,21.517,26.505,37.715,26.505,88.975,21.478,65.388,37.715,37.715,32.298
INST0275_N25_S05_P001,19.629,55.171,21.517,0.0,55.171,59.019,45.002,24.239,19.488,59.019,19.488,21.517,24.239,59.019,55.171,83.416,21.517,83.416,59.019,55.171,19.629,83.416,25.439,21.517,0.0,45.002,0.0,59.019,19.488,45.002,24.239,19.488,24.239,19.629,19.488,55.171,19.488,21.517,55.171,55.171,91.902,0.0,24.239,59.019,24.239,83.416,19.629,45.002,59.019,59.019,25.439
INST0275_N25_S05_D001,61.394,0.0,75.908,55.171,0.0,113.587,10.867,60.745,67.889,113.587,67.889,75.908,60.745,113.587,0.0,77.092,75.908,77.092,113.587,0.0,61.394,77.092,54.565,75.908,55.171,10.867,55.171,113.587,67.889,10.867,60.745,67.889,60.745,61.394,67.889,0.0,67.889,75.908,0.0,0.0,36.733,55.171,60.745,113.587,60.745,77.092,61.394,10.867,113.587,113.587,54.565
INST0275_N25_S05_P002,55.179,113.587,37.715,59.019,113.587,0.0,103.002,58.521,54.903,0.0,54.903,37.715,58.521,0.0,113.587,113.511,37.715,113.511,0.0,113.587,55.179,113.511,65.452,37.715,59.019,103.002,59.019,0.0,54.903,103.002,58.521,54.903,58.521,55.179,54.903,113.587,54.903,37.715,113.587,113.587,150.208,59.019,58.521,0.0,58.521,113.511,55.179,103.002,0.0,0.0,65.452
INST0275_N25_S05_D002,50.526,10.867,65.388,45.002,10.867,103.002,0.0,49.927,59.003,103.002,59.003,65.388,49.927,103.002,10.867,71.865,65.388,71.865,103.002,10.867,50.526,71.865,43.838,65.388,45.002,0.0,45.002,103.002,59.003,0.0,49.927,59.003,49.927,50.526,59.003,10.867,59.003,65.388,10.867,10.867,47.206,45.002,49.927,103.002,49.927,71.865,50.526,0.0,103.002,103.002,43.838
INST0275_N25_S05_P003,5.477,60.745,26.505,24.239,60.745,58.521,49.927,0.0,41.761,58.521,41.761,26.505,0.0,58.521,60.745,62.898,26.505,62.898,58.521,60.745,5.477,62.898,7.008,26.505,24.239,49.927,24.239,58.521,41.761,49.927,0.0,41.761,0.0,5.477,41.761,60.745,41.761,26.505,60.745,60.745,95.708,24.239,0.0,58.521,0.0,62.898,5.477,49.927,58.521,58.521,7.008
INST0275_N25_S05_D003,36.46,67.889,24.954,19.488,67.889,54.903,59.003,41.761,0.0,54.903,0.0,24.954,41.761,54.903,67.889,102.776,24.954,102.776,54.903,67.889,36.46,102.776,44.339,24.954,19.488,59.003,19.488,54.903,0.0,59.003,41.761,0.0,41.761,36.46,0.0,67.889,0.0,24.954,67.889,67.889,103.829,19.488,41.761,54.903,41.761,102.776,36.46,59.003,54.903,54.903,44.339
INST0275_N25_S05_P004,55.179,113.587,37.715,59.019,113.587,0.0,103.002,58.521,54.903,0.0,54.903,37.715,58.521,0.0,113.587,113.511,37.715,113.511,0.0,113.587,55.179,113.511,65.452,37.715,59.019,103.002,59.019,0.0,54.903,103.002,58.521,54.903,58.521,55.179,54.903,113.587,54.903,37.715,113.587,113.587,150.208,59.019,58.521,0.0,58.521,113.511,55.179,103.002,0.0,0.0,65.452
