,depot,INST0077_N8_S17_P000,INST0077_N8_S17_D000,INST0077_N8_S17_P001,INST0077_N8_S17_D001,INST0077_N8_S17_P002,INST0077_N8_S17_D002,INST0077_N8_S17_P003,INST0077_N8_S17_D003,INST0077_N8_S17_P004,INST0077_N8_S17_D004,INST0077_N8_S17_P005,INST0077_N8_S17_D005,INST0077_N8_S17_P006,INST0077_N8_S17_D006,INST0077_N8_S17_P007,INST0077_N8_S17_D007
depot,0.0,24.036,67.557,0.0,23.863,67.557,55.105,24.036,72.268,67.557,152.108,24.036,55.105,29.68,112.533,31.149,26.348
INST0077_N8_S17_P000,24.036,0.0,75.176,24.036,44.645,75.176,61.869,0.0,67.566,75.176,160.028,0.0,61.869,6.707,118.85,13.324,26.3
INST0077_N8_S17_D000,67.557,75.176,0.0,67.557,83.129,0.0,13.307,75.176,139.086,0.0,85.211,75.176,13.307,74.382,44.98,66.815,92.948
INST0077_N8_S17_P001,0.0,24.036,67.557,0.0,23.863,67.557,55.105,24.036,72.268,67.557,152.108,24.036,55.105,29.68,112.533,31.149,26.348
INST0077_N8_S17_D001,23.863,44.645,83.129,23.863,0.0,83.129,72.248,44.645,67.228,83.129,164.482,44.645,72.248,51.136,127.137,54.293,30.556
INST0077_N8_S17_P002,67.557,75.176,0.0,67.557,83.129,0.0,13.307,75.176,139.086,0.0,85.211,75.176,13.307,74.382,44.98,66.815,92.948
INST0077_N8_S17_D002,55.105,61.869,13.307,55.105,72.248,13.307,0.0,61.869,126.125,13.307,98.41,61.869,0.0,61.135,57.803,53.679,80.067
INST0077_N8_S17_P003,24.036,0.0,75.176,24.036,44.645,75.176,61.869,0.0,67.566,75.176,160.028,0.0,61.869,6.707,118.85,13.324,26.3
INST0077_N8_S17_D003,72.268,67.566,139.086,72.268,67.228,139.086,126.125,67.566,0.0,139.086,224.124,67.566,126.125,71.658,183.928,80.145,46.181
INST0077_N8_S17_P004,67.557,75.176,0.0,67.557,83.129,0.0,13.307,75.176,139.086,0.0,85.211,75.176,13.307,74.382,44.98,66.815,92.948
INST0077_N8_S17_D004,152.108,160.028,85.211,152.108,164.482,85.211,98.41,160.028,224.124,85.211,0.0,160.028,98.41,158.604,41.594,150.553,177.944
INST0077_N8_S17_P005,24.036,0.0,75.176,24.036,44.645,75.176,61.869,0.0,67.566,75.176,160.028,0.0,61.869,6.707,118.85,13.324,26.3
INST0077_N8_S17_D005,55.105,61.869,13.307,55.105,72.248,13.307,0.0,61.869,126.125,13.307,98.41,61.869,0.0,61.135,57.803,53.679,80.067
INST0077_N8_S17_P006,29.68,6.707,74.382,29.68,51.136,74.382,61.135,6.707,71.658,74.382,158.604,6.707,61.135,0.0,117.194,8.581,32.455
INST0077_N8_S17_D006,112.533,118.85,44.98,112.533,127.137,44.98,57.803,118.85,183.928,44.98,41.594,118.85,57.803,117.194,0.0,109.068,137.848
INST0077_N8_S17_P007,31.149,13.324,66.815,31.149,54.293,66.815,53.679,13.324,80.145,66.815,150.553,13.324,53.679,8.581,109.068,0.0,39.549
INST0077_N8_S17_D007,26.348,26.3,92.948,26.348,30.556,92.948,80.067,26.3,46.181,92.948,177.944,26.3,80.067,32.455,137.848,39.549,0.0
