,depot,INST0047_N5_S17_P000,INST0047_N5_S17_D000,INST0047_N5_S17_P001,INST0047_N5_S17_D001,INST0047_N5_S17_P002,INST0047_N5_S17_D002,INST0047_N5_S17_P003,INST0047_N5_S17_D003,INST0047_N5_S17_P004,INST0047_N5_S17_D004
depot,0.0,24.036,31.149,0.0,29.68,31.149,67.557,67.557,72.268,55.105,0.0
INST0047_N5_S17_P000,24.036,0.0,13.324,24.036,6.707,13.324,75.176,75.176,67.566,61.869,24.036
INST0047_N5_S17_D000,31.149,13.324,0.0,31.149,8.581,0.0,66.815,66.815,80.145,53.679,31.149
INST0047_N5_S17_P001,0.0,24.036,31.149,0.0,29.68,31.149,67.557,67.557,72.268,55.105,0.0
INST0047_N5_S17_D001,29.68,6.707,8.581,29.68,0.0,8.581,74.382,74.382,71.658,61.135,29.68
INST0047_N5_S17_P002,31.149,13.324,0.0,31.149,8.581,0.0,66.815,66.815,80.145,53.679,31.149
INST0047_N5_S17_D002,67.557,75.176,66.815,67.557,74.382,66.815,0.0,0.0,139.086,13.307,67.557
INST0047_N5_S17_P003,67.557,75.176,66.815,67.557,74.382,66.815,0.0,0.0,139.086,13.307,67.557
INST0047_N5_S17_D003,72.268,67.566,80.145,72.268,71.658,80.145,139.086,139.086,0.0,126.125,72.268
INST0047_N5_S17_P004,55.105,61.869,53.679,55.105,61.135,53.679,13.307,13.307,126.125,0.0,55.105
INST0047_N5_S17_D004,0.0,24.036,31.149,0.0,29.68,31.149,67.557,67.557,72.268,55.105,0.0
