,depot,INST0145_N12_W25_P000,INST0145_N12_W25_D000,INST0145_N12_W25_P001,INST0145_N12_W25_D001,INST0145_N12_W25_P002,INST0145_N12_W25_D002,INST0145_N12_W25_P003,INST0145_N12_W25_D003,INST0145_N12_W25_P004,INST0145_N12_W25_D004,INST0145_N12_W25_P005,INST0145_N12_W25_D005,INST0145_N12_W25_P006,INST0145_N12_W25_D006,INST0145_N12_W25_P007,INST0145_N12_W25_D007,INST0145_N12_W25_P008,INST0145_N12_W25_D008,INST0145_N12_W25_P009,INST0145_N12_W25_D009,INST0145_N12_W25_P010,INST0145_N12_W25_D010,INST0145_N12_W25_P011,INST0145_N12_W25_D011
depot,0.0,28.769,137.675,52.507,109.164,19.054,18.744,29.48,69.129,0.0,28.769,28.769,69.129,52.507,29.48,51.842,28.769,0.0,109.164,18.744,28.769,29.48,69.129,69.129,16.35
INST0145_N12_W25_P000,28.769,0.0,108.909,75.918,106.091,29.954,41.092,35.196,70.903,28.769,0.0,0.0,70.903,75.918,35.196,50.611,0.0,28.769,106.091,41.092,0.0,35.196,70.903,70.903,14.239
INST0145_N12_W25_D000,137.675,108.909,0.0,178.909,152.865,133.597,147.26,132.406,143.94,137.675,108.909,108.909,143.94,178.909,132.406,130.013,108.909,137.675,152.865,147.26,108.909,132.406,143.94,143.94,122.204
INST0145_N12_W25_P001,52.507,75.918,178.909,0.0,94.442,46.592,35.155,46.518,57.646,52.507,75.918,75.918,57.646,0.0,46.518,55.918,75.918,52.507,94.442,35.155,75.918,46.518,57.646,57.646,61.821
INST0145_N12_W25_D001,109.164,106.091,152.865,94.442,0.0,90.122,96.036,79.708,40.846,109.164,106.091,106.091,40.846,94.442,79.708,57.687,106.091,109.164,0.0,96.036,106.091,79.708,40.846,40.846,101.402
INST0145_N12_W25_P002,19.054,29.954,133.597,46.592,90.122,0.0,14.077,10.426,50.28,19.054,29.954,29.954,50.28,46.592,10.426,32.833,29.954,19.054,90.122,14.077,29.954,10.426,50.28,50.28,16.791
INST0145_N12_W25_D002,18.744,41.092,147.26,35.155,96.036,14.077,0.0,20.581,55.217,18.744,41.092,41.092,55.217,35.155,20.581,41.349,41.092,18.744,96.036,0.0,41.092,20.581,55.217,55.217,26.872
INST0145_N12_W25_P003,29.48,35.196,132.406,46.518,79.708,10.426,20.581,0.0,40.063,29.48,35.196,35.196,40.063,46.518,0.0,22.455,35.196,29.48,79.708,20.581,35.196,0.0,40.063,40.063,24.4
INST0145_N12_W25_D003,69.129,70.903,143.94,57.646,40.846,50.28,55.217,40.063,0.0,69.129,70.903,70.903,0.0,57.646,40.063,20.342,70.903,69.129,40.846,55.217,70.903,40.063,0.0,0.0,63.444
INST0145_N12_W25_P004,0.0,28.769,137.675,52.507,109.164,19.054,18.744,29.48,69.129,0.0,28.769,28.769,69.129,52.507,29.48,51.842,28.769,0.0,109.164,18.744,28.769,29.48,69.129,69.129,16.35
INST0145_N12_W25_D004,28.769,0.0,108.909,75.918,106.091,29.954,41.092,35.196,70.903,28.769,0.0,0.0,70.903,75.918,35.196,50.611,0.0,28.769,106.091,41.092,0.0,35.196,70.903,70.903,14.239
INST0145_N12_W25_P005,28.769,0.0,108.909,75.918,106.091,29.954,41.092,35.196,70.903,28.769,0.0,0.0,70.903,75.918,35.196,50.611,0.0,28.769,106.091,41.092,0.0,35.196,70.903,70.903,14.239
INST0145_N12_W25_D005,69.129,70.903,143.94,57.646,40.846,50.28,55.217,40.063,0.0,69.129,70.903,70.903,0.0,57.646,40.063,20.342,70.903,69.129,40.846,55.217,70.903,40.063,0.0,0.0,63.444
INST0145_N12_W25_P006,52.507,75.918,178.909,0.0,94.442,46.592,35.155,46.518,57.646,52.507,75.918,75.918,57.646,0.0,46.518,55.918,75.918,52.507,94.442,35.155,75.918,46.518,57.646,57.646,61.821
INST0145_N12_W25_D006,29.48,35.196,132.406,46.518,79.708,10.426,20.581,0.0,40.063,29.48,35.196,35.196,40.063,46.518,0.0,22.455,35.196,29.48,79.708,20.581,35.196,0.0,40.063,40.063,24.4
INST0145_N12_W25_P007,51.842,50.611,130.013,55.918,57.687,32.833,41.349,22.455,20.342,51.842,50.611,50.611,20.342,55.918,22.455,0.0,50.611,51.842,57.687,41.349,50.611,22.455,20.342,20.342,43.952
INST0145_N12_W25_D007,28.769,0.0,108.909,75.918,106.091,29.954,41.092,35.196,70.903,28.769,0.0,0.0,70.903,75.918,35.196,50.611,0.0,28.769,106.091,41.092,0.0,35.196,70.903,70.903,14.239
INST0145_N12_W25_P008,0.0,28.769,137.675,52.507,109.164,19.054,18.744,29.48,69.129,0.0,28.769,28.769,69.129,52.507,29.48,51.842,28.769,0.0,109.164,18.744,28.769,29.48,69.129,69.129,16.35
INST0145_N12_W25_D008,109.164,106.091,152.865,94.442,0.0,90.122,96.036,79.708,40.846,109.164,106.091,106.091,40.846,94.442,79.708,57.687,106.091,109.164,0.0,96.036,106.091,79.708,40.846,40.846,101.402
INST0145_N12_W25_P009,18.744,41.092,147.26,35.155,96.036,14.077,0.0,20.581,55.217,18.744,41.092,41.092,55.217,35.155,20.581,41.349,41.092,18.744,96.036,0.0,41.092,20.581,55.217,55.217,26.872
INST0145_N12_W25_D009,28.769,0.0,108.909,75.918,106.091,29.954,41.092,35.196,70.903,28.769,0.0,0.0,70.903,75.918,35.196,50.611,0.0,28.769,106.091,41.092,0.0,35.196,70.903,70.903,14.239
INST0145_N12_W25_P010,29.48,35.196,132.406,46.518,79.708,10.426,20.581,0.0,40.063,29.48,35.196,35.196,40.063,46.518,0.0,22.455,35.196,29.48,79.708,20.581,35.196,0.0,40.063,40.063,24.4
INST0145_N12_W25_D010,69.129,70.903,143.94,57.646,40.846,50.28,55.217,40.063,0.0,69.129,70.903,70.903,0.0,57.646,40.063,20.342,70.903,69.129,40.846,55.217,70.903,40.063,0.0,0.0,63.444
INST0145_N12_W25_P011,69.129,70.903,143.94,57.646,40.846,50.28,55.217,40.063,0.0,69.129,70.903,70.903,0.0,57.646,40.063,20.342,70.903,69.129,40.846,55.217,70.903,40.063,0.0,0.0,63.444
INST0145_N12_W25_D011,16.35,14.239,122.204,61.821,101.402,16.791,26.872,24.4,63.444,16.35,14.239,14.239,63.444,61.821,24.4,43.952,14.239,16.35,101.402,26.872,14.239,24.4,63.444,63.444,0.0
