,depot,INST0132_N12_N12_P000,INST0132_N12_N12_D000,INST0132_N12_N12_P001,INST0132_N12_N12_D001,INST0132_N12_N12_P002,INST0132_N12_N12_D002,INST0132_N12_N12_P003,INST0132_N12_N12_D003,INST0132_N12_N12_P004,INST0132_N12_N12_D004,INST0132_N12_N12_P005,INST0132_N12_N12_D005,INST0132_N12_N12_P006,INST0132_N12_N12_D006,INST0132_N12_N12_P007,INST0132_N12_N12_D007,INST0132_N12_N12_P008,INST0132_N12_N12_D008,INST0132_N12_N12_P009,INST0132_N12_N12_D009,INST0132_N12_N12_P010,INST0132_N12_N12_D010,INST0132_N12_N12_P011,INST0132_N12_N12_D011
depot,0.0,43.657,160.581,22.387,160.581,49.306,22.387,57.966,101.428,43.511,160.581,22.387,43.657,37.312,57.966,57.966,23.01,49.306,114.14,23.01,149.729,37.312,114.14,0.0,22.387
INST0132_N12_N12_P000,43.657,0.0,122.582,33.197,122.582,58.839,33.197,99.467,114.332,35.041,122.582,33.197,0.0,56.4,99.467,99.467,41.993,58.839,149.69,41.993,187.802,56.4,149.69,43.657,33.197
INST0132_N12_N12_D000,160.581,122.582,0.0,155.714,0.0,178.773,155.714,203.198,229.986,153.452,0.0,155.714,122.582,178.677,203.198,203.198,164.529,178.773,272.117,164.529,309.6,178.677,272.117,160.581,155.714
INST0132_N12_N12_P001,22.387,33.197,155.714,0.0,155.714,31.992,0.0,78.919,87.893,21.127,155.714,0.0,33.197,24.705,78.919,78.919,8.817,31.992,116.493,8.817,154.717,24.705,116.493,22.387,0.0
INST0132_N12_N12_D001,160.581,122.582,0.0,155.714,0.0,178.773,155.714,203.198,229.986,153.452,0.0,155.714,122.582,178.677,203.198,203.198,164.529,178.773,272.117,164.529,309.6,178.677,272.117,160.581,155.714
INST0132_N12_N12_P002,49.306,58.839,178.773,31.992,178.773,0.0,31.992,95.498,56.35,25.326,178.773,31.992,58.839,14.003,95.498,95.498,26.694,0.0,99.415,26.694,139.481,14.003,99.415,49.306,31.992
INST0132_N12_N12_D002,22.387,33.197,155.714,0.0,155.714,31.992,0.0,78.919,87.893,21.127,155.714,0.0,33.197,24.705,78.919,78.919,8.817,31.992,116.493,8.817,154.717,24.705,116.493,22.387,0.0
INST0132_N12_N12_P003,57.966,99.467,203.198,78.919,203.198,95.498,78.919,0.0,131.605,99.392,203.198,78.919,99.467,81.517,0.0,0.0,75.654,95.498,104.211,75.654,127.812,81.517,104.211,57.966,78.919
INST0132_N12_N12_D003,101.428,114.332,229.986,87.893,229.986,56.35,87.893,131.605,0.0,79.42,229.986,87.893,114.332,64.653,131.605,131.605,81.208,56.35,79.694,81.208,116.851,64.653,79.694,101.428,87.893
INST0132_N12_N12_P004,43.511,35.041,153.452,21.127,153.452,25.326,21.127,99.392,79.42,0.0,153.452,21.127,35.041,28.595,99.392,99.392,24.088,25.326,122.983,24.088,162.63,28.595,122.983,43.511,21.127
INST0132_N12_N12_D004,160.581,122.582,0.0,155.714,0.0,178.773,155.714,203.198,229.986,153.452,0.0,155.714,122.582,178.677,203.198,203.198,164.529,178.773,272.117,164.529,309.6,178.677,272.117,160.581,155.714
INST0132_N12_N12_P005,22.387,33.197,155.714,0.0,155.714,31.992,0.0,78.919,87.893,21.127,155.714,0.0,33.197,24.705,78.919,78.919,8.817,31.992,116.493,8.817,154.717,24.705,116.493,22.387,0.0
INST0132_N12_N12_D005,43.657,0.0,122.582,33.197,122.582,58.839,33.197,99.467,114.332,35.041,122.582,33.197,0.0,56.4,99.467,99.467,41.993,58.839,149.69,41.993,187.802,56.4,149.69,43.657,33.197
INST0132_N12_N12_P006,37.312,56.4,178.677,24.705,178.677,14.003,24.705,81.517,64.653,28.595,178.677,24.705,56.4,0.0,81.517,81.517,16.848,14.003,94.965,16.848,134.313,0.0,94.965,37.312,24.705
INST0132_N12_N12_D006,57.966,99.467,203.198,78.919,203.198,95.498,78.919,0.0,131.605,99.392,203.198,78.919,99.467,81.517,0.0,0.0,75.654,95.498,104.211,75.654,127.812,81.517,104.211,57.966,78.919
INST0132_N12_N12_P007,57.966,99.467,203.198,78.919,203.198,95.498,78.919,0.0,131.605,99.392,203.198,78.919,99.467,81.517,0.0,0.0,75.654,95.498,104.211,75.654,127.812,81.517,104.211,57.966,78.919
INST0132_N12_N12_D007,23.01,41.993,164.529,8.817,164.529,26.694,8.817,75.654,81.208,24.088,164.529,8.817,41.993,16.848,75.654,75.654,0.0,26.694,107.703,0.0,146.035,16.848,107.703,23.01,8.817
INST0132_N12_N12_P008,49.306,58.839,178.773,31.992,178.773,0.0,31.992,95.498,56.35,25.326,178.773,31.992,58.839,14.003,95.498,95.498,26.694,0.0,99.415,26.694,139.481,14.003,99.415,49.306,31.992
INST0132_N12_N12_D008,114.14,149.69,272.117,116.493,272.117,99.415,116.493,104.211,79.694,122.983,272.117,116.493,149.69,94.965,104.211,104.211,107.703,99.415,0.0,107.703,40.266,94.965,0.0,114.14,116.493
INST0132_N12_N12_P009,23.01,41.993,164.529,8.817,164.529,26.694,8.817,75.654,81.208,24.088,164.529,8.817,41.993,16.848,75.654,75.654,0.0,26.694,107.703,0.0,146.035,16.848,107.703,23.01,8.817
INST0132_N12_N12_D009,149.729,187.802,309.6,154.717,309.6,139.481,154.717,127.812,116.851,162.63,309.6,154.717,187.802,134.313,127.812,127.812,146.035,139.481,40.266,146.035,0.0,134.313,40.266,149.729,154.717
INST0132_N12_N12_P010,37.312,56.4,178.677,24.705,178.677,14.003,24.705,81.517,64.653,28.595,178.677,24.705,56.4,0.0,81.517,81.517,16.848,14.003,94.965,16.848,134.313,0.0,94.965,37.312,24.705
INST0132_N12_N12_D010,114.14,149.69,272.117,116.493,272.117,99.415,116.493,104.211,79.694,122.983,272.117,116.493,149.69,94.965,104.211,104.211,107.703,99.415,0.0,107.703,40.266,94.965,0.0,114.14,116.493
INST0132_N12_N12_P011,0.0,43.657,160.581,22.387,160.581,49.306,22.387,57.966,101.428,43.511,160.581,22.387,43.657,37.312,57.966,57.966,23.01,49.306,114.14,23.01,149.729,37.312,114.14,0.0,22.387
INST0132_N12_N12_D011,22.387,33.197,155.714,0.0,155.714,31.992,0.0,78.919,87.893,21.127,155.714,0.0,33.197,24.705,78.919,78.919,8.817,31.992,116.493,8.817,154.717,24.705,116.493,22.387,0.0
