,depot,INST0132_N12_N12_P000,INST0132_N12_N12_D000,INST0132_N12_N12_P001,INST0132_N12_N12_D001,INST0132_N12_N12_P002,INST0132_N12_N12_D002,INST0132_N12_N12_P003,INST0132_N12_N12_D003,INST0132_N12_N12_P004,INST0132_N12_N12_D004,INST0132_N12_N12_P005,INST0132_N12_N12_D005,INST0132_N12_N12_P006,INST0132_N12_N12_D006,INST0132_N12_N12_P007,INST0132_N12_N12_D007,INST0132_N12_N12_P008,INST0132_N12_N12_D008,INST0132_N12_N12_P009,INST0132_N12_N12_D009,INST0132_N12_N12_P010,INST0132_N12_N12_D010,INST0132_N12_N12_P011,INST0132_N12_N12_D011
depot,0.0,35.653,131.141,18.283,131.141,40.266,18.283,47.339,82.833,35.534,131.141,18.283,35.653,30.471,47.339,47.339,18.791,40.266,93.214,18.791,122.278,30.471,93.214,0.0,18.283
INST0132_N12_N12_P000,35.653,0.0,100.108,27.111,100.108,48.052,27.111,81.232,93.371,28.616,100.108,27.111,0.0,46.06,81.232,81.232,34.294,48.052,122.247,34.294,153.371,46.06,122.247,35.653,27.111
INST0132_N12_N12_D000,131.141,100.108,0.0,127.166,0.0,145.998,127.166,165.945,187.822,125.319,0.0,127.166,100.108,145.919,165.945,165.945,134.365,145.998,222.229,134.365,252.84,145.919,222.229,131.141,127.166
INST0132_N12_N12_P001,18.283,27.111,127.166,0.0,127.166,26.126,0.0,64.45,71.779,17.254,127.166,0.0,27.111,20.176,64.45,64.45,7.201,26.126,95.136,7.201,126.352,20.176,95.136,18.283,0.0
INST0132_N12_N12_D001,131.141,100.108,0.0,127.166,0.0,145.998,127.166,165.945,187.822,125.319,0.0,127.166,100.108,145.919,165.945,165.945,134.365,145.998,222.229,134.365,252.84,145.919,222.229,131.141,127.166
INST0132_N12_N12_P002,40.266,48.052,145.998,26.126,145.998,0.0,26.126,77.99,46.019,20.683,145.998,26.126,48.052,11.436,77.99,77.99,21.8,0.0,81.189,21.8,113.909,11.436,81.189,40.266,26.126
INST0132_N12_N12_D002,18.283,27.111,127.166,0.0,127.166,26.126,0.0,64.45,71.779,17.254,127.166,0.0,27.111,20.176,64.45,64.45,7.201,26.126,95.136,7.201,126.352,20.176,95.136,18.283,0.0
INST0132_N12_N12_P003,47.339,81.232,165.945,64.45,165.945,77.99,64.45,0.0,107.477,81.17,165.945,64.45,81.232,66.572,0.0,0.0,61.784,77.99,85.106,61.784,104.379,66.572,85.106,47.339,64.45
INST0132_N12_N12_D003,82.833,93.371,187.822,71.779,187.822,46.019,71.779,107.477,0.0,64.86,187.822,71.779,93.371,52.8,107.477,107.477,66.32,46.019,65.084,66.32,95.428,52.8,65.084,82.833,71.779
INST0132_N12_N12_P004,35.534,28.616,125.319,17.254,125.319,20.683,17.254,81.17,64.86,0.0,125.319,17.254,28.616,23.353,81.17,81.17,19.671,20.683,100.436,19.671,132.815,23.353,100.436,35.534,17.254
