,depot,INST0149_N12_S29_P000,INST0149_N12_S29_D000,INST0149_N12_S29_P001,INST0149_N12_S29_D001,INST0149_N12_S29_P002,INST0149_N12_S29_D002,INST0149_N12_S29_P003,INST0149_N12_S29_D003,INST0149_N12_S29_P004,INST0149_N12_S29_D004,INST0149_N12_S29_P005,INST0149_N12_S29_D005,INST0149_N12_S29_P006,INST0149_N12_S29_D006,INST0149_N12_S29_P007,INST0149_N12_S29_D007,INST0149_N12_S29_P008,INST0149_N12_S29_D008,INST0149_N12_S29_P009,INST0149_N12_S29_D009,INST0149_N12_S29_P010,INST0149_N12_S29_D010,INST0149_N12_S29_P011,INST0149_N12_S29_D011
depot,0.0,25.439,32.298,7.008,32.298,7.008,122.952,32.298,7.008,10.881,54.565,25.439,58.699,43.838,10.881,44.339,0.0,43.838,10.881,32.298,44.339,58.699,89.072,43.838,7.008
INST0149_N12_S29_P000,25.439,0.0,21.517,24.239,21.517,24.239,124.222,21.517,24.239,19.629,55.171,0.0,83.416,45.002,19.629,19.488,25.439,45.002,19.629,21.517,19.488,83.416,91.902,45.002,24.239
INST0149_N12_S29_D000,32.298,21.517,0.0,26.505,0.0,26.505,145.321,0.0,26.505,21.478,75.908,21.517,88.975,65.388,21.478,24.954,32.298,65.388,21.478,0.0,24.954,88.975,112.576,65.388,26.505
INST0149_N12_S29_P001,7.008,24.239,26.505,0.0,26.505,0.0,129.526,26.505,0.0,5.477,60.745,24.239,62.898,49.927,5.477,41.761,7.008,49.927,5.477,26.505,41.761,62.898,95.708,49.927,0.0
INST0149_N12_S29_D001,32.298,21.517,0.0,26.505,0.0,26.505,145.321,0.0,26.505,21.478,75.908,21.517,88.975,65.388,21.478,24.954,32.298,65.388,21.478,0.0,24.954,88.975,112.576,65.388,26.505
INST0149_N12_S29_P002,7.008,24.239,26.505,0.0,26.505,0.0,129.526,26.505,0.0,5.477,60.745,24.239,62.898,49.927,5.477,41.761,7.008,49.927,5.477,26.505,41.761,62.898,95.708,49.927,0.0
INST0149_N12_S29_D002,122.952,124.222,145.321,129.526,145.321,129.526,0.0,145.321,129.526,130.689,69.589,124.222,123.443,80.368,130.689,134.327,122.952,80.368,130.689,145.321,134.327,123.443,33.969,80.368,129.526
INST0149_N12_S29_P003,32.298,21.517,0.0,26.505,0.0,26.505,145.321,0.0,26.505,21.478,75.908,21.517,88.975,65.388,21.478,24.954,32.298,65.388,21.478,0.0,24.954,88.975,112.576,65.388,26.505
INST0149_N12_S29_D003,7.008,24.239,26.505,0.0,26.505,0.0,129.526,26.505,0.0,5.477,60.745,24.239,62.898,49.927,5.477,41.761,7.008,49.927,5.477,26.505,41.761,62.898,95.708,49.927,0.0
INST0149_N12_S29_P004,10.881,19.629,21.478,5.477,21.478,5.477,130.689,21.478,5.477,0.0,61.394,19.629,68.319,50.526,0.0,36.46,10.881,50.526,0.0,21.478,36.46,68.319,97.061,50.526,5.477
INST0149_N12_S29_D004,54.565,55.171,75.908,60.745,75.908,60.745,69.589,75.908,60.745,61.394,0.0,55.171,77.092,10.867,61.394,67.889,54.565,10.867,61.394,75.908,67.889,77.092,36.733,10.867,60.745
INST0149_N12_S29_P005,25.439,0.0,21.517,24.239,21.517,24.239,124.222,21.517,24.239,19.629,55.171,0.0,83.416,45.002,19.629,19.488,25.439,45.002,19.629,21.517,19.488,83.416,91.902,45.002,24.239
INST0149_N12_S29_D005,58.699,83.416,88.975,62.898,88.975,62.898,123.443,88.975,62.898,68.319,77.092,83.416,0.0,71.865,68.319,102.776,58.699,71.865,68.319,88.975,102.776,0.0,93.449,71.865,62.898
INST0149_N12_S29_P006,43.838,45.002,65.388,49.927,65.388,49.927,80.368,65.388,49.927,50.526,10.867,45.002,71.865,0.0,50.526,59.003,43.838,0.0,50.526,65.388,59.003,71.865,47.206,0.0,49.927
INST0149_N12_S29_D006,10.881,19.629,21.478,5.477,21.478,5.477,130.689,21.478,5.477,0.0,61.394,19.629,68.319,50.526,0.0,36.46,10.881,50.526,0.0,21.478,36.46,68.319,97.061,50.526,5.477
INST0149_N12_S29_P007,44.339,19.488,24.954,41.761,24.954,41.761,134.327,24.954,41.761,36.46,67.889,19.488,102.776,59.003,36.46,0.0,44.339,59.003,36.46,24.954,0.0,102.776,103.829,59.003,41.761
INST0149_N12_S29_D007,0.0,25.439,32.298,7.008,32.298,7.008,122.952,32.298,7.008,10.881,54.565,25.439,58.699,43.838,10.881,44.339,0.0,43.838,10.881,32.298,44.339,58.699,89.072,43.838,7.008
INST0149_N12_S29_P008,43.838,45.002,65.388,49.927,65.388,49.927,80.368,65.388,49.927,50.526,10.867,45.002,71.865,0.0,50.526,59.003,43.838,0.0,50.526,65.388,59.003,71.865,47.206,0.0,49.927
INST0149_N12_S29_D008,10.881,19.629,21.478,5.477,21.478,5.477,130.689,21.478,5.477,0.0,61.394,19.629,68.319,50.526,0.0,36.46,10.881,50.526,0.0,21.478,36.46,68.319,97.061,50.526,5.477
INST0149_N12_S29_P009,32.298,21.517,0.0,26.505,0.0,26.505,145.321,0.0,26.505,21.478,75.908,21.517,88.975,65.388,21.478,24.954,32.298,65.388,21.478,0.0,24.954,88.975,112.576,65.388,26.505
INST0149_N12_S29_D009,44.339,19.488,24.954,41.761,24.954,41.761,134.327,24.954,41.761,36.46,67.889,19.488,102.776,59.003,36.46,0.0,44.339,59.003,36.46,24.954,0.0,102.776,103.829,59.003,41.761
INST0149_N12_S29_P010,58.699,83.416,88.975,62.898,88.975,62.898,123.443,88.975,62.898,68.319,77.092,83.416,0.0,71.865,68.319,102.776,58.699,71.865,68.319,88.975,102.776,0.0,93.449,71.865,62.898
INST0149_N12_S29_D010,89.072,91.902,112.576,95.708,112.576,95.708,33.969,112.576,95.708,97.061,36.733,91.902,93.449,47.206,97.061,103.829,89.072,47.206,97.061,112.576,103.829,93.449,0.0,47.206,95.708
INST0149_N12_S29_P011,43.838,45.002,65.388,49.927,65.388,49.927,80.368,65.388,49.927,50.526,10.867,45.002,71.865,0.0,50.526,59.003,43.838,0.0,50.526,65.388,59.003,71.865,47.206,0.0,49.927
INST0149_N12_S29_D011,7.008,24.239,26.505,0.0,26.505,0.0,129.526,26.505,0.0,5.477,60.745,24.239,62.898,49.927,5.477,41.761,7.008,49.927,5.477,26.505,41.761,62.898,95.708,49.927,0.0
