,depot,INST0222_N20_N12_P000,INST0222_N20_N12_D000,INST0222_N20_N12_P001,INST0222_N20_N12_D001,INST0222_N20_N12_P002,INST0222_N20_N12_D002,INST0222_N20_N12_P003,INST0222_N20_N12_D003,INST0222_N20_N12_P004,INST0222_N20_N12_D004,INST0222_N20_N12_P005,INST0222_N20_N12_D005,INST0222_N20_N12_P006,INST0222_N20_N12_D006,INST0222_N20_N12_P007,INST0222_N20_N12_D007,INST0222_N20_N12_P008,INST0222_N20_N12_D008,INST0222_N20_N12_P009,INST0222_N20_N12_D009,INST0222_N20_N12_P010,INST0222_N20_N12_D010,INST0222_N20_N12_P011,INST0222_N20_N12_D011,INST0222_N20_N12_P012,INST0222_N20_N12_D012,INST0222_N20_N12_P013,INST0222_N20_N12_D013,INST0222_N20_N12_P014,INST0222_N20_N12_D014,INST0222_N20_N12_P015,INST0222_N20_N12_D015,INST0222_N20_N12_P016,INST0222_N20_N12_D016,INST0222_N20_N12_P017,INST0222_N20_N12_D017,INST0222_N20_N12_P018,INST0222_N20_N12_D018,INST0222_N20_N12_P019,INST0222_N20_N12_D019
depot,0.0,43.511,23.01,33.929,49.306,0.0,149.729,43.657,114.14,37.312,57.966,49.306,0.0,0.0,101.428,0.0,49.306,49.306,101.428,43.511,57.966,22.387,149.729,49.306,101.428,23.01,149.729,22.387,37.312,49.306,0.0,43.657,57.966,43.511,22.387,43.511,33.929,0.0,43.511,37.312,49.306
INST0222_N20_N12_P000,43.511,0.0,24.088,28.727,25.326,43.511,162.63,35.041,122.983,28.595,99.392,25.326,43.511,43.511,79.42,43.511,25.326,25.326,79.42,0.0,99.392,21.127,162.63,25.326,79.42,24.088,162.63,21.127,28.595,25.326,43.511,35.041,99.392,0.0,21.127,0.0,28.727,43.511,0.0,28.595,25.326
INST0222_N20_N12_D000,23.01,24.088,0.0,14.053,26.694,23.01,146.035,41.993,107.703,16.848,75.654,26.694,23.01,23.01,81.208,23.01,26.694,26.694,81.208,24.088,75.654,8.817,146.035,26.694,81.208,0.0,146.035,8.817,16.848,26.694,23.01,41.993,75.654,24.088,8.817,24.088,14.053,23.01,24.088,16.848,26.694
INST0222_N20_N12_P001,33.929,28.727,14.053,0.0,17.072,33.929,134.948,54.669,95.867,3.413,78.656,17.072,33.929,33.929,67.88,33.929,17.072,17.072,67.88,28.727,78.656,22.322,134.948,17.072,67.88,14.053,134.948,22.322,3.413,17.072,33.929,54.669,78.656,28.727,22.322,28.727,0.0,33.929,28.727,3.413,17.072
INST0222_N20_N12_D001,49.306,25.326,26.694,17.072,0.0,49.306,139.481,58.839,99.415,14.003,95.498,0.0,49.306,49.306,56.35,49.306,0.0,0.0,56.35,25.326,95.498,31.992,139.481,0.0,56.35,26.694,139.481,31.992,14.003,0.0,49.306,58.839,95.498,25.326,31.992,25.326,17.072,49.306,25.326,14.003,0.0
INST0222_N20_N12_P002,0.0,43.511,23.01,33.929,49.306,0.0,149.729,43.657,114.14,37.312,57.966,49.306,0.0,0.0,101.428,0.0,49.306,49.306,101.428,43.511,57.966,22.387,149.729,49.306,101.428,23.01,149.729,22.387,37.312,49.306,0.0,43.657,57.966,43.511,22.387,43.511,33.929,0.0,43.511,37.312,49.306
INST0222_N20_N12_D002,149.729,162.63,146.035,134.948,139.481,149.729,0.0,187.802,40.266,134.313,127.812,139.481,149.729,149.729,116.851,149.729,139.481,139.481,116.851,162.63,127.812,154.717,0.0,139.481,116.851,146.035,0.0,154.717,134.313,139.481,149.729,187.802,127.812,162.63,154.717,162.63,134.948,149.729,162.63,134.313,139.481
INST0222_N20_N12_P003,43.657,35.041,41.993,54.669,58.839,43.657,187.802,0.0,149.69,56.4,99.467,58.839,43.657,43.657,114.332,43.657,58.839,58.839,114.332,35.041,99.467,33.197,187.802,58.839,114.332,41.993,187.802,33.197,56.4,58.839,43.657,0.0,99.467,35.041,33.197,35.041,54.669,43.657,35.041,56.4,58.839
INST0222_N20_N12_D003,114.14,122.983,107.703,95.867,99.415,114.14,40.266,149.69,0.0,94.965,104.211,99.415,114.14,114.14,79.694,114.14,99.415,99.415,79.694,122.983,104.211,116.493,40.266,99.415,79.694,107.703,40.266,116.493,94.965,99.415,114.14,149.69,104.211,122.983,116.493,122.983,95.867,114.14,122.983,94.965,99.415
INST0222_N20_N12_P004,37.312,28.595,16.848,3.413,14.003,37.312,134.313,56.4,94.965,0.0,81.517,14.003,37.312,37.312,64.653,37.312,14.003,14.003,64.653,28.595,81.517,24.705,134.313,14.003,64.653,16.848,134.313,24.705,0.0,14.003,37.312,56.4,81.517,28.595,24.705,28.595,3.413,37.312,28.595,0.0,14.003
INST0222_N20_N12_D004,57.966,99.392,75.654,78.656,95.498,57.966,127.812,99.467,104.211,81.517,0.0,95.498,57.966,57.966,131.605,57.966,95.498,95.498,131.605,99.392,0.0,78.919,127.812,95.498,131.605,75.654,127.812,78.919,81.517,95.498,57.966,99.467,0.0,99.392,78.919,99.392,78.656,57.966,99.392,81.517,95.498
