,depot,INST0061_N8_W01_P000,INST0061_N8_W01_D000,INST0061_N8_W01_P001,INST0061_N8_W01_D001,INST0061_N8_W01_P002,INST0061_N8_W01_D002,INST0061_N8_W01_P003,INST0061_N8_W01_D003,INST0061_N8_W01_P004,INST0061_N8_W01_D004,INST0061_N8_W01_P005,INST0061_N8_W01_D005,INST0061_N8_W01_P006,INST0061_N8_W01_D006,INST0061_N8_W01_P007,INST0061_N8_W01_D007
depot,0.0,35.155,41.092,26.872,35.155,41.349,14.077,14.077,20.581,41.092,96.036,41.092,35.155,30.344,14.077,20.581,41.349
INST0061_N8_W01_P000,35.155,0.0,75.918,61.821,0.0,55.918,46.592,46.592,46.518,75.918,94.442,75.918,0.0,64.172,46.592,46.518,55.918
INST0061_N8_W01_D000,41.092,75.918,0.0,14.239,75.918,50.611,29.954,29.954,35.196,0.0,106.091,0.0,75.918,23.199,29.954,35.196,50.611
INST0061_N8_W01_P001,26.872,61.821,14.239,0.0,61.821,43.952,16.791,16.791,24.4,14.239,101.402,14.239,61.821,16.399,16.791,24.4,43.952
INST0061_N8_W01_D001,35.155,0.0,75.918,61.821,0.0,55.918,46.592,46.592,46.518,75.918,94.442,75.918,0.0,64.172,46.592,46.518,55.918
INST0061_N8_W01_P002,41.349,55.918,50.611,43.952,55.918,0.0,32.833,32.833,22.455,50.611,57.687,50.611,55.918,58.923,32.833,22.455,0.0
INST0061_N8_W01_D002,14.077,46.592,29.954,16.791,46.592,32.833,0.0,0.0,10.426,29.954,90.122,29.954,46.592,27.544,0.0,10.426,32.833
INST0061_N8_W01_P003,14.077,46.592,29.954,16.791,46.592,32.833,0.0,0.0,10.426,29.954,90.122,29.954,46.592,27.544,0.0,10.426,32.833
INST0061_N8_W01_D003,20.581,46.518,35.196,24.4,46.518,22.455,10.426,10.426,0.0,35.196,79.708,35.196,46.518,37.477,10.426,0.0,22.455
INST0061_N8_W01_P004,41.092,75.918,0.0,14.239,75.918,50.611,29.954,29.954,35.196,0.0,106.091,0.0,75.918,23.199,29.954,35.196,50.611
INST0061_N8_W01_D004,96.036,94.442,106.091,101.402,94.442,57.687,90.122,90.122,79.708,106.091,0.0,106.091,94.442,116.61,90.122,79.708,57.687
INST0061_N8_W01_P005,41.092,75.918,0.0,14.239,75.918,50.611,29.954,29.954,35.196,0.0,106.091,0.0,75.918,23.199,29.954,35.196,50.611
INST0061_N8_W01_D005,35.155,0.0,75.918,61.821,0.0,55.918,46.592,46.592,46.518,75.918,94.442,75.918,0.0,64.172,46.592,46.518,55.918
INST0061_N8_W01_P006,30.344,64.172,23.199,16.399,64.172,58.923,27.544,27.544,37.477,23.199,116.61,23.199,64.172,0.0,27.544,37.477,58.923
INST0061_N8_W01_D006,14.077,46.592,29.954,16.791,46.592,32.833,0.0,0.0,10.426,29.954,90.122,29.954,46.592,27.544,0.0,10.426,32.833
INST0061_N8_W01_P007,20.581,46.518,35.196,24.4,46.518,22.455,10.426,10.426,0.0,35.196,79.708,35.196,46.518,37.477,10.426,0.0,22.455
INST0061_N8_W01_D007,41.349,55.918,50.611,43.952,55.918,0.0,32.833,32.833,22.455,50.611,57.687,50.611,55.918,58.923,32.833,22.455,0.0
