,depot,INST0073_N8_W13_P000,INST0073_N8_W13_D000,INST0073_N8_W13_P001,INST0073_N8_W13_D001,INST0073_N8_W13_P002,INST0073_N8_W13_D002,INST0073_N8_W13_P003,INST0073_N8_W13_D003,INST0073_N8_W13_P004,INST0073_N8_W13_D004,INST0073_N8_W13_P005,INST0073_N8_W13_D005,INST0073_N8_W13_P006,INST0073_N8_W13_D006,INST0073_N8_W13_P007,INST0073_N8_W13_D007
depot,0.0,79.708,57.687,79.708,116.61,57.687,109.164,0.0,79.708,79.708,0.0,14.722,90.122,79.708,14.722,57.687,40.846
INST0073_N8_W13_P000,79.708,0.0,22.455,0.0,37.477,22.455,29.48,79.708,0.0,0.0,79.708,93.687,10.426,0.0,93.687,22.455,40.063
INST0073_N8_W13_D000,57.687,22.455,0.0,22.455,58.923,0.0,51.842,57.687,22.455,22.455,57.687,71.944,32.833,22.455,71.944,0.0,20.342
INST0073_N8_W13_P001,79.708,0.0,22.455,0.0,37.477,22.455,29.48,79.708,0.0,0.0,79.708,93.687,10.426,0.0,93.687,22.455,40.063
INST0073_N8_W13_D001,116.61,37.477,58.923,37.477,0.0,58.923,11.735,116.61,37.477,37.477,116.61,130.825,27.544,37.477,130.825,58.923,77.525
INST0073_N8_W13_P002,57.687,22.455,0.0,22.455,58.923,0.0,51.842,57.687,22.455,22.455,57.687,71.944,32.833,22.455,71.944,0.0,20.342
INST0073_N8_W13_D002,109.164,29.48,51.842,29.48,11.735,51.842,0.0,109.164,29.48,29.48,109.164,123.055,19.054,29.48,123.055,51.842,69.129
INST0073_N8_W13_P003,0.0,79.708,57.687,79.708,116.61,57.687,109.164,0.0,79.708,79.708,0.0,14.722,90.122,79.708,14.722,57.687,40.846
INST0073_N8_W13_D003,79.708,0.0,22.455,0.0,37.477,22.455,29.48,79.708,0.0,0.0,79.708,93.687,10.426,0.0,93.687,22.455,40.063
INST0073_N8_W13_P004,79.708,0.0,22.455,0.0,37.477,22.455,29.48,79.708,0.0,0.0,79.708,93.687,10.426,0.0,93.687,22.455,40.063
INST0073_N8_W13_D004,0.0,79.708,57.687,79.708,116.61,57.687,109.164,0.0,79.708,79.708,0.0,14.722,90.122,79.708,14.722,57.687,40.846
INST0073_N8_W13_P005,14.722,93.687,71.944,93.687,130.825,71.944,123.055,14.722,93.687,93.687,14.722,0.0,104.062,93.687,0.0,71.944,54.132
INST0073_N8_W13_D005,90.122,10.426,32.833,10.426,27.544,32.833,19.054,90.122,10.426,10.426,90.122,104.062,0.0,10.426,104.062,32.833,50.28
INST0073_N8_W13_P006,79.708,0.0,22.455,0.0,37.477,22.455,29.48,79.708,0.0,0.0,79.708,93.687,10.426,0.0,93.687,22.455,40.063
INST0073_N8_W13_D006,14.722,93.687,71.944,93.687,130.825,71.944,123.055,14.722,93.687,93.687,14.722,0.0,104.062,93.687,0.0,71.944,54.132
INST0073_N8_W13_P007,57.687,22.455,0.0,22.455,58.923,0.0,51.842,57.687,22.455,22.455,57.687,71.944,32.833,22.455,71.944,0.0,20.342
INST0073_N8_W13_D007,40.846,40.063,20.342,40.063,77.525,20.342,69.129,40.846,40.063,40.063,40.846,54.132,50.28,40.063,54.132,20.342,0.0
