,depot,INST0175_N15_W25_P000,INST0175_N15_W25_D000,INST0175_N15_W25_P001,INST0175_N15_W25_D001,INST0175_N15_W25_P002,INST0175_N15_W25_D002,INST0175_N15_W25_P003,INST0175_N15_W25_D003,INST0175_N15_W25_P004,INST0175_N15_W25_D004,INST0175_N15_W25_P005,INST0175_N15_W25_D005,INST0175_N15_W25_P006,INST0175_N15_W25_D006,INST0175_N15_W25_P007,INST0175_N15_W25_D007,INST0175_N15_W25_P008,INST0175_N15_W25_D008,INST0175_N15_W25_P009,INST0175_N15_W25_D009,INST0175_N15_W25_P010,INST0175_N15_W25_D010,INST0175_N15_W25_P011,INST0175_N15_W25_D011,INST0175_N15_W25_P012,INST0175_N15_W25_D012,INST0175_N15_W25_P013,INST0175_N15_W25_D013,INST0175_N15_W25_P014,INST0175_N15_W25_D014
depot,0.0,18.744,123.055,16.35,19.054,29.48,123.055,28.769,69.129,52.507,0.0,69.129,11.735,52.507,69.129,69.129,16.35,28.769,123.055,11.735,109.164,19.054,29.48,28.769,29.48,11.735,52.507,16.35,51.842,29.48,123.055
INST0175_N15_W25_P000,18.744,0.0,109.245,26.872,14.077,20.581,109.245,41.092,55.217,35.155,18.744,55.217,30.344,35.155,55.217,55.217,26.872,41.092,109.245,30.344,96.036,14.077,20.581,41.092,20.581,30.344,35.155,26.872,41.349,20.581,109.245
INST0175_N15_W25_D000,123.055,109.245,0.0,115.807,104.062,93.687,0.0,120.757,54.132,104.634,123.055,54.132,130.825,104.634,54.132,54.132,115.807,120.757,0.0,130.825,14.722,104.062,93.687,120.757,93.687,130.825,104.634,115.807,71.944,93.687,0.0
INST0175_N15_W25_P001,16.35,26.872,115.807,0.0,16.791,24.4,115.807,14.239,63.444,61.821,16.35,63.444,16.399,61.821,63.444,63.444,0.0,14.239,115.807,16.399,101.402,16.791,24.4,14.239,24.4,16.399,61.821,0.0,43.952,24.4,115.807
INST0175_N15_W25_D001,19.054,14.077,104.062,16.791,0.0,10.426,104.062,29.954,50.28,46.592,19.054,50.28,27.544,46.592,50.28,50.28,16.791,29.954,104.062,27.544,90.122,0.0,10.426,29.954,10.426,27.544,46.592,16.791,32.833,10.426,104.062
INST0175_N15_W25_P002,29.48,20.581,93.687,24.4,10.426,0.0,93.687,35.196,40.063,46.518,29.48,40.063,37.477,46.518,40.063,40.063,24.4,35.196,93.687,37.477,79.708,10.426,0.0,35.196,0.0,37.477,46.518,24.4,22.455,0.0,93.687
INST0175_N15_W25_D002,123.055,109.245,0.0,115.807,104.062,93.687,0.0,120.757,54.132,104.634,123.055,54.132,130.825,104.634,54.132,54.132,115.807,120.757,0.0,130.825,14.722,104.062,93.687,120.757,93.687,130.825,104.634,115.807,71.944,93.687,0.0
INST0175_N15_W25_P003,28.769,41.092,120.757,14.239,29.954,35.196,120.757,0.0,70.903,75.918,28.769,70.903,23.199,75.918,70.903,70.903,14.239,0.0,120.757,23.199,106.091,29.954,35.196,0.0,35.196,23.199,75.918,14.239,50.611,35.196,120.757
INST0175_N15_W25_D003,69.129,55.217,54.132,63.444,50.28,40.063,54.132,70.903,0.0,57.646,69.129,0.0,77.525,57.646,0.0,0.0,63.444,70.903,54.132,77.525,40.846,50.28,40.063,70.903,40.063,77.525,57.646,63.444,20.342,40.063,54.132
INST0175_N15_W25_P004,52.507,35.155,104.634,61.821,46.592,46.518,104.634,75.918,57.646,0.0,52.507,57.646,64.172,0.0,57.646,57.646,61.821,75.918,104.634,64.172,94.442,46.592,46.518,75.918,46.518,64.172,0.0,61.821,55.918,46.518,104.634
INST0175_N15_W25_D004,0.0,18.744,123.055,16.35,19.054,29.48,123.055,28.769,69.129,52.507,0.0,69.129,11.735,52.507,69.129,69.129,16.35,28.769,123.055,11.735,109.164,19.054,29.48,28.769,29.48,11.735,52.507,16.35,51.842,29.48,123.055
INST0175_N15_W25_P005,69.129,55.217,54.132,63.444,50.28,40.063,54.132,70.903,0.0,57.646,69.129,0.0,77.525,57.646,0.0,0.0,63.444,70.903,54.132,77.525,40.846,50.28,40.063,70.903,40.063,77.525,57.646,63.444,20.342,40.063,54.132
INST0175_N15_W25_D005,11.735,30.344,130.825,16.399,27.544,37.477,130.825,23.199,77.525,64.172,11.735,77.525,0.0,64.172,77.525,77.525,16.399,23.199,130.825,0.0,116.61,27.544,37.477,23.199,37.477,0.0,64.172,16.399,58.923,37.477,130.825
INST0175_N15_W25_P006,52.507,35.155,104.634,61.821,46.592,46.518,104.634,75.918,57.646,0.0,52.507,57.646,64.172,0.0,57.646,57.646,61.821,75.918,104.634,64.172,94.442,46.592,46.518,75.918,46.518,64.172,0.0,61.821,55.918,46.518,104.634
INST0175_N15_W25_D006,69.129,55.217,54.132,63.444,50.28,40.063,54.132,70.903,0.0,57.646,69.129,0.0,77.525,57.646,0.0,0.0,63.444,70.903,54.132,77.525,40.846,50.28,40.063,70.903,40.063,77.525,57.646,63.444,20.342,40.063,54.132
INST0175_N15_W25_P007,69.129,55.217,54.132,63.444,50.28,40.063,54.132,70.903,0.0,57.646,69.129,0.0,77.525,57.646,0.0,0.0,63.444,70.903,54.132,77.525,40.846,50.28,40.063,70.903,40.063,77.525,57.646,63.444,20.342,40.063,54.132
INST0175_N15_W25_D007,16.35,26.872,115.807,0.0,16.791,24.4,115.807,14.239,63.444,61.821,16.35,63.444,16.399,61.821,63.444,63.444,0.0,14.239,115.807,16.399,101.402,16.791,24.4,14.239,24.4,16.399,61.821,0.0,43.952,24.4,115.807
INST0175_N15_W25_P008,28.769,41.092,120.757,14.239,29.954,35.196,120.757,0.0,70.903,75.918,28.769,70.903,23.199,75.918,70.903,70.903,14.239,0.0,120.757,23.199,106.091,29.954,35.196,0.0,35.196,23.199,75.918,14.239,50.611,35.196,120.757
INST0175_N15_W25_D008,123.055,109.245,0.0,115.807,104.062,93.687,0.0,120.757,54.132,104.634,123.055,54.132,130.825,104.634,54.132,54.132,115.807,120.757,0.0,130.825,14.722,104.062,93.687,120.757,93.687,130.825,104.634,115.807,71.944,93.687,0.0
INST0175_N15_W25_P009,11.735,30.344,130.825,16.399,27.544,37.477,130.825,23.199,77.525,64.172,11.735,77.525,0.0,64.172,77.525,77.525,16.399,23.199,130.825,0.0,116.61,27.544,37.477,23.199,37.477,0.0,64.172,16.399,58.923,37.477,130.825
INST0175_N15_W25_D009,109.164,96.036,14.722,101.402,90.122,79.708,14.722,106.091,40.846,94.442,109.164,40.846,116.61,94.442,40.846,40.846,101.402,106.091,14.722,116.61,0.0,90.122,79.708,106.091,79.708,116.61,94.442,101.402,57.687,79.708,14.722
INST0175_N15_W25_P010,19.054,14.077,104.062,16.791,0.0,10.426,104.062,29.954,50.28,46.592,19.054,50.28,27.544,46.592,50.28,50.28,16.791,29.954,104.062,27.544,90.122,0.0,10.426,29.954,10.426,27.544,46.592,16.791,32.833,10.426,104.062
INST0175_N15_W25_D010,29.48,20.581,93.687,24.4,10.426,0.0,93.687,35.196,40.063,46.518,29.48,40.063,37.477,46.518,40.063,40.063,24.4,35.196,93.687,37.477,79.708,10.426,0.0,35.196,0.0,37.477,46.518,24.4,22.455,0.0,93.687
INST0175_N15_W25_P011,28.769,41.092,120.757,14.239,29.954,35.196,120.757,0.0,70.903,75.918,28.769,70.903,23.199,75.918,70.903,70.903,14.239,0.0,120.757,23.199,106.091,29.954,35.196,0.0,35.196,23.199,75.918,14.239,50.611,35.196,120.757
INST0175_N15_W25_D011,29.48,20.581,93.687,24.4,10.426,0.0,93.687,35.196,40.063,46.518,29.48,40.063,37.477,46.518,40.063,40.063,24.4,35.196,93.687,37.477,79.708,10.426,0.0,35.196,0.0,37.477,46.518,24.4,22.455,0.0,93.687
INST0175_N15_W25_P012,11.735,30.344,130.825,16.399,27.544,37.477,130.825,23.199,77.525,64.172,11.735,77.525,0.0,64.172,77.525,77.525,16.399,23.199,130.825,0.0,116.61,27.544,37.477,23.199,37.477,0.0,64.172,16.399,58.923,37.477,130.825
INST0175_N15_W25_D012,52.507,35.155,104.634,61.821,46.592,46.518,104.634,75.918,57.646,0.0,52.507,57.646,64.172,0.0,57.646,57.646,61.821,75.918,104.634,64.172,94.442,46.592,46.518,75.918,46.518,64.172,0.0,61.821,55.918,46.518,104.634
INST0175_N15_W25_P013,16.35,26.872,115.807,0.0,16.791,24.4,115.807,14.239,63.444,61.821,16.35,63.444,16.399,61.821,63.444,63.444,0.0,14.239,115.807,16.399,101.402,16.791,24.4,14.239,24.4,16.399,61.821,0.0,43.952,24.4,115.807
INST0175_N15_W25_D013,51.842,41.349,71.944,43.952,32.833,22.455,71.944,50.611,20.342,55.918,51.842,20.342,58.923,55.918,20.342,20.342,43.952,50.611,71.944,58.923,57.687,32.833,22.455,50.611,22.455,58.923,55.918,43.952,0.0,22.455,71.944
INST0175_N15_W25_P014,29.48,20.581,93.687,24.4,10.426,0.0,93.687,35.196,40.063,46.518,29.48,40.063,37.477,46.518,40.063,40.063,24.4,35.196,93.687,37.477,79.708,10.426,0.0,35.196,0.0,37.477,46.518,24.4,22.455,0.0,93.687
INST0175_N15_W25_D014,123.055,109.245,0.0,115.807,104.062,93.687,0.0,120.757,54.132,104.634,123.055,54.132,130.825,104.634,54.132,54.132,115.807,120.757,0.0,130.825,14.722,104.062,93.687,120.757,93.687,130.825,104.634,115.807,71.944,93.687,0.0
