,depot,INST0117_N10_N27_P000,INST0117_N10_N27_D000,INST0117_N10_N27_P001,INST0117_N10_N27_D001,INST0117_N10_N27_P002,INST0117_N10_N27_D002,INST0117_N10_N27_P003,INST0117_N10_N27_D003,INST0117_N10_N27_P004,INST0117_N10_N27_D004,INST0117_N10_N27_P005,INST0117_N10_N27_D005,INST0117_N10_N27_P006,INST0117_N10_N27_D006,INST0117_N10_N27_P007,INST0117_N10_N27_D007,INST0117_N10_N27_P008,INST0117_N10_N27_D008,INST0117_N10_N27_P009,INST0117_N10_N27_D009
depot,0.0,18.283,27.709,27.709,122.278,18.791,40.266,0.0,35.653,35.653,18.791,47.339,30.471,27.709,0.0,47.339,0.0,35.653,93.214,30.471,35.534
INST0117_N10_N27_P000,18.283,0.0,18.229,18.229,126.352,7.201,26.126,18.283,27.111,27.111,7.201,64.45,20.176,18.229,18.283,64.45,18.283,27.111,95.136,20.176,17.254
INST0117_N10_N27_D000,27.709,18.229,0.0,0.0,110.207,11.477,13.942,27.709,44.646,44.646,11.477,64.236,2.788,0.0,27.709,64.236,27.709,44.646,78.292,2.788,23.461
INST0117_N10_N27_P001,27.709,18.229,0.0,0.0,110.207,11.477,13.942,27.709,44.646,44.646,11.477,64.236,2.788,0.0,27.709,64.236,27.709,44.646,78.292,2.788,23.461
INST0117_N10_N27_D001,122.278,126.352,110.207,110.207,0.0,119.262,113.909,122.278,153.371,153.371,119.262,104.379,109.689,110.207,122.278,104.379,122.278,153.371,32.884,109.689,132.815
INST0117_N10_N27_P002,18.791,7.201,11.477,11.477,119.262,0.0,21.8,18.791,34.294,34.294,0.0,61.784,13.759,11.477,18.791,61.784,18.791,34.294,87.958,13.759,19.671
INST0117_N10_N27_D002,40.266,26.126,13.942,13.942,113.909,21.8,0.0,40.266,48.052,48.052,21.8,77.99,11.436,13.942,40.266,77.99,40.266,48.052,81.189,11.436,20.683
INST0117_N10_N27_P003,0.0,18.283,27.709,27.709,122.278,18.791,40.266,0.0,35.653,35.653,18.791,47.339,30.471,27.709,0.0,47.339,0.0,35.653,93.214,30.471,35.534
INST0117_N10_N27_D003,35.653,27.111,44.646,44.646,153.371,34.294,48.052,35.653,0.0,0.0,34.294,81.232,46.06,44.646,35.653,81.232,35.653,0.0,122.247,46.06,28.616
INST0117_N10_N27_P004,35.653,27.111,44.646,44.646,153.371,34.294,48.052,35.653,0.0,0.0,34.294,81.232,46.06,44.646,35.653,81.232,35.653,0.0,122.247,46.06,28.616
INST0117_N10_N27_D004,18.791,7.201,11.477,11.477,119.262,0.0,21.8,18.791,34.294,34.294,0.0,61.784,13.759,11.477,18.791,61.784,18.791,34.294,87.958,13.759,19.671
INST0117_N10_N27_P005,47.339,64.45,64.236,64.236,104.379,61.784,77.99,47.339,81.232,81.232,61.784,0.0,66.572,64.236,47.339,0.0,47.339,81.232,85.106,66.572,81.17
INST0117_N10_N27_D005,30.471,20.176,2.788,2.788,109.689,13.759,11.436,30.471,46.06,46.06,13.759,66.572,0.0,2.788,30.471,66.572,30.471,46.06,77.555,0.0,23.353
INST0117_N10_N27_P006,27.709,18.229,0.0,0.0,110.207,11.477,13.942,27.709,44.646,44.646,11.477,64.236,2.788,0.0,27.709,64.236,27.709,44.646,78.292,2.788,23.461
INST0117_N10_N27_D006,0.0,18.283,27.709,27.709,122.278,18.791,40.266,0.0,35.653,35.653,18.791,47.339,30.471,27.709,0.0,47.339,0.0,35.653,93.214,30.471,35.534
INST0117_N10_N27_P007,47.339,64.45,64.236,64.236,104.379,61.784,77.99,47.339,81.232,81.232,61.784,0.0,66.572,64.236,47.339,0.0,47.339,81.232,85.106,66.572,81.17
INST0117_N10_N27_D007,0.0,18.283,27.709,27.709,122.278,18.791,40.266,0.0,35.653,35.653,18.791,47.339,30.471,27.709,0.0,47.339,0.0,35.653,93.214,30.471,35.534
INST0117_N10_N27_P008,35.653,27.111,44.646,44.646,153.371,34.294,48.052,35.653,0.0,0.0,34.294,81.232,46.06,44.646,35.653,81.232,35.653,0.0,122.247,46.06,28.616
INST0117_N10_N27_D008,93.214,95.136,78.292,78.292,32.884,87.958,81.189,93.214,122.247,122.247,87.958,85.106,77.555,78.292,93.214,85.106,93.214,122.247,0.0,77.555,100.436
INST0117_N10_N27_P009,30.471,20.176,2.788,2.788,109.689,13.759,11.436,30.471,46.06,46.06,13.759,66.572,0.0,2.788,30.471,66.572,30.471,46.06,77.555,0.0,23.353
INST0117_N10_N27_D009,35.534,17.254,23.461,23.461,132.815,19.671,20.683,35.534,28.616,28.616,19.671,81.17,23.353,23.461,35.534,81.17,35.534,28.616,100.436,23.353,0.0
