,depot,INST0237_N20_N27_P000,INST0237_N20_N27_D000,INST0237_N20_N27_P001,INST0237_N20_N27_D001,INST0237_N20_N27_P002,INST0237_N20_N27_D002,INST0237_N20_N27_P003,INST0237_N20_N27_D003,INST0237_N20_N27_P004,INST0237_N20_N27_D004,INST0237_N20_N27_P005,INST0237_N20_N27_D005,INST0237_N20_N27_P006,INST0237_N20_N27_D006,INST0237_N20_N27_P007,INST0237_N20_N27_D007,INST0237_N20_N27_P008,INST0237_N20_N27_D008,INST0237_N20_N27_P009,INST0237_N20_N27_D009,INST0237_N20_N27_P010,INST0237_N20_N27_D010,INST0237_N20_N27_P011,INST0237_N20_N27_D011,INST0237_N20_N27_P012,INST0237_N20_N27_D012,INST0237_N20_N27_P013,INST0237_N20_N27_D013,INST0237_N20_N27_P014,INST0237_N20_N27_D014,INST0237_N20_N27_P015,INST0237_N20_N27_D015,INST0237_N20_N27_P016,INST0237_N20_N27_D016,INST0237_N20_N27_P017,INST0237_N20_N27_D017,INST0237_N20_N27_P018,INST0237_N20_N27_D018,INST0237_N20_N27_P019,INST0237_N20_N27_D019
depot,0.0,33.929,57.966,33.929,0.0,0.0,101.428,43.657,43.511,22.387,160.581,0.0,37.312,23.01,114.14,49.306,175.714,37.312,43.511,43.511,22.387,22.387,43.511,0.0,49.306,57.966,49.306,43.657,49.306,23.01,37.312,57.966,101.428,49.306,23.01,49.306,23.01,22.387,33.929,43.511,23.01
INST0237_N20_N27_P000,33.929,0.0,78.656,0.0,33.929,33.929,67.88,54.669,28.727,22.322,177.15,33.929,3.413,14.053,95.867,17.072,167.44,3.413,28.727,28.727,22.322,22.322,28.727,33.929,17.072,78.656,17.072,54.669,17.072,14.053,3.413,78.656,67.88,17.072,14.053,17.072,14.053,22.322,0.0,28.727,14.053
INST0237_N20_N27_D000,57.966,78.656,0.0,78.656,57.966,57.966,131.605,99.467,99.392,78.919,203.198,57.966,81.517,75.654,104.211,95.498,233.468,81.517,99.392,99.392,78.919,78.919,99.392,57.966,95.498,0.0,95.498,99.467,95.498,75.654,81.517,0.0,131.605,95.498,75.654,95.498,75.654,78.919,78.656,99.392,75.654
INST0237_N20_N27_P001,33.929,0.0,78.656,0.0,33.929,33.929,67.88,54.669,28.727,22.322,177.15,33.929,3.413,14.053,95.867,17.072,167.44,3.413,28.727,28.727,22.322,22.322,28.727,33.929,17.072,78.656,17.072,54.669,17.072,14.053,3.413,78.656,67.88,17.072,14.053,17.072,14.053,22.322,0.0,28.727,14.053
INST0237_N20_N27_D001,0.0,33.929,57.966,33.929,0.0,0.0,101.428,43.657,43.511,22.387,160.581,0.0,37.312,23.01,114.14,49.306,175.714,37.312,43.511,43.511,22.387,22.387,43.511,0.0,49.306,57.966,49.306,43.657,49.306,23.01,37.312,57.966,101.428,49.306,23.01,49.306,23.01,22.387,33.929,43.511,23.01
INST0237_N20_N27_P002,0.0,33.929,57.966,33.929,0.0,0.0,101.428,43.657,43.511,22.387,160.581,0.0,37.312,23.01,114.14,49.306,175.714,37.312,43.511,43.511,22.387,22.387,43.511,0.0,49.306,57.966,49.306,43.657,49.306,23.01,37.312,57.966,101.428,49.306,23.01,49.306,23.01,22.387,33.929,43.511,23.01
INST0237_N20_N27_D002,101.428,67.88,131.605,67.88,101.428,101.428,0.0,114.332,79.42,87.893,229.986,101.428,64.653,81.208,79.694,56.35,182.822,64.653,79.42,79.42,87.893,87.893,79.42,101.428,56.35,131.605,56.35,114.332,56.35,81.208,64.653,131.605,0.0,56.35,81.208,56.35,81.208,87.893,67.88,79.42,81.208
INST0237_N20_N27_P003,43.657,54.669,99.467,54.669,43.657,43.657,114.332,0.0,35.041,33.197,122.582,43.657,56.4,41.993,149.69,58.839,134.941,56.4,35.041,35.041,33.197,33.197,35.041,43.657,58.839,99.467,58.839,0.0,58.839,41.993,56.4,99.467,114.332,58.839,41.993,58.839,41.993,33.197,54.669,35.041,41.993
INST0237_N20_N27_D003,43.511,28.727,99.392,28.727,43.511,43.511,79.42,35.041,0.0,21.127,153.452,43.511,28.595,24.088,122.983,25.326,139.347,28.595,0.0,0.0,21.127,21.127,0.0,43.511,25.326,99.392,25.326,35.041,25.326,24.088,28.595,99.392,79.42,25.326,24.088,25.326,24.088,21.127,28.727,0.0,24.088
INST0237_N20_N27_P004,22.387,22.322,78.919,22.322,22.387,22.387,87.893,33.197,21.127,0.0,155.714,22.387,24.705,8.817,116.493,31.992,156.702,24.705,21.127,21.127,0.0,0.0,21.127,22.387,31.992,78.919,31.992,33.197,31.992,8.817,24.705,78.919,87.893,31.992,8.817,31.992,8.817,0.0,22.322,21.127,8.817
INST0237_N20_N27_D004,160.581,177.15,203.198,177.15,160.581,160.581,229.986,122.582,153.452,155.714,0.0,160.581,178.677,164.529,272.117,178.773,125.74,178.677,153.452,153.452,155.714,155.714,153.452,160.581,178.773,203.198,178.773,122.582,178.773,164.529,178.677,203.198,229.986,178.773,164.529,178.773,164.529,155.714,177.15,153.452,164.529
INST0237_N20_N27_P005,0.0,33.929,57.966,33.929,0.0,0.0,101.428,43.657,43.511,22.387,160.581,0.0,37.312,23.01,114.14,49.306,175.714,37.312,43.511,43.511,22.387,22.387,43.511,0.0,49.306,57.966,49.306,43.657,49.306,23.01,37.312,57.966,101.428,49.306,23.01,49.306,23.01,22.387,33.929,43.511,23.01
INST0237_N20_N27_D005,37.312,3.413,81.517,3.413,37.312,37.312,64.653,56.4,28.595,24.705,178.677,37.312,0.0,16.848,94.965,14.003,166.496,0.0,28.595,28.595,24.705,24.705,28.595,37.312,14.003,81.517,14.003,56.4,14.003,16.848,0.0,81.517,64.653,14.003,16.848,14.003,16.848,24.705,3.413,28.595,16.848
INST0237_N20_N27_P006,23.01,14.053,75.654,14.053,23.01,23.01,81.208,41.993,24.088,8.817,164.529,23.01,16.848,0.0,107.703,26.694,162.641,16.848,24.088,24.088,8.817,8.817,24.088,23.01,26.694,75.654,26.694,41.993,26.694,0.0,16.848,75.654,81.208,26.694,0.0,26.694,0.0,8.817,14.053,24.088,0.0
INST0237_N20_N27_D006,114.14,95.867,104.211,95.867,114.14,114.14,79.694,149.69,122.983,116.493,272.117,114.14,94.965,107.703,0.0,99.415,253.32,94.965,122.983,122.983,116.493,116.493,122.983,114.14,99.415,104.211,99.415,149.69,99.415,107.703,94.965,104.211,79.694,99.415,107.703,99.415,107.703,116.493,95.867,122.983,107.703
INST0237_N20_N27_P007,49.306,17.072,95.498,17.072,49.306,49.306,56.35,58.839,25.326,31.992,178.773,49.306,14.003,26.694,99.415,0.0,157.017,14.003,25.326,25.326,31.992,31.992,25.326,49.306,0.0,95.498,0.0,58.839,0.0,26.694,14.003,95.498,56.35,0.0,26.694,0.0,26.694,31.992,17.072,25.326,26.694
INST0237_N20_N27_D007,175.714,167.44,233.468,167.44,175.714,175.714,182.822,134.941,139.347,156.702,125.74,175.714,166.496,162.641,253.32,157.017,0.0,166.496,139.347,139.347,156.702,156.702,139.347,175.714,157.017,233.468,157.017,134.941,157.017,162.641,166.496,233.468,182.822,157.017,162.641,157.017,162.641,156.702,167.44,139.347,162.641
INST0237_N20_N27_P008,37.312,3.413,81.517,3.413,37.312,37.312,64.653,56.4,28.595,24.705,178.677,37.312,0.0,16.848,94.965,14.003,166.496,0.0,28.595,28.595,24.705,24.705,28.595,37.312,14.003,81.517,14.003,56.4,14.003,16.848,0.0,81.517,64.653,14.003,16.848,14.003,16.848,24.705,3.413,28.595,16.848
INST0237_N20_N27_D008,43.511,28.727,99.392,28.727,43.511,43.511,79.42,35.041,0.0,21.127,153.452,43.511,28.595,24.088,122.983,25.326,139.347,28.595,0.0,0.0,21.127,21.127,0.0,43.511,25.326,99.392,25.326,35.041,25.326,24.088,28.595,99.392,79.42,25.326,24.088,25.326,24.088,21.127,28.727,0.0,24.088
