,depot,INST0150_N15_N00_P000,INST0150_N15_N00_D000,INST0150_N15_N00_P001,INST0150_N15_N00_D001,INST0150_N15_N00_P002,INST0150_N15_N00_D002,INST0150_N15_N00_P003,INST0150_N15_N00_D003,INST0150_N15_N00_P004,INST0150_N15_N00_D004,INST0150_N15_N00_P005,INST0150_N15_N00_D005,INST0150_N15_N00_P006,INST0150_N15_N00_D006,INST0150_N15_N00_P007,INST0150_N15_N00_D007,INST0150_N15_N00_P008,INST0150_N15_N00_D008,INST0150_N15_N00_P009,INST0150_N15_N00_D009,INST0150_N15_N00_P010,INST0150_N15_N00_D010,INST0150_N15_N00_P011,INST0150_N15_N00_D011,INST0150_N15_N00_P012,INST0150_N15_N00_D012,INST0150_N15_N00_P013,INST0150_N15_N00_D013,INST0150_N15_N00_P014,INST0150_N15_N00_D014
depot,0.0,61.784,19.671,34.294,0.0,66.32,87.958,34.294,0.0,18.791,34.294,34.294,66.32,13.759,0.0,34.294,18.791,34.294,0.0,7.201,34.294,7.201,11.477,21.8,13.759,18.791,13.759,19.671,0.0,0.0,11.477
INST0150_N15_N00_P000,61.784,0.0,81.17,81.232,61.784,107.477,85.106,81.232,61.784,47.339,81.232,81.232,107.477,66.572,61.784,81.232,47.339,81.232,61.784,64.45,81.232,64.45,64.236,77.99,66.572,47.339,66.572,81.17,61.784,61.784,64.236
INST0150_N15_N00_D000,19.671,81.17,0.0,28.616,19.671,64.86,100.436,28.616,19.671,35.534,28.616,28.616,64.86,23.353,19.671,28.616,35.534,28.616,19.671,17.254,28.616,17.254,23.461,20.683,23.353,35.534,23.353,0.0,19.671,19.671,23.461
INST0150_N15_N00_P001,34.294,81.232,28.616,0.0,34.294,93.371,122.247,0.0,34.294,35.653,0.0,0.0,93.371,46.06,34.294,0.0,35.653,0.0,34.294,27.111,0.0,27.111,44.646,48.052,46.06,35.653,46.06,28.616,34.294,34.294,44.646
INST0150_N15_N00_D001,0.0,61.784,19.671,34.294,0.0,66.32,87.958,34.294,0.0,18.791,34.294,34.294,66.32,13.759,0.0,34.294,18.791,34.294,0.0,7.201,34.294,7.201,11.477,21.8,13.759,18.791,13.759,19.671,0.0,0.0,11.477
INST0150_N15_N00_P002,66.32,107.477,64.86,93.371,66.32,0.0,65.084,93.371,66.32,82.833,93.371,93.371,0.0,52.8,66.32,93.371,82.833,93.371,66.32,71.779,93.371,71.779,55.435,46.019,52.8,82.833,52.8,64.86,66.32,66.32,55.435
INST0150_N15_N00_D002,87.958,85.106,100.436,122.247,87.958,65.084,0.0,122.247,87.958,93.214,122.247,122.247,65.084,77.555,87.958,122.247,93.214,122.247,87.958,95.136,122.247,95.136,78.292,81.189,77.555,93.214,77.555,100.436,87.958,87.958,78.292
INST0150_N15_N00_P003,34.294,81.232,28.616,0.0,34.294,93.371,122.247,0.0,34.294,35.653,0.0,0.0,93.371,46.06,34.294,0.0,35.653,0.0,34.294,27.111,0.0,27.111,44.646,48.052,46.06,35.653,46.06,28.616,34.294,34.294,44.646
INST0150_N15_N00_D003,0.0,61.784,19.671,34.294,0.0,66.32,87.958,34.294,0.0,18.791,34.294,34.294,66.32,13.759,0.0,34.294,18.791,34.294,0.0,7.201,34.294,7.201,11.477,21.8,13.759,18.791,13.759,19.671,0.0,0.0,11.477
INST0150_N15_N00_P004,18.791,47.339,35.534,35.653,18.791,82.833,93.214,35.653,18.791,0.0,35.653,35.653,82.833,30.471,18.791,35.653,0.0,35.653,18.791,18.283,35.653,18.283,27.709,40.266,30.471,0.0,30.471,35.534,18.791,18.791,27.709
INST0150_N15_N00_D004,34.294,81.232,28.616,0.0,34.294,93.371,122.247,0.0,34.294,35.653,0.0,0.0,93.371,46.06,34.294,0.0,35.653,0.0,34.294,27.111,0.0,27.111,44.646,48.052,46.06,35.653,46.06,28.616,34.294,34.294,44.646
INST0150_N15_N00_P005,34.294,81.232,28.616,0.0,34.294,93.371,122.247,0.0,34.294,35.653,0.0,0.0,93.371,46.06,34.294,0.0,35.653,0.0,34.294,27.111,0.0,27.111,44.646,48.052,46.06,35.653,46.06,28.616,34.294,34.294,44.646
INST0150_N15_N00_D005,66.32,107.477,64.86,93.371,66.32,0.0,65.084,93.371,66.32,82.833,93.371,93.371,0.0,52.8,66.32,93.371,82.833,93.371,66.32,71.779,93.371,71.779,55.435,46.019,52.8,82.833,52.8,64.86,66.32,66.32,55.435
INST0150_N15_N00_P006,13.759,66.572,23.353,46.06,13.759,52.8,77.555,46.06,13.759,30.471,46.06,46.06,52.8,0.0,13.759,46.06,30.471,46.06,13.759,20.176,46.06,20.176,2.788,11.436,0.0,30.471,0.0,23.353,13.759,13.759,2.788
INST0150_N15_N00_D006,0.0,61.784,19.671,34.294,0.0,66.32,87.958,34.294,0.0,18.791,34.294,34.294,66.32,13.759,0.0,34.294,18.791,34.294,0.0,7.201,34.294,7.201,11.477,21.8,13.759,18.791,13.759,19.671,0.0,0.0,11.477
INST0150_N15_N00_P007,34.294,81.232,28.616,0.0,34.294,93.371,122.247,0.0,34.294,35.653,0.0,0.0,93.371,46.06,34.294,0.0,35.653,0.0,34.294,27.111,0.0,27.111,44.646,48.052,46.06,35.653,46.06,28.616,34.294,34.294,44.646
INST0150_N15_N00_D007,18.791,47.339,35.534,35.653,18.791,82.833,93.214,35.653,18.791,0.0,35.653,35.653,82.833,30.471,18.791,35.653,0.0,35.653,18.791,18.283,35.653,18.283,27.709,40.266,30.471,0.0,30.471,35.534,18.791,18.791,27.709
INST0150_N15_N00_P008,34.294,81.232,28.616,0.0,34.294,93.371,122.247,0.0,34.294,35.653,0.0,0.0,93.371,46.06,34.294,0.0,35.653,0.0,34.294,27.111,0.0,27.111,44.646,48.052,46.06,35.653,46.06,28.616,34.294,34.294,44.646
INST0150_N15_N00_D008,0.0,61.784,19.671,34.294,0.0,66.32,87.958,34.294,0.0,18.791,34.294,34.294,66.32,13.759,0.0,34.294,18.791,34.294,0.0,7.201,34.294,7.201,11.477,21.8,13.759,18.791,13.759,19.671,0.0,0.0,11.477
INST0150_N15_N00_P009,7.201,64.45,17.254,27.111,7.201,71.779,95.136,27.111,7.201,18.283,27.111,27.111,71.779,20.176,7.201,27.111,18.283,27.111,7.201,0.0,27.111,0.0,18.229,26.126,20.176,18.283,20.176,17.254,7.201,7.201,18.229
INST0150_N15_N00_D009,34.294,81.232,28.616,0.0,34.294,93.371,122.247,0.0,34.294,35.653,0.0,0.0,93.371,46.06,34.294,0.0,35.653,0.0,34.294,27.111,0.0,27.111,44.646,48.052,46.06,35.653,46.06,28.616,34.294,34.294,44.646
INST0150_N15_N00_P010,7.201,64.45,17.254,27.111,7.201,71.779,95.136,27.111,7.201,18.283,27.111,27.111,71.779,20.176,7.201,27.111,18.283,27.111,7.201,0.0,27.111,0.0,18.229,26.126,20.176,18.283,20.176,17.254,7.201,7.201,18.229
INST0150_N15_N00_D010,11.477,64.236,23.461,44.646,11.477,55.435,78.292,44.646,11.477,27.709,44.646,44.646,55.435,2.788,11.477,44.646,27.709,44.646,11.477,18.229,44.646,18.229,0.0,13.942,2.788,27.709,2.788,23.461,11.477,11.477,0.0
INST0150_N15_N00_P011,21.8,77.99,20.683,48.052,21.8,46.019,81.189,48.052,21.8,40.266,48.052,48.052,46.019,11.436,21.8,48.052,40.266,48.052,21.8,26.126,48.052,26.126,13.942,0.0,11.436,40.266,11.436,20.683,21.8,21.8,13.942
INST0150_N15_N00_D011,13.759,66.572,23.353,46.06,13.759,52.8,77.555,46.06,13.759,30.471,46.06,46.06,52.8,0.0,13.759,46.06,30.471,46.06,13.759,20.176,46.06,20.176,2.788,11.436,0.0,30.471,0.0,23.353,13.759,13.759,2.788
INST0150_N15_N00_P012,18.791,47.339,35.534,35.653,18.791,82.833,93.214,35.653,18.791,0.0,35.653,35.653,82.833,30.471,18.791,35.653,0.0,35.653,18.791,18.283,35.653,18.283,27.709,40.266,30.471,0.0,30.471,35.534,18.791,18.791,27.709
INST0150_N15_N00_D012,13.759,66.572,23.353,46.06,13.759,52.8,77.555,46.06,13.759,30.471,46.06,46.06,52.8,0.0,13.759,46.06,30.471,46.06,13.759,20.176,46.06,20.176,2.788,11.436,0.0,30.471,0.0,23.353,13.759,13.759,2.788
INST0150_N15_N00_P013,19.671,81.17,0.0,28.616,19.671,64.86,100.436,28.616,19.671,35.534,28.616,28.616,64.86,23.353,19.671,28.616,35.534,28.616,19.671,17.254,28.616,17.254,23.461,20.683,23.353,35.534,23.353,0.0,19.671,19.671,23.461
INST0150_N15_N00_D013,0.0,61.784,19.671,34.294,0.0,66.32,87.958,34.294,0.0,18.791,34.294,34.294,66.32,13.759,0.0,34.294,18.791,34.294,0.0,7.201,34.294,7.201,11.477,21.8,13.759,18.791,13.759,19.671,0.0,0.0,11.477
INST0150_N15_N00_P014,0.0,61.784,19.671,34.294,0.0,66.32,87.958,34.294,0.0,18.791,34.294,34.294,66.32,13.759,0.0,34.294,18.791,34.294,0.0,7.201,34.294,7.201,11.477,21.8,13.759,18.791,13.759,19.671,0.0,0.0,11.477
INST0150_N15_N00_D014,11.477,64.236,23.461,44.646,11.477,55.435,78.292,44.646,11.477,27.709,44.646,44.646,55.435,2.788,11.477,44.646,27.709,44.646,11.477,18.229,44.646,18.229,0.0,13.942,2.788,27.709,2.788,23.461,11.477,11.477,0.0
