,depot,INST0103_N10_W13_P000,INST0103_N10_W13_D000,INST0103_N10_W13_P001,INST0103_N10_W13_D001,INST0103_N10_W13_P002,INST0103_N10_W13_D002,INST0103_N10_W13_P003,INST0103_N10_W13_D003,INST0103_N10_W13_P004,INST0103_N10_W13_D004,INST0103_N10_W13_P005,INST0103_N10_W13_D005,INST0103_N10_W13_P006,INST0103_N10_W13_D006,INST0103_N10_W13_P007,INST0103_N10_W13_D007,INST0103_N10_W13_P008,INST0103_N10_W13_D008,INST0103_N10_W13_P009,INST0103_N10_W13_D009
depot,0.0,14.722,94.442,0.0,106.091,79.708,90.122,0.0,101.402,14.722,101.402,79.708,14.722,79.708,101.402,79.708,0.0,79.708,116.61,79.708,57.687
INST0103_N10_W13_P000,14.722,0.0,104.634,14.722,120.757,93.687,104.062,14.722,115.807,0.0,115.807,93.687,0.0,93.687,115.807,93.687,14.722,93.687,130.825,93.687,71.944
INST0103_N10_W13_D000,94.442,104.634,0.0,94.442,75.918,46.518,46.592,94.442,61.821,104.634,61.821,46.518,104.634,46.518,61.821,46.518,94.442,46.518,64.172,46.518,55.918
INST0103_N10_W13_P001,0.0,14.722,94.442,0.0,106.091,79.708,90.122,0.0,101.402,14.722,101.402,79.708,14.722,79.708,101.402,79.708,0.0,79.708,116.61,79.708,57.687
INST0103_N10_W13_D001,106.091,120.757,75.918,106.091,0.0,35.196,29.954,106.091,14.239,120.757,14.239,35.196,120.757,35.196,14.239,35.196,106.091,35.196,23.199,35.196,50.611
INST0103_N10_W13_P002,79.708,93.687,46.518,79.708,35.196,0.0,10.426,79.708,24.4,93.687,24.4,0.0,93.687,0.0,24.4,0.0,79.708,0.0,37.477,0.0,22.455
INST0103_N10_W13_D002,90.122,104.062,46.592,90.122,29.954,10.426,0.0,90.122,16.791,104.062,16.791,10.426,104.062,10.426,16.791,10.426,90.122,10.426,27.544,10.426,32.833
INST0103_N10_W13_P003,0.0,14.722,94.442,0.0,106.091,79.708,90.122,0.0,101.402,14.722,101.402,79.708,14.722,79.708,101.402,79.708,0.0,79.708,116.61,79.708,57.687
INST0103_N10_W13_D003,101.402,115.807,61.821,101.402,14.239,24.4,16.791,101.402,0.0,115.807,0.0,24.4,115.807,24.4,0.0,24.4,101.402,24.4,16.399,24.4,43.952
INST0103_N10_W13_P004,14.722,0.0,104.634,14.722,120.757,93.687,104.062,14.722,115.807,0.0,115.807,93.687,0.0,93.687,115.807,93.687,14.722,93.687,130.825,93.687,71.944
INST0103_N10_W13_D004,101.402,115.807,61.821,101.402,14.239,24.4,16.791,101.402,0.0,115.807,0.0,24.4,115.807,24.4,0.0,24.4,101.402,24.4,16.399,24.4,43.952
INST0103_N10_W13_P005,79.708,93.687,46.518,79.708,35.196,0.0,10.426,79.708,24.4,93.687,24.4,0.0,93.687,0.0,24.4,0.0,79.708,0.0,37.477,0.0,22.455
INST0103_N10_W13_D005,14.722,0.0,104.634,14.722,120.757,93.687,104.062,14.722,115.807,0.0,115.807,93.687,0.0,93.687,115.807,93.687,14.722,93.687,130.825,93.687,71.944
INST0103_N10_W13_P006,79.708,93.687,46.518,79.708,35.196,0.0,10.426,79.708,24.4,93.687,24.4,0.0,93.687,0.0,24.4,0.0,79.708,0.0,37.477,0.0,22.455
INST0103_N10_W13_D006,101.402,115.807,61.821,101.402,14.239,24.4,16.791,101.402,0.0,115.807,0.0,24.4,115.807,24.4,0.0,24.4,101.402,24.4,16.399,24.4,43.952
INST0103_N10_W13_P007,79.708,93.687,46.518,79.708,35.196,0.0,10.426,79.708,24.4,93.687,24.4,0.0,93.687,0.0,24.4,0.0,79.708,0.0,37.477,0.0,22.455
INST0103_N10_W13_D007,0.0,14.722,94.442,0.0,106.091,79.708,90.122,0.0,101.402,14.722,101.402,79.708,14.722,79.708,101.402,79.708,0.0,79.708,116.61,79.708,57.687
INST0103_N10_W13_P008,79.708,93.687,46.518,79.708,35.196,0.0,10.426,79.708,24.4,93.687,24.4,0.0,93.687,0.0,24.4,0.0,79.708,0.0,37.477,0.0,22.455
INST0103_N10_W13_D008,116.61,130.825,64.172,116.61,23.199,37.477,27.544,116.61,16.399,130.825,16.399,37.477,130.825,37.477,16.399,37.477,116.61,37.477,0.0,37.477,58.923
INST0103_N10_W13_P009,79.708,93.687,46.518,79.708,35.196,0.0,10.426,79.708,24.4,93.687,24.4,0.0,93.687,0.0,24.4,0.0,79.708,0.0,37.477,0.0,22.455
INST0103_N10_W13_D009,57.687,71.944,55.918,57.687,50.611,22.455,32.833,57.687,43.952,71.944,43.952,22.455,71.944,22.455,43.952,22.455,57.687,22.455,58.923,22.455,0.0
