,depot,INST0066_N8_N06_P000,INST0066_N8_N06_D000,INST0066_N8_N06_P001,INST0066_N8_N06_D001,INST0066_N8_N06_P002,INST0066_N8_N06_D002,INST0066_N8_N06_P003,INST0066_N8_N06_D003,INST0066_N8_N06_P004,INST0066_N8_N06_D004,INST0066_N8_N06_P005,INST0066_N8_N06_D005,INST0066_N8_N06_P006,INST0066_N8_N06_D006,INST0066_N8_N06_P007,INST0066_N8_N06_D007
depot,0.0,0.0,21.127,35.041,122.983,0.0,25.326,28.595,162.63,79.42,122.983,35.041,28.727,28.595,122.983,21.127,162.63
INST0066_N8_N06_P000,0.0,0.0,21.127,35.041,122.983,0.0,25.326,28.595,162.63,79.42,122.983,35.041,28.727,28.595,122.983,21.127,162.63
INST0066_N8_N06_D000,21.127,21.127,0.0,33.197,116.493,21.127,31.992,24.705,154.717,87.893,116.493,33.197,22.322,24.705,116.493,0.0,154.717
INST0066_N8_N06_P001,35.041,35.041,33.197,0.0,149.69,35.041,58.839,56.4,187.802,114.332,149.69,0.0,54.669,56.4,149.69,33.197,187.802
INST0066_N8_N06_D001,122.983,122.983,116.493,149.69,0.0,122.983,99.415,94.965,40.266,79.694,0.0,149.69,95.867,94.965,0.0,116.493,40.266
INST0066_N8_N06_P002,0.0,0.0,21.127,35.041,122.983,0.0,25.326,28.595,162.63,79.42,122.983,35.041,28.727,28.595,122.983,21.127,162.63
INST0066_N8_N06_D002,25.326,25.326,31.992,58.839,99.415,25.326,0.0,14.003,139.481,56.35,99.415,58.839,17.072,14.003,99.415,31.992,139.481
INST0066_N8_N06_P003,28.595,28.595,24.705,56.4,94.965,28.595,14.003,0.0,134.313,64.653,94.965,56.4,3.413,0.0,94.965,24.705,134.313
INST0066_N8_N06_D003,162.63,162.63,154.717,187.802,40.266,162.63,139.481,134.313,0.0,116.851,40.266,187.802,134.948,134.313,40.266,154.717,0.0
INST0066_N8_N06_P004,79.42,79.42,87.893,114.332,79.694,79.42,56.35,64.653,116.851,0.0,79.694,114.332,67.88,64.653,79.694,87.893,116.851
INST0066_N8_N06_D004,122.983,122.983,116.493,149.69,0.0,122.983,99.415,94.965,40.266,79.694,0.0,149.69,95.867,94.965,0.0,116.493,40.266
INST0066_N8_N06_P005,35.041,35.041,33.197,0.0,149.69,35.041,58.839,56.4,187.802,114.332,149.69,0.0,54.669,56.4,149.69,33.197,187.802
INST0066_N8_N06_D005,28.727,28.727,22.322,54.669,95.867,28.727,17.072,3.413,134.948,67.88,95.867,54.669,0.0,3.413,95.867,22.322,134.948
INST0066_N8_N06_P006,28.595,28.595,24.705,56.4,94.965,28.595,14.003,0.0,134.313,64.653,94.965,56.4,3.413,0.0,94.965,24.705,134.313
INST0066_N8_N06_D006,122.983,122.983,116.493,149.69,0.0,122.983,99.415,94.965,40.266,79.694,0.0,149.69,95.867,94.965,0.0,116.493,40.266
INST0066_N8_N06_P007,21.127,21.127,0.0,33.197,116.493,21.127,31.992,24.705,154.717,87.893,116.493,33.197,22.322,24.705,116.493,0.0,154.717
INST0066_N8_N06_D007,162.63,162.63,154.717,187.802,40.266,162.63,139.481,134.313,0.0,116.851,40.266,187.802,134.948,134.313,40.266,154.717,0.0
