,depot,INST0165_N15_N15_P000,INST0165_N15_N15_D000,INST0165_N15_N15_P001,INST0165_N15_N15_D001,INST0165_N15_N15_P002,INST0165_N15_N15_D002,INST0165_N15_N15_P003,INST0165_N15_N15_D003,INST0165_N15_N15_P004,INST0165_N15_N15_D004,INST0165_N15_N15_P005,INST0165_N15_N15_D005,INST0165_N15_N15_P006,INST0165_N15_N15_D006,INST0165_N15_N15_P007,INST0165_N15_N15_D007,INST0165_N15_N15_P008,INST0165_N15_N15_D008,INST0165_N15_N15_P009,INST0165_N15_N15_D009,INST0165_N15_N15_P010,INST0165_N15_N15_D010,INST0165_N15_N15_P011,INST0165_N15_N15_D011,INST0165_N15_N15_P012,INST0165_N15_N15_D012,INST0165_N15_N15_P013,INST0165_N15_N15_D013,INST0165_N15_N15_P014,INST0165_N15_N15_D014
depot,0.0,26.694,16.848,0.0,75.654,26.694,23.01,0.0,146.035,8.817,146.035,41.993,14.053,81.208,24.088,26.694,14.053,14.053,8.817,0.0,23.01,8.817,81.208,14.053,26.694,8.817,146.035,41.993,164.529,24.088,81.208
INST0165_N15_N15_P000,26.694,0.0,14.003,26.694,95.498,0.0,49.306,26.694,139.481,31.992,139.481,58.839,17.072,56.35,25.326,0.0,17.072,17.072,31.992,26.694,49.306,31.992,56.35,17.072,0.0,31.992,139.481,58.839,178.773,25.326,56.35
INST0165_N15_N15_D000,16.848,14.003,0.0,16.848,81.517,14.003,37.312,16.848,134.313,24.705,134.313,56.4,3.413,64.653,28.595,14.003,3.413,3.413,24.705,16.848,37.312,24.705,64.653,3.413,14.003,24.705,134.313,56.4,178.677,28.595,64.653
INST0165_N15_N15_P001,0.0,26.694,16.848,0.0,75.654,26.694,23.01,0.0,146.035,8.817,146.035,41.993,14.053,81.208,24.088,26.694,14.053,14.053,8.817,0.0,23.01,8.817,81.208,14.053,26.694,8.817,146.035,41.993,164.529,24.088,81.208
INST0165_N15_N15_D001,75.654,95.498,81.517,75.654,0.0,95.498,57.966,75.654,127.812,78.919,127.812,99.467,78.656,131.605,99.392,95.498,78.656,78.656,78.919,75.654,57.966,78.919,131.605,78.656,95.498,78.919,127.812,99.467,203.198,99.392,131.605
INST0165_N15_N15_P002,26.694,0.0,14.003,26.694,95.498,0.0,49.306,26.694,139.481,31.992,139.481,58.839,17.072,56.35,25.326,0.0,17.072,17.072,31.992,26.694,49.306,31.992,56.35,17.072,0.0,31.992,139.481,58.839,178.773,25.326,56.35
INST0165_N15_N15_D002,23.01,49.306,37.312,23.01,57.966,49.306,0.0,23.01,149.729,22.387,149.729,43.657,33.929,101.428,43.511,49.306,33.929,33.929,22.387,23.01,0.0,22.387,101.428,33.929,49.306,22.387,149.729,43.657,160.581,43.511,101.428
INST0165_N15_N15_P003,0.0,26.694,16.848,0.0,75.654,26.694,23.01,0.0,146.035,8.817,146.035,41.993,14.053,81.208,24.088,26.694,14.053,14.053,8.817,0.0,23.01,8.817,81.208,14.053,26.694,8.817,146.035,41.993,164.529,24.088,81.208
INST0165_N15_N15_D003,146.035,139.481,134.313,146.035,127.812,139.481,149.729,146.035,0.0,154.717,0.0,187.802,134.948,116.851,162.63,139.481,134.948,134.948,154.717,146.035,149.729,154.717,116.851,134.948,139.481,154.717,0.0,187.802,309.6,162.63,116.851
INST0165_N15_N15_P004,8.817,31.992,24.705,8.817,78.919,31.992,22.387,8.817,154.717,0.0,154.717,33.197,22.322,87.893,21.127,31.992,22.322,22.322,0.0,8.817,22.387,0.0,87.893,22.322,31.992,0.0,154.717,33.197,155.714,21.127,87.893
INST0165_N15_N15_D004,146.035,139.481,134.313,146.035,127.812,139.481,149.729,146.035,0.0,154.717,0.0,187.802,134.948,116.851,162.63,139.481,134.948,134.948,154.717,146.035,149.729,154.717,116.851,134.948,139.481,154.717,0.0,187.802,309.6,162.63,116.851
INST0165_N15_N15_P005,41.993,58.839,56.4,41.993,99.467,58.839,43.657,41.993,187.802,33.197,187.802,0.0,54.669,114.332,35.041,58.839,54.669,54.669,33.197,41.993,43.657,33.197,114.332,54.669,58.839,33.197,187.802,0.0,122.582,35.041,114.332
INST0165_N15_N15_D005,14.053,17.072,3.413,14.053,78.656,17.072,33.929,14.053,134.948,22.322,134.948,54.669,0.0,67.88,28.727,17.072,0.0,0.0,22.322,14.053,33.929,22.322,67.88,0.0,17.072,22.322,134.948,54.669,177.15,28.727,67.88
INST0165_N15_N15_P006,81.208,56.35,64.653,81.208,131.605,56.35,101.428,81.208,116.851,87.893,116.851,114.332,67.88,0.0,79.42,56.35,67.88,67.88,87.893,81.208,101.428,87.893,0.0,67.88,56.35,87.893,116.851,114.332,229.986,79.42,0.0
INST0165_N15_N15_D006,24.088,25.326,28.595,24.088,99.392,25.326,43.511,24.088,162.63,21.127,162.63,35.041,28.727,79.42,0.0,25.326,28.727,28.727,21.127,24.088,43.511,21.127,79.42,28.727,25.326,21.127,162.63,35.041,153.452,0.0,79.42
INST0165_N15_N15_P007,26.694,0.0,14.003,26.694,95.498,0.0,49.306,26.694,139.481,31.992,139.481,58.839,17.072,56.35,25.326,0.0,17.072,17.072,31.992,26.694,49.306,31.992,56.35,17.072,0.0,31.992,139.481,58.839,178.773,25.326,56.35
INST0165_N15_N15_D007,14.053,17.072,3.413,14.053,78.656,17.072,33.929,14.053,134.948,22.322,134.948,54.669,0.0,67.88,28.727,17.072,0.0,0.0,22.322,14.053,33.929,22.322,67.88,0.0,17.072,22.322,134.948,54.669,177.15,28.727,67.88
INST0165_N15_N15_P008,14.053,17.072,3.413,14.053,78.656,17.072,33.929,14.053,134.948,22.322,134.948,54.669,0.0,67.88,28.727,17.072,0.0,0.0,22.322,14.053,33.929,22.322,67.88,0.0,17.072,22.322,134.948,54.669,177.15,28.727,67.88
INST0165_N15_N15_D008,8.817,31.992,24.705,8.817,78.919,31.992,22.387,8.817,154.717,0.0,154.717,33.197,22.322,87.893,21.127,31.992,22.322,22.322,0.0,8.817,22.387,0.0,87.893,22.322,31.992,0.0,154.717,33.197,155.714,21.127,87.893
