,depot,INST0135_N12_N15_P000,INST0135_N12_N15_D000,INST0135_N12_N15_P001,INST0135_N12_N15_D001,INST0135_N12_N15_P002,INST0135_N12_N15_D002,INST0135_N12_N15_P003,INST0135_N12_N15_D003,INST0135_N12_N15_P004,INST0135_N12_N15_D004,INST0135_N12_N15_P005,INST0135_N12_N15_D005,INST0135_N12_N15_P006,INST0135_N12_N15_D006,INST0135_N12_N15_P007,INST0135_N12_N15_D007,INST0135_N12_N15_P008,INST0135_N12_N15_D008,INST0135_N12_N15_P009,INST0135_N12_N15_D009,INST0135_N12_N15_P010,INST0135_N12_N15_D010,INST0135_N12_N15_P011,INST0135_N12_N15_D011
depot,0.0,0.0,34.294,34.294,66.32,21.8,87.958,11.477,119.262,11.477,0.0,21.8,11.477,61.784,34.294,19.671,0.0,19.671,7.201,66.32,13.759,34.294,134.365,18.791,61.784
INST0135_N12_N15_P000,0.0,0.0,34.294,34.294,66.32,21.8,87.958,11.477,119.262,11.477,0.0,21.8,11.477,61.784,34.294,19.671,0.0,19.671,7.201,66.32,13.759,34.294,134.365,18.791,61.784
INST0135_N12_N15_D000,34.294,34.294,0.0,0.0,93.371,48.052,122.247,44.646,153.371,44.646,34.294,48.052,44.646,81.232,0.0,28.616,34.294,28.616,27.111,93.371,46.06,0.0,100.108,35.653,81.232
INST0135_N12_N15_P001,34.294,34.294,0.0,0.0,93.371,48.052,122.247,44.646,153.371,44.646,34.294,48.052,44.646,81.232,0.0,28.616,34.294,28.616,27.111,93.371,46.06,0.0,100.108,35.653,81.232
INST0135_N12_N15_D001,66.32,66.32,93.371,93.371,0.0,46.019,65.084,55.435,95.428,55.435,66.32,46.019,55.435,107.477,93.371,64.86,66.32,64.86,71.779,0.0,52.8,93.371,187.822,82.833,107.477
INST0135_N12_N15_P002,21.8,21.8,48.052,48.052,46.019,0.0,81.189,13.942,113.909,13.942,21.8,0.0,13.942,77.99,48.052,20.683,21.8,20.683,26.126,46.019,11.436,48.052,145.998,40.266,77.99
INST0135_N12_N15_D002,87.958,87.958,122.247,122.247,65.084,81.189,0.0,78.292,32.884,78.292,87.958,81.189,78.292,85.106,122.247,100.436,87.958,100.436,95.136,65.084,77.555,122.247,222.229,93.214,85.106
INST0135_N12_N15_P003,11.477,11.477,44.646,44.646,55.435,13.942,78.292,0.0,110.207,0.0,11.477,13.942,0.0,64.236,44.646,23.461,11.477,23.461,18.229,55.435,2.788,44.646,144.673,27.709,64.236
INST0135_N12_N15_D003,119.262,119.262,153.371,153.371,95.428,113.909,32.884,110.207,0.0,110.207,119.262,113.909,110.207,104.379,153.371,132.815,119.262,132.815,126.352,95.428,109.689,153.371,252.84,122.278,104.379
INST0135_N12_N15_P004,11.477,11.477,44.646,44.646,55.435,13.942,78.292,0.0,110.207,0.0,11.477,13.942,0.0,64.236,44.646,23.461,11.477,23.461,18.229,55.435,2.788,44.646,144.673,27.709,64.236
INST0135_N12_N15_D004,0.0,0.0,34.294,34.294,66.32,21.8,87.958,11.477,119.262,11.477,0.0,21.8,11.477,61.784,34.294,19.671,0.0,19.671,7.201,66.32,13.759,34.294,134.365,18.791,61.784
INST0135_N12_N15_P005,21.8,21.8,48.052,48.052,46.019,0.0,81.189,13.942,113.909,13.942,21.8,0.0,13.942,77.99,48.052,20.683,21.8,20.683,26.126,46.019,11.436,48.052,145.998,40.266,77.99
INST0135_N12_N15_D005,11.477,11.477,44.646,44.646,55.435,13.942,78.292,0.0,110.207,0.0,11.477,13.942,0.0,64.236,44.646,23.461,11.477,23.461,18.229,55.435,2.788,44.646,144.673,27.709,64.236
INST0135_N12_N15_P006,61.784,61.784,81.232,81.232,107.477,77.99,85.106,64.236,104.379,64.236,61.784,77.99,64.236,0.0,81.232,81.17,61.784,81.17,64.45,107.477,66.572,81.232,165.945,47.339,0.0
INST0135_N12_N15_D006,34.294,34.294,0.0,0.0,93.371,48.052,122.247,44.646,153.371,44.646,34.294,48.052,44.646,81.232,0.0,28.616,34.294,28.616,27.111,93.371,46.06,0.0,100.108,35.653,81.232
INST0135_N12_N15_P007,19.671,19.671,28.616,28.616,64.86,20.683,100.436,23.461,132.815,23.461,19.671,20.683,23.461,81.17,28.616,0.0,19.671,0.0,17.254,64.86,23.353,28.616,125.319,35.534,81.17
INST0135_N12_N15_D007,0.0,0.0,34.294,34.294,66.32,21.8,87.958,11.477,119.262,11.477,0.0,21.8,11.477,61.784,34.294,19.671,0.0,19.671,7.201,66.32,13.759,34.294,134.365,18.791,61.784
