,depot,INST0155_N15_S05_P000,INST0155_N15_S05_D000,INST0155_N15_S05_P001,INST0155_N15_S05_D001,INST0155_N15_S05_P002,INST0155_N15_S05_D002,INST0155_N15_S05_P003,INST0155_N15_S05_D003,INST0155_N15_S05_P004,INST0155_N15_S05_D004,INST0155_N15_S05_P005,INST0155_N15_S05_D005,INST0155_N15_S05_P006,INST0155_N15_S05_D006,INST0155_N15_S05_P007,INST0155_N15_S05_D007,INST0155_N15_S05_P008,INST0155_N15_S05_D008,INST0155_N15_S05_P009,INST0155_N15_S05_D009,INST0155_N15_S05_P010,INST0155_N15_S05_D010,INST0155_N15_S05_P011,INST0155_N15_S05_D011,INST0155_N15_S05_P012,INST0155_N15_S05_D012,INST0155_N15_S05_P013,INST0155_N15_S05_D013,INST0155_N15_S05_P014,INST0155_N15_S05_D014
depot,0.0,61.869,26.3,26.3,24.036,13.324,61.869,75.176,83.656,61.869,6.707,83.656,67.566,13.324,75.176,13.324,44.645,61.869,6.707,26.3,13.324,75.176,118.85,61.869,83.656,67.566,13.324,75.176,118.85,13.324,24.036
INST0155_N15_S05_P000,61.869,0.0,80.067,80.067,55.105,53.679,0.0,13.307,87.998,0.0,61.135,87.998,126.125,53.679,13.307,53.679,72.248,0.0,61.135,80.067,53.679,13.307,57.803,0.0,87.998,126.125,53.679,13.307,57.803,53.679,55.105
INST0155_N15_S05_D000,26.3,80.067,0.0,0.0,26.348,39.549,80.067,92.948,108.949,80.067,32.455,108.949,46.181,39.549,92.948,39.549,30.556,80.067,32.455,0.0,39.549,92.948,137.848,80.067,108.949,46.181,39.549,92.948,137.848,39.549,26.348
INST0155_N15_S05_P001,26.3,80.067,0.0,0.0,26.348,39.549,80.067,92.948,108.949,80.067,32.455,108.949,46.181,39.549,92.948,39.549,30.556,80.067,32.455,0.0,39.549,92.948,137.848,80.067,108.949,46.181,39.549,92.948,137.848,39.549,26.348
INST0155_N15_S05_D001,24.036,55.105,26.348,26.348,0.0,31.149,55.105,67.557,102.142,55.105,29.68,102.142,72.268,31.149,67.557,31.149,23.863,55.105,29.68,26.348,31.149,67.557,112.533,55.105,102.142,72.268,31.149,67.557,112.533,31.149,0.0
INST0155_N15_S05_P002,13.324,53.679,39.549,39.549,31.149,0.0,53.679,66.815,71.877,53.679,8.581,71.877,80.145,0.0,66.815,0.0,54.293,53.679,8.581,39.549,0.0,66.815,109.068,53.679,71.877,80.145,0.0,66.815,109.068,0.0,31.149
INST0155_N15_S05_D002,61.869,0.0,80.067,80.067,55.105,53.679,0.0,13.307,87.998,0.0,61.135,87.998,126.125,53.679,13.307,53.679,72.248,0.0,61.135,80.067,53.679,13.307,57.803,0.0,87.998,126.125,53.679,13.307,57.803,53.679,55.105
INST0155_N15_S05_P003,75.176,13.307,92.948,92.948,67.557,66.815,13.307,0.0,94.398,13.307,74.382,94.398,139.086,66.815,0.0,66.815,83.129,13.307,74.382,92.948,66.815,0.0,44.98,13.307,94.398,139.086,66.815,0.0,44.98,66.815,67.557
INST0155_N15_S05_D003,83.656,87.998,108.949,108.949,102.142,71.877,87.998,94.398,0.0,87.998,77.018,0.0,138.993,71.877,94.398,71.877,125.848,87.998,77.018,108.949,71.877,94.398,114.428,87.998,0.0,138.993,71.877,94.398,114.428,71.877,102.142
INST0155_N15_S05_P004,61.869,0.0,80.067,80.067,55.105,53.679,0.0,13.307,87.998,0.0,61.135,87.998,126.125,53.679,13.307,53.679,72.248,0.0,61.135,80.067,53.679,13.307,57.803,0.0,87.998,126.125,53.679,13.307,57.803,53.679,55.105
INST0155_N15_S05_D004,6.707,61.135,32.455,32.455,29.68,8.581,61.135,74.382,77.018,61.135,0.0,77.018,71.658,8.581,74.382,8.581,51.136,61.135,0.0,32.455,8.581,74.382,117.194,61.135,77.018,71.658,8.581,74.382,117.194,8.581,29.68
INST0155_N15_S05_P005,83.656,87.998,108.949,108.949,102.142,71.877,87.998,94.398,0.0,87.998,77.018,0.0,138.993,71.877,94.398,71.877,125.848,87.998,77.018,108.949,71.877,94.398,114.428,87.998,0.0,138.993,71.877,94.398,114.428,71.877,102.142
INST0155_N15_S05_D005,67.566,126.125,46.181,46.181,72.268,80.145,126.125,139.086,138.993,126.125,71.658,138.993,0.0,80.145,139.086,80.145,67.228,126.125,71.658,46.181,80.145,139.086,183.928,126.125,138.993,0.0,80.145,139.086,183.928,80.145,72.268
INST0155_N15_S05_P006,13.324,53.679,39.549,39.549,31.149,0.0,53.679,66.815,71.877,53.679,8.581,71.877,80.145,0.0,66.815,0.0,54.293,53.679,8.581,39.549,0.0,66.815,109.068,53.679,71.877,80.145,0.0,66.815,109.068,0.0,31.149
INST0155_N15_S05_D006,75.176,13.307,92.948,92.948,67.557,66.815,13.307,0.0,94.398,13.307,74.382,94.398,139.086,66.815,0.0,66.815,83.129,13.307,74.382,92.948,66.815,0.0,44.98,13.307,94.398,139.086,66.815,0.0,44.98,66.815,67.557
INST0155_N15_S05_P007,13.324,53.679,39.549,39.549,31.149,0.0,53.679,66.815,71.877,53.679,8.581,71.877,80.145,0.0,66.815,0.0,54.293,53.679,8.581,39.549,0.0,66.815,109.068,53.679,71.877,80.145,0.0,66.815,109.068,0.0,31.149
INST0155_N15_S05_D007,44.645,72.248,30.556,30.556,23.863,54.293,72.248,83.129,125.848,72.248,51.136,125.848,67.228,54.293,83.129,54.293,0.0,72.248,51.136,30.556,54.293,83.129,127.137,72.248,125.848,67.228,54.293,83.129,127.137,54.293,23.863
INST0155_N15_S05_P008,61.869,0.0,80.067,80.067,55.105,53.679,0.0,13.307,87.998,0.0,61.135,87.998,126.125,53.679,13.307,53.679,72.248,0.0,61.135,80.067,53.679,13.307,57.803,0.0,87.998,126.125,53.679,13.307,57.803,53.679,55.105
INST0155_N15_S05_D008,6.707,61.135,32.455,32.455,29.68,8.581,61.135,74.382,77.018,61.135,0.0,77.018,71.658,8.581,74.382,8.581,51.136,61.135,0.0,32.455,8.581,74.382,117.194,61.135,77.018,71.658,8.581,74.382,117.194,8.581,29.68
INST0155_N15_S05_P009,26.3,80.067,0.0,0.0,26.348,39.549,80.067,92.948,108.949,80.067,32.455,108.949,46.181,39.549,92.948,39.549,30.556,80.067,32.455,0.0,39.549,92.948,137.848,80.067,108.949,46.181,39.549,92.948,137.848,39.549,26.348
INST0155_N15_S05_D009,13.324,53.679,39.549,39.549,31.149,0.0,53.679,66.815,71.877,53.679,8.581,71.877,80.145,0.0,66.815,0.0,54.293,53.679,8.581,39.549,0.0,66.815,109.068,53.679,71.877,80.145,0.0,66.815,109.068,0.0,31.149
INST0155_N15_S05_P010,75.176,13.307,92.948,92.948,67.557,66.815,13.307,0.0,94.398,13.307,74.382,94.398,139.086,66.815,0.0,66.815,83.129,13.307,74.382,92.948,66.815,0.0,44.98,13.307,94.398,139.086,66.815,0.0,44.98,66.815,67.557
INST0155_N15_S05_D010,118.85,57.803,137.848,137.848,112.533,109.068,57.803,44.98,114.428,57.803,117.194,114.428,183.928,109.068,44.98,109.068,127.137,57.803,117.194,137.848,109.068,44.98,0.0,57.803,114.428,183.928,109.068,44.98,0.0,109.068,112.533
