,depot,INST0049_N5_W19_P000,INST0049_N5_W19_D000,INST0049_N5_W19_P001,INST0049_N5_W19_D001,INST0049_N5_W19_P002,INST0049_N5_W19_D002,INST0049_N5_W19_P003,INST0049_N5_W19_D003,INST0049_N5_W19_P004,INST0049_N5_W19_D004
depot,0.0,18.026,150.679,88.095,66.284,0.0,127.423,66.284,150.679,0.0,150.679
INST0049_N5_W19_P000,18.026,0.0,133.671,70.637,50.015,18.026,110.354,50.015,133.671,18.026,133.671
INST0049_N5_W19_D000,150.679,133.671,0.0,63.48,84.648,150.679,23.331,84.648,0.0,150.679,0.0
INST0049_N5_W19_P001,88.095,70.637,63.48,0.0,24.909,88.095,40.204,24.909,63.48,88.095,63.48
INST0049_N5_W19_D001,66.284,50.015,84.648,24.909,0.0,66.284,61.567,0.0,84.648,66.284,84.648
INST0049_N5_W19_P002,0.0,18.026,150.679,88.095,66.284,0.0,127.423,66.284,150.679,0.0,150.679
INST0049_N5_W19_D002,127.423,110.354,23.331,40.204,61.567,127.423,0.0,61.567,23.331,127.423,23.331
INST0049_N5_W19_P003,66.284,50.015,84.648,24.909,0.0,66.284,61.567,0.0,84.648,66.284,84.648
INST0049_N5_W19_D003,150.679,133.671,0.0,63.48,84.648,150.679,23.331,84.648,0.0,150.679,0.0
INST0049_N5_W19_P004,0.0,18.026,150.679,88.095,66.284,0.0,127.423,66.284,150.679,0.0,150.679
INST0049_N5_W19_D004,150.679,133.671,0.0,63.48,84.648,150.679,23.331,84.648,0.0,150.679,0.0
