,depot,INST0034_N5_W04_P000,INST0034_N5_W04_D000,INST0034_N5_W04_P001,INST0034_N5_W04_D001,INST0034_N5_W04_P002,INST0034_N5_W04_D002,INST0034_N5_W04_P003,INST0034_N5_W04_D003,INST0034_N5_W04_P004,INST0034_N5_W04_D004
depot,0.0,0.0,114.719,88.095,66.284,66.284,88.095,18.026,0.0,66.284,147.866
INST0034_N5_W04_P000,0.0,0.0,114.719,88.095,66.284,66.284,88.095,18.026,0.0,66.284,147.866
INST0034_N5_W04_D000,114.719,114.719,0.0,27.496,49.056,49.056,27.496,97.602,114.719,49.056,43.098
INST0034_N5_W04_P001,88.095,88.095,27.496,0.0,24.909,24.909,0.0,70.637,88.095,24.909,61.972
INST0034_N5_W04_D001,66.284,66.284,49.056,24.909,0.0,0.0,24.909,50.015,66.284,0.0,86.82
INST0034_N5_W04_P002,66.284,66.284,49.056,24.909,0.0,0.0,24.909,50.015,66.284,0.0,86.82
INST0034_N5_W04_D002,88.095,88.095,27.496,0.0,24.909,24.909,0.0,70.637,88.095,24.909,61.972
INST0034_N5_W04_P003,18.026,18.026,97.602,70.637,50.015,50.015,70.637,0.0,18.026,50.015,129.907
INST0034_N5_W04_D003,0.0,0.0,114.719,88.095,66.284,66.284,88.095,18.026,0.0,66.284,147.866
INST0034_N5_W04_P004,66.284,66.284,49.056,24.909,0.0,0.0,24.909,50.015,66.284,0.0,86.82
INST0034_N5_W04_D004,147.866,147.866,43.098,61.972,86.82,86.82,61.972,129.907,147.866,86.82,0.0
