,depot,INST0273_N25_N03_P000,INST0273_N25_N03_D000,INST0273_N25_N03_P001,INST0273_N25_N03_D001,INST0273_N25_N03_P002,INST0273_N25_N03_D002,INST0273_N25_N03_P003,INST0273_N25_N03_D003,INST0273_N25_N03_P004,INST0273_N25_N03_D004,INST0273_N25_N03_P005,INST0273_N25_N03_D005,INST0273_N25_N03_P006,INST0273_N25_N03_D006,INST0273_N25_N03_P007,INST0273_N25_N03_D007,INST0273_N25_N03_P008,INST0273_N25_N03_D008,INST0273_N25_N03_P009,INST0273_N25_N03_D009,INST0273_N25_N03_P010,INST0273_N25_N03_D010,INST0273_N25_N03_P011,INST0273_N25_N03_D011,INST0273_N25_N03_P012,INST0273_N25_N03_D012,INST0273_N25_N03_P013,INST0273_N25_N03_D013,INST0273_N25_N03_P014,INST0273_N25_N03_D014,INST0273_N25_N03_P015,INST0273_N25_N03_D015,INST0273_N25_N03_P016,INST0273_N25_N03_D016,INST0273_N25_N03_P017,INST0273_N25_N03_D017,INST0273_N25_N03_P018,INST0273_N25_N03_D018,INST0273_N25_N03_P019,INST0273_N25_N03_D019,INST0273_N25_N03_P020,INST0273_N25_N03_D020,INST0273_N25_N03_P021,INST0273_N25_N03_D021,INST0273_N25_N03_P022,INST0273_N25_N03_D022,INST0273_N25_N03_P023,INST0273_N25_N03_D023,INST0273_N25_N03_P024,INST0273_N25_N03_D024
depot,0.0,0.0,52.8,23.353,145.919,46.06,135.971,23.353,0.0,77.555,13.759,11.436,13.759,13.759,23.353,77.555,46.06,46.06,66.572,0.0,52.8,66.572,11.436,46.06,11.436,11.436,135.971,30.471,46.06,66.572,2.788,52.8,11.436,46.06,52.8,52.8,66.572,52.8,2.788,30.471,66.572,52.8,66.572,23.353,46.06,2.788,77.555,46.06,135.971,20.176,2.788
INST0273_N25_N03_P000,0.0,0.0,52.8,23.353,145.919,46.06,135.971,23.353,0.0,77.555,13.759,11.436,13.759,13.759,23.353,77.555,46.06,46.06,66.572,0.0,52.8,66.572,11.436,46.06,11.436,11.436,135.971,30.471,46.06,66.572,2.788,52.8,11.436,46.06,52.8,52.8,66.572,52.8,2.788,30.471,66.572,52.8,66.572,23.353,46.06,2.788,77.555,46.06,135.971,20.176,2.788
INST0273_N25_N03_D000,52.8,52.8,0.0,64.86,187.822,93.371,149.304,64.86,52.8,65.084,66.32,46.019,66.32,66.32,64.86,65.084,93.371,93.371,107.477,52.8,0.0,107.477,46.019,93.371,46.019,46.019,149.304,82.833,93.371,107.477,55.435,0.0,46.019,93.371,0.0,0.0,107.477,0.0,55.435,82.833,107.477,0.0,107.477,64.86,93.371,55.435,65.084,93.371,149.304,71.779,55.435
INST0273_N25_N03_P001,23.353,23.353,64.86,0.0,125.319,28.616,113.8,0.0,23.353,100.436,19.671,20.683,19.671,19.671,0.0,100.436,28.616,28.616,81.17,23.353,64.86,81.17,20.683,28.616,20.683,20.683,113.8,35.534,28.616,81.17,23.461,64.86,20.683,28.616,64.86,64.86,81.17,64.86,23.461,35.534,81.17,64.86,81.17,0.0,28.616,23.461,100.436,28.616,113.8,17.254,23.461
INST0273_N25_N03_D001,145.919,145.919,187.822,125.319,0.0,100.108,102.687,125.319,145.919,222.229,134.365,145.998,134.365,134.365,125.319,222.229,100.108,100.108,165.945,145.919,187.822,165.945,145.998,100.108,145.998,145.998,102.687,131.141,100.108,165.945,144.673,187.822,145.998,100.108,187.822,187.822,165.945,187.822,144.673,131.141,165.945,187.822,165.945,125.319,100.108,144.673,222.229,100.108,102.687,127.166,144.673
INST0273_N25_N03_P002,46.06,46.06,93.371,28.616,100.108,0.0,110.202,28.616,46.06,122.247,34.294,48.052,34.294,34.294,28.616,122.247,0.0,0.0,81.232,46.06,93.371,81.232,48.052,0.0,48.052,48.052,110.202,35.653,0.0,81.232,44.646,93.371,48.052,0.0,93.371,93.371,81.232,93.371,44.646,35.653,81.232,93.371,81.232,28.616,0.0,44.646,122.247,0.0,110.202,27.111,44.646
INST0273_N25_N03_D002,135.971,135.971,149.304,113.8,102.687,110.202,0.0,113.8,135.971,206.878,132.823,128.231,132.823,132.823,113.8,206.878,110.202,110.202,190.666,135.971,149.304,190.666,128.231,110.202,128.231,128.231,0.0,143.5,110.202,190.666,136.742,149.304,128.231,110.202,149.304,149.304,190.666,149.304,136.742,143.5,190.666,149.304,190.666,113.8,110.202,136.742,206.878,110.202,0.0,127.973,136.742
INST0273_N25_N03_P003,23.353,23.353,64.86,0.0,125.319,28.616,113.8,0.0,23.353,100.436,19.671,20.683,19.671,19.671,0.0,100.436,28.616,28.616,81.17,23.353,64.86,81.17,20.683,28.616,20.683,20.683,113.8,35.534,28.616,81.17,23.461,64.86,20.683,28.616,64.86,64.86,81.17,64.86,23.461,35.534,81.17,64.86,81.17,0.0,28.616,23.461,100.436,28.616,113.8,17.254,23.461
INST0273_N25_N03_D003,0.0,0.0,52.8,23.353,145.919,46.06,135.971,23.353,0.0,77.555,13.759,11.436,13.759,13.759,23.353,77.555,46.06,46.06,66.572,0.0,52.8,66.572,11.436,46.06,11.436,11.436,135.971,30.471,46.06,66.572,2.788,52.8,11.436,46.06,52.8,52.8,66.572,52.8,2.788,30.471,66.572,52.8,66.572,23.353,46.06,2.788,77.555,46.06,135.971,20.176,2.788
INST0273_N25_N03_P004,77.555,77.555,65.084,100.436,222.229,122.247,206.878,100.436,77.555,0.0,87.958,81.189,87.958,87.958,100.436,0.0,122.247,122.247,85.106,77.555,65.084,85.106,81.189,122.247,81.189,81.189,206.878,93.214,122.247,85.106,78.292,65.084,81.189,122.247,65.084,65.084,85.106,65.084,78.292,93.214,85.106,65.084,85.106,100.436,122.247,78.292,0.0,122.247,206.878,95.136,78.292
INST0273_N25_N03_D004,13.759,13.759,66.32,19.671,134.365,34.294,132.823,19.671,13.759,87.958,0.0,21.8,0.0,0.0,19.671,87.958,34.294,34.294,61.784,13.759,66.32,61.784,21.8,34.294,21.8,21.8,132.823,18.791,34.294,61.784,11.477,66.32,21.8,34.294,66.32,66.32,61.784,66.32,11.477,18.791,61.784,66.32,61.784,19.671,34.294,11.477,87.958,34.294,132.823,7.201,11.477
