,depot,INST0051_N5_N21_P000,INST0051_N5_N21_D000,INST0051_N5_N21_P001,INST0051_N5_N21_D001,INST0051_N5_N21_P002,INST0051_N5_N21_D002,INST0051_N5_N21_P003,INST0051_N5_N21_D003,INST0051_N5_N21_P004,INST0051_N5_N21_D004
depot,0.0,64.86,17.254,23.461,17.254,19.671,23.461,35.534,64.86,17.254,113.8
INST0051_N5_N21_P000,64.86,0.0,71.779,55.435,71.779,66.32,55.435,82.833,0.0,71.779,149.304
INST0051_N5_N21_D000,17.254,71.779,0.0,18.229,0.0,7.201,18.229,18.283,71.779,0.0,127.973
INST0051_N5_N21_P001,23.461,55.435,18.229,0.0,18.229,11.477,0.0,27.709,55.435,18.229,136.742
INST0051_N5_N21_D001,17.254,71.779,0.0,18.229,0.0,7.201,18.229,18.283,71.779,0.0,127.973
INST0051_N5_N21_P002,19.671,66.32,7.201,11.477,7.201,0.0,11.477,18.791,66.32,7.201,132.823
INST0051_N5_N21_D002,23.461,55.435,18.229,0.0,18.229,11.477,0.0,27.709,55.435,18.229,136.742
INST0051_N5_N21_P003,35.534,82.833,18.283,27.709,18.283,18.791,27.709,0.0,82.833,18.283,143.5
INST0051_N5_N21_D003,64.86,0.0,71.779,55.435,71.779,66.32,55.435,82.833,0.0,71.779,149.304
INST0051_N5_N21_P004,17.254,71.779,0.0,18.229,0.0,7.201,18.229,18.283,71.779,0.0,127.973
INST0051_N5_N21_D004,113.8,149.304,127.973,136.742,127.973,132.823,136.742,143.5,149.304,127.973,0.0
