,depot,INST0063_N8_N03_P000,INST0063_N8_N03_D000,INST0063_N8_N03_P001,INST0063_N8_N03_D001,INST0063_N8_N03_P002,INST0063_N8_N03_D002,INST0063_N8_N03_P003,INST0063_N8_N03_D003,INST0063_N8_N03_P004,INST0063_N8_N03_D004,INST0063_N8_N03_P005,INST0063_N8_N03_D005,INST0063_N8_N03_P006,INST0063_N8_N03_D006,INST0063_N8_N03_P007,INST0063_N8_N03_D007
depot,0.0,14.003,134.313,28.595,0.0,0.0,56.4,94.965,16.848,14.003,81.517,28.595,0.0,94.965,56.4,0.0,14.003
INST0063_N8_N03_P000,14.003,0.0,139.481,25.326,14.003,14.003,58.839,99.415,26.694,0.0,95.498,25.326,14.003,99.415,58.839,14.003,0.0
INST0063_N8_N03_D000,134.313,139.481,0.0,162.63,134.313,134.313,187.802,40.266,146.035,139.481,127.812,162.63,134.313,40.266,187.802,134.313,139.481
INST0063_N8_N03_P001,28.595,25.326,162.63,0.0,28.595,28.595,35.041,122.983,24.088,25.326,99.392,0.0,28.595,122.983,35.041,28.595,25.326
INST0063_N8_N03_D001,0.0,14.003,134.313,28.595,0.0,0.0,56.4,94.965,16.848,14.003,81.517,28.595,0.0,94.965,56.4,0.0,14.003
INST0063_N8_N03_P002,0.0,14.003,134.313,28.595,0.0,0.0,56.4,94.965,16.848,14.003,81.517,28.595,0.0,94.965,56.4,0.0,14.003
INST0063_N8_N03_D002,56.4,58.839,187.802,35.041,56.4,56.4,0.0,149.69,41.993,58.839,99.467,35.041,56.4,149.69,0.0,56.4,58.839
INST0063_N8_N03_P003,94.965,99.415,40.266,122.983,94.965,94.965,149.69,0.0,107.703,99.415,104.211,122.983,94.965,0.0,149.69,94.965,99.415
INST0063_N8_N03_D003,16.848,26.694,146.035,24.088,16.848,16.848,41.993,107.703,0.0,26.694,75.654,24.088,16.848,107.703,41.993,16.848,26.694
INST0063_N8_N03_P004,14.003,0.0,139.481,25.326,14.003,14.003,58.839,99.415,26.694,0.0,95.498,25.326,14.003,99.415,58.839,14.003,0.0
INST0063_N8_N03_D004,81.517,95.498,127.812,99.392,81.517,81.517,99.467,104.211,75.654,95.498,0.0,99.392,81.517,104.211,99.467,81.517,95.498
INST0063_N8_N03_P005,28.595,25.326,162.63,0.0,28.595,28.595,35.041,122.983,24.088,25.326,99.392,0.0,28.595,122.983,35.041,28.595,25.326
INST0063_N8_N03_D005,0.0,14.003,134.313,28.595,0.0,0.0,56.4,94.965,16.848,14.003,81.517,28.595,0.0,94.965,56.4,0.0,14.003
INST0063_N8_N03_P006,94.965,99.415,40.266,122.983,94.965,94.965,149.69,0.0,107.703,99.415,104.211,122.983,94.965,0.0,149.69,94.965,99.415
INST0063_N8_N03_D006,56.4,58.839,187.802,35.041,56.4,56.4,0.0,149.69,41.993,58.839,99.467,35.041,56.4,149.69,0.0,56.4,58.839
INST0063_N8_N03_P007,0.0,14.003,134.313,28.595,0.0,0.0,56.4,94.965,16.848,14.003,81.517,28.595,0.0,94.965,56.4,0.0,14.003
INST0063_N8_N03_D007,14.003,0.0,139.481,25.326,14.003,14.003,58.839,99.415,26.694,0.0,95.498,25.326,14.003,99.415,58.839,14.003,0.0
