,depot,INST0232_N20_W22_P000,INST0232_N20_W22_D000,INST0232_N20_W22_P001,INST0232_N20_W22_D001,INST0232_N20_W22_P002,INST0232_N20_W22_D002,INST0232_N20_W22_P003,INST0232_N20_W22_D003,INST0232_N20_W22_P004,INST0232_N20_W22_D004,INST0232_N20_W22_P005,INST0232_N20_W22_D005,INST0232_N20_W22_P006,INST0232_N20_W22_D006,INST0232_N20_W22_P007,INST0232_N20_W22_D007,INST0232_N20_W22_P008,INST0232_N20_W22_D008,INST0232_N20_W22_P009,INST0232_N20_W22_D009,INST0232_N20_W22_P010,INST0232_N20_W22_D010,INST0232_N20_W22_P011,INST0232_N20_W22_D011,INST0232_N20_W22_P012,INST0232_N20_W22_D012,INST0232_N20_W22_P013,INST0232_N20_W22_D013,INST0232_N20_W22_P014,INST0232_N20_W22_D014,INST0232_N20_W22_P015,INST0232_N20_W22_D015,INST0232_N20_W22_P016,INST0232_N20_W22_D016,INST0232_N20_W22_P017,INST0232_N20_W22_D017,INST0232_N20_W22_P018,INST0232_N20_W22_D018,INST0232_N20_W22_P019,INST0232_N20_W22_D019
depot,0.0,43.952,24.4,61.821,14.239,16.399,61.821,63.444,43.952,14.239,61.821,16.399,24.4,0.0,115.807,16.35,115.807,0.0,122.204,63.444,115.807,16.35,16.791,16.399,0.0,26.872,14.239,26.872,101.402,16.791,16.35,24.4,115.807,61.821,16.399,16.35,14.239,26.872,61.821,24.4,101.402
INST0232_N20_W22_P000,43.952,0.0,22.455,55.918,50.611,58.923,55.918,20.342,0.0,50.611,55.918,58.923,22.455,43.952,71.944,51.842,71.944,43.952,130.013,20.342,71.944,51.842,32.833,58.923,43.952,41.349,50.611,41.349,57.687,32.833,51.842,22.455,71.944,55.918,58.923,51.842,50.611,41.349,55.918,22.455,57.687
INST0232_N20_W22_D000,24.4,22.455,0.0,46.518,35.196,37.477,46.518,40.063,22.455,35.196,46.518,37.477,0.0,24.4,93.687,29.48,93.687,24.4,132.406,40.063,93.687,29.48,10.426,37.477,24.4,20.581,35.196,20.581,79.708,10.426,29.48,0.0,93.687,46.518,37.477,29.48,35.196,20.581,46.518,0.0,79.708
INST0232_N20_W22_P001,61.821,55.918,46.518,0.0,75.918,64.172,0.0,57.646,55.918,75.918,0.0,64.172,46.518,61.821,104.634,52.507,104.634,61.821,178.909,57.646,104.634,52.507,46.592,64.172,61.821,35.155,75.918,35.155,94.442,46.592,52.507,46.518,104.634,0.0,64.172,52.507,75.918,35.155,0.0,46.518,94.442
INST0232_N20_W22_D001,14.239,50.611,35.196,75.918,0.0,23.199,75.918,70.903,50.611,0.0,75.918,23.199,35.196,14.239,120.757,28.769,120.757,14.239,108.909,70.903,120.757,28.769,29.954,23.199,14.239,41.092,0.0,41.092,106.091,29.954,28.769,35.196,120.757,75.918,23.199,28.769,0.0,41.092,75.918,35.196,106.091
INST0232_N20_W22_P002,16.399,58.923,37.477,64.172,23.199,0.0,64.172,77.525,58.923,23.199,64.172,0.0,37.477,16.399,130.825,11.735,130.825,16.399,130.691,77.525,130.825,11.735,27.544,0.0,16.399,30.344,23.199,30.344,116.61,27.544,11.735,37.477,130.825,64.172,0.0,11.735,23.199,30.344,64.172,37.477,116.61
INST0232_N20_W22_D002,61.821,55.918,46.518,0.0,75.918,64.172,0.0,57.646,55.918,75.918,0.0,64.172,46.518,61.821,104.634,52.507,104.634,61.821,178.909,57.646,104.634,52.507,46.592,64.172,61.821,35.155,75.918,35.155,94.442,46.592,52.507,46.518,104.634,0.0,64.172,52.507,75.918,35.155,0.0,46.518,94.442
INST0232_N20_W22_P003,63.444,20.342,40.063,57.646,70.903,77.525,57.646,0.0,20.342,70.903,57.646,77.525,40.063,63.444,54.132,69.129,54.132,63.444,143.94,0.0,54.132,69.129,50.28,77.525,63.444,55.217,70.903,55.217,40.846,50.28,69.129,40.063,54.132,57.646,77.525,69.129,70.903,55.217,57.646,40.063,40.846
INST0232_N20_W22_D003,43.952,0.0,22.455,55.918,50.611,58.923,55.918,20.342,0.0,50.611,55.918,58.923,22.455,43.952,71.944,51.842,71.944,43.952,130.013,20.342,71.944,51.842,32.833,58.923,43.952,41.349,50.611,41.349,57.687,32.833,51.842,22.455,71.944,55.918,58.923,51.842,50.611,41.349,55.918,22.455,57.687
INST0232_N20_W22_P004,14.239,50.611,35.196,75.918,0.0,23.199,75.918,70.903,50.611,0.0,75.918,23.199,35.196,14.239,120.757,28.769,120.757,14.239,108.909,70.903,120.757,28.769,29.954,23.199,14.239,41.092,0.0,41.092,106.091,29.954,28.769,35.196,120.757,75.918,23.199,28.769,0.0,41.092,75.918,35.196,106.091
