,depot,INST0081_N8_N21_P000,INST0081_N8_N21_D000,INST0081_N8_N21_P001,INST0081_N8_N21_D001,INST0081_N8_N21_P002,INST0081_N8_N21_D002,INST0081_N8_N21_P003,INST0081_N8_N21_D003,INST0081_N8_N21_P004,INST0081_N8_N21_D004,INST0081_N8_N21_P005,INST0081_N8_N21_D005,INST0081_N8_N21_P006,INST0081_N8_N21_D006,INST0081_N8_N21_P007,INST0081_N8_N21_D007
depot,0.0,28.727,122.983,28.595,79.42,43.511,79.42,35.041,139.347,25.326,79.42,28.727,99.392,79.42,162.63,28.595,25.326
INST0081_N8_N21_P000,28.727,0.0,95.867,3.413,67.88,33.929,67.88,54.669,167.44,17.072,67.88,0.0,78.656,67.88,134.948,3.413,17.072
INST0081_N8_N21_D000,122.983,95.867,0.0,94.965,79.694,114.14,79.694,149.69,253.32,99.415,79.694,95.867,104.211,79.694,40.266,94.965,99.415
INST0081_N8_N21_P001,28.595,3.413,94.965,0.0,64.653,37.312,64.653,56.4,166.496,14.003,64.653,3.413,81.517,64.653,134.313,0.0,14.003
INST0081_N8_N21_D001,79.42,67.88,79.694,64.653,0.0,101.428,0.0,114.332,182.822,56.35,0.0,67.88,131.605,0.0,116.851,64.653,56.35
INST0081_N8_N21_P002,43.511,33.929,114.14,37.312,101.428,0.0,101.428,43.657,175.714,49.306,101.428,33.929,57.966,101.428,149.729,37.312,49.306
INST0081_N8_N21_D002,79.42,67.88,79.694,64.653,0.0,101.428,0.0,114.332,182.822,56.35,0.0,67.88,131.605,0.0,116.851,64.653,56.35
INST0081_N8_N21_P003,35.041,54.669,149.69,56.4,114.332,43.657,114.332,0.0,134.941,58.839,114.332,54.669,99.467,114.332,187.802,56.4,58.839
INST0081_N8_N21_D003,139.347,167.44,253.32,166.496,182.822,175.714,182.822,134.941,0.0,157.017,182.822,167.44,233.468,182.822,293.481,166.496,157.017
INST0081_N8_N21_P004,25.326,17.072,99.415,14.003,56.35,49.306,56.35,58.839,157.017,0.0,56.35,17.072,95.498,56.35,139.481,14.003,0.0
INST0081_N8_N21_D004,79.42,67.88,79.694,64.653,0.0,101.428,0.0,114.332,182.822,56.35,0.0,67.88,131.605,0.0,116.851,64.653,56.35
INST0081_N8_N21_P005,28.727,0.0,95.867,3.413,67.88,33.929,67.88,54.669,167.44,17.072,67.88,0.0,78.656,67.88,134.948,3.413,17.072
INST0081_N8_N21_D005,99.392,78.656,104.211,81.517,131.605,57.966,131.605,99.467,233.468,95.498,131.605,78.656,0.0,131.605,127.812,81.517,95.498
INST0081_N8_N21_P006,79.42,67.88,79.694,64.653,0.0,101.428,0.0,114.332,182.822,56.35,0.0,67.88,131.605,0.0,116.851,64.653,56.35
INST0081_N8_N21_D006,162.63,134.948,40.266,134.313,116.851,149.729,116.851,187.802,293.481,139.481,116.851,134.948,127.812,116.851,0.0,134.313,139.481
INST0081_N8_N21_P007,28.595,3.413,94.965,0.0,64.653,37.312,64.653,56.4,166.496,14.003,64.653,3.413,81.517,64.653,134.313,0.0,14.003
INST0081_N8_N21_D007,25.326,17.072,99.415,14.003,56.35,49.306,56.35,58.839,157.017,0.0,56.35,17.072,95.498,56.35,139.481,14.003,0.0
