,depot,INST0130_N12_W10_P000,INST0130_N12_W10_D000,INST0130_N12_W10_P001,INST0130_N12_W10_D001,INST0130_N12_W10_P002,INST0130_N12_W10_D002,INST0130_N12_W10_P003,INST0130_N12_W10_D003,INST0130_N12_W10_P004,INST0130_N12_W10_D004,INST0130_N12_W10_P005,INST0130_N12_W10_D005,INST0130_N12_W10_P006,INST0130_N12_W10_D006,INST0130_N12_W10_P007,INST0130_N12_W10_D007,INST0130_N12_W10_P008,INST0130_N12_W10_D008,INST0130_N12_W10_P009,INST0130_N12_W10_D009,INST0130_N12_W10_P010,INST0130_N12_W10_D010,INST0130_N12_W10_P011,INST0130_N12_W10_D011
depot,0.0,11.735,0.0,28.769,16.35,11.735,52.507,28.769,52.507,51.842,109.164,19.054,18.744,0.0,28.769,51.842,52.507,18.744,19.054,16.35,137.675,28.769,52.507,11.735,109.164
INST0130_N12_W10_P000,11.735,0.0,11.735,23.199,16.399,0.0,64.172,23.199,64.172,58.923,116.61,27.544,30.344,11.735,23.199,58.923,64.172,30.344,27.544,16.399,130.691,23.199,64.172,0.0,116.61
INST0130_N12_W10_D000,0.0,11.735,0.0,28.769,16.35,11.735,52.507,28.769,52.507,51.842,109.164,19.054,18.744,0.0,28.769,51.842,52.507,18.744,19.054,16.35,137.675,28.769,52.507,11.735,109.164
INST0130_N12_W10_P001,28.769,23.199,28.769,0.0,14.239,23.199,75.918,0.0,75.918,50.611,106.091,29.954,41.092,28.769,0.0,50.611,75.918,41.092,29.954,14.239,108.909,0.0,75.918,23.199,106.091
INST0130_N12_W10_D001,16.35,16.399,16.35,14.239,0.0,16.399,61.821,14.239,61.821,43.952,101.402,16.791,26.872,16.35,14.239,43.952,61.821,26.872,16.791,0.0,122.204,14.239,61.821,16.399,101.402
INST0130_N12_W10_P002,11.735,0.0,11.735,23.199,16.399,0.0,64.172,23.199,64.172,58.923,116.61,27.544,30.344,11.735,23.199,58.923,64.172,30.344,27.544,16.399,130.691,23.199,64.172,0.0,116.61
INST0130_N12_W10_D002,52.507,64.172,52.507,75.918,61.821,64.172,0.0,75.918,0.0,55.918,94.442,46.592,35.155,52.507,75.918,55.918,0.0,35.155,46.592,61.821,178.909,75.918,0.0,64.172,94.442
INST0130_N12_W10_P003,28.769,23.199,28.769,0.0,14.239,23.199,75.918,0.0,75.918,50.611,106.091,29.954,41.092,28.769,0.0,50.611,75.918,41.092,29.954,14.239,108.909,0.0,75.918,23.199,106.091
INST0130_N12_W10_D003,52.507,64.172,52.507,75.918,61.821,64.172,0.0,75.918,0.0,55.918,94.442,46.592,35.155,52.507,75.918,55.918,0.0,35.155,46.592,61.821,178.909,75.918,0.0,64.172,94.442
INST0130_N12_W10_P004,51.842,58.923,51.842,50.611,43.952,58.923,55.918,50.611,55.918,0.0,57.687,32.833,41.349,51.842,50.611,0.0,55.918,41.349,32.833,43.952,130.013,50.611,55.918,58.923,57.687
INST0130_N12_W10_D004,109.164,116.61,109.164,106.091,101.402,116.61,94.442,106.091,94.442,57.687,0.0,90.122,96.036,109.164,106.091,57.687,94.442,96.036,90.122,101.402,152.865,106.091,94.442,116.61,0.0
INST0130_N12_W10_P005,19.054,27.544,19.054,29.954,16.791,27.544,46.592,29.954,46.592,32.833,90.122,0.0,14.077,19.054,29.954,32.833,46.592,14.077,0.0,16.791,133.597,29.954,46.592,27.544,90.122
INST0130_N12_W10_D005,18.744,30.344,18.744,41.092,26.872,30.344,35.155,41.092,35.155,41.349,96.036,14.077,0.0,18.744,41.092,41.349,35.155,0.0,14.077,26.872,147.26,41.092,35.155,30.344,96.036
INST0130_N12_W10_P006,0.0,11.735,0.0,28.769,16.35,11.735,52.507,28.769,52.507,51.842,109.164,19.054,18.744,0.0,28.769,51.842,52.507,18.744,19.054,16.35,137.675,28.769,52.507,11.735,109.164
INST0130_N12_W10_D006,28.769,23.199,28.769,0.0,14.239,23.199,75.918,0.0,75.918,50.611,106.091,29.954,41.092,28.769,0.0,50.611,75.918,41.092,29.954,14.239,108.909,0.0,75.918,23.199,106.091
INST0130_N12_W10_P007,51.842,58.923,51.842,50.611,43.952,58.923,55.918,50.611,55.918,0.0,57.687,32.833,41.349,51.842,50.611,0.0,55.918,41.349,32.833,43.952,130.013,50.611,55.918,58.923,57.687
INST0130_N12_W10_D007,52.507,64.172,52.507,75.918,61.821,64.172,0.0,75.918,0.0,55.918,94.442,46.592,35.155,52.507,75.918,55.918,0.0,35.155,46.592,61.821,178.909,75.918,0.0,64.172,94.442
INST0130_N12_W10_P008,18.744,30.344,18.744,41.092,26.872,30.344,35.155,41.092,35.155,41.349,96.036,14.077,0.0,18.744,41.092,41.349,35.155,0.0,14.077,26.872,147.26,41.092,35.155,30.344,96.036
INST0130_N12_W10_D008,19.054,27.544,19.054,29.954,16.791,27.544,46.592,29.954,46.592,32.833,90.122,0.0,14.077,19.054,29.954,32.833,46.592,14.077,0.0,16.791,133.597,29.954,46.592,27.544,90.122
INST0130_N12_W10_P009,16.35,16.399,16.35,14.239,0.0,16.399,61.821,14.239,61.821,43.952,101.402,16.791,26.872,16.35,14.239,43.952,61.821,26.872,16.791,0.0,122.204,14.239,61.821,16.399,101.402
INST0130_N12_W10_D009,137.675,130.691,137.675,108.909,122.204,130.691,178.909,108.909,178.909,130.013,152.865,133.597,147.26,137.675,108.909,130.013,178.909,147.26,133.597,122.204,0.0,108.909,178.909,130.691,152.865
INST0130_N12_W10_P010,28.769,23.199,28.769,0.0,14.239,23.199,75.918,0.0,75.918,50.611,106.091,29.954,41.092,28.769,0.0,50.611,75.918,41.092,29.954,14.239,108.909,0.0,75.918,23.199,106.091
INST0130_N12_W10_D010,52.507,64.172,52.507,75.918,61.821,64.172,0.0,75.918,0.0,55.918,94.442,46.592,35.155,52.507,75.918,55.918,0.0,35.155,46.592,61.821,178.909,75.918,0.0,64.172,94.442
INST0130_N12_W10_P011,11.735,0.0,11.735,23.199,16.399,0.0,64.172,23.199,64.172,58.923,116.61,27.544,30.344,11.735,23.199,58.923,64.172,30.344,27.544,16.399,130.691,23.199,64.172,0.0,116.61
INST0130_N12_W10_D011,109.164,116.61,109.164,106.091,101.402,116.61,94.442,106.091,94.442,57.687,0.0,90.122,96.036,109.164,106.091,57.687,94.442,96.036,90.122,101.402,152.865,106.091,94.442,116.61,0.0
