,depot,INST0157_N15_W07_P000,INST0157_N15_W07_D000,INST0157_N15_W07_P001,INST0157_N15_W07_D001,INST0157_N15_W07_P002,INST0157_N15_W07_D002,INST0157_N15_W07_P003,INST0157_N15_W07_D003,INST0157_N15_W07_P004,INST0157_N15_W07_D004,INST0157_N15_W07_P005,INST0157_N15_W07_D005,INST0157_N15_W07_P006,INST0157_N15_W07_D006,INST0157_N15_W07_P007,INST0157_N15_W07_D007,INST0157_N15_W07_P008,INST0157_N15_W07_D008,INST0157_N15_W07_P009,INST0157_N15_W07_D009,INST0157_N15_W07_P010,INST0157_N15_W07_D010,INST0157_N15_W07_P011,INST0157_N15_W07_D011,INST0157_N15_W07_P012,INST0157_N15_W07_D012,INST0157_N15_W07_P013,INST0157_N15_W07_D013,INST0157_N15_W07_P014,INST0157_N15_W07_D014
depot,0.0,61.821,0.0,63.444,101.402,61.821,16.399,63.444,24.4,26.872,61.821,16.791,63.444,43.952,14.239,43.952,101.402,43.952,115.807,26.872,14.239,43.952,24.4,43.952,16.791,24.4,101.402,26.872,24.4,16.399,43.952
INST0157_N15_W07_P000,61.821,0.0,61.821,57.646,94.442,0.0,64.172,57.646,46.518,35.155,0.0,46.592,57.646,55.918,75.918,55.918,94.442,55.918,104.634,35.155,75.918,55.918,46.518,55.918,46.592,46.518,94.442,35.155,46.518,64.172,55.918
INST0157_N15_W07_D000,0.0,61.821,0.0,63.444,101.402,61.821,16.399,63.444,24.4,26.872,61.821,16.791,63.444,43.952,14.239,43.952,101.402,43.952,115.807,26.872,14.239,43.952,24.4,43.952,16.791,24.4,101.402,26.872,24.4,16.399,43.952
INST0157_N15_W07_P001,63.444,57.646,63.444,0.0,40.846,57.646,77.525,0.0,40.063,55.217,57.646,50.28,0.0,20.342,70.903,20.342,40.846,20.342,54.132,55.217,70.903,20.342,40.063,20.342,50.28,40.063,40.846,55.217,40.063,77.525,20.342
INST0157_N15_W07_D001,101.402,94.442,101.402,40.846,0.0,94.442,116.61,40.846,79.708,96.036,94.442,90.122,40.846,57.687,106.091,57.687,0.0,57.687,14.722,96.036,106.091,57.687,79.708,57.687,90.122,79.708,0.0,96.036,79.708,116.61,57.687
INST0157_N15_W07_P002,61.821,0.0,61.821,57.646,94.442,0.0,64.172,57.646,46.518,35.155,0.0,46.592,57.646,55.918,75.918,55.918,94.442,55.918,104.634,35.155,75.918,55.918,46.518,55.918,46.592,46.518,94.442,35.155,46.518,64.172,55.918
INST0157_N15_W07_D002,16.399,64.172,16.399,77.525,116.61,64.172,0.0,77.525,37.477,30.344,64.172,27.544,77.525,58.923,23.199,58.923,116.61,58.923,130.825,30.344,23.199,58.923,37.477,58.923,27.544,37.477,116.61,30.344,37.477,0.0,58.923
INST0157_N15_W07_P003,63.444,57.646,63.444,0.0,40.846,57.646,77.525,0.0,40.063,55.217,57.646,50.28,0.0,20.342,70.903,20.342,40.846,20.342,54.132,55.217,70.903,20.342,40.063,20.342,50.28,40.063,40.846,55.217,40.063,77.525,20.342
INST0157_N15_W07_D003,24.4,46.518,24.4,40.063,79.708,46.518,37.477,40.063,0.0,20.581,46.518,10.426,40.063,22.455,35.196,22.455,79.708,22.455,93.687,20.581,35.196,22.455,0.0,22.455,10.426,0.0,79.708,20.581,0.0,37.477,22.455
INST0157_N15_W07_P004,26.872,35.155,26.872,55.217,96.036,35.155,30.344,55.217,20.581,0.0,35.155,14.077,55.217,41.349,41.092,41.349,96.036,41.349,109.245,0.0,41.092,41.349,20.581,41.349,14.077,20.581,96.036,0.0,20.581,30.344,41.349
INST0157_N15_W07_D004,61.821,0.0,61.821,57.646,94.442,0.0,64.172,57.646,46.518,35.155,0.0,46.592,57.646,55.918,75.918,55.918,94.442,55.918,104.634,35.155,75.918,55.918,46.518,55.918,46.592,46.518,94.442,35.155,46.518,64.172,55.918
INST0157_N15_W07_P005,16.791,46.592,16.791,50.28,90.122,46.592,27.544,50.28,10.426,14.077,46.592,0.0,50.28,32.833,29.954,32.833,90.122,32.833,104.062,14.077,29.954,32.833,10.426,32.833,0.0,10.426,90.122,14.077,10.426,27.544,32.833
INST0157_N15_W07_D005,63.444,57.646,63.444,0.0,40.846,57.646,77.525,0.0,40.063,55.217,57.646,50.28,0.0,20.342,70.903,20.342,40.846,20.342,54.132,55.217,70.903,20.342,40.063,20.342,50.28,40.063,40.846,55.217,40.063,77.525,20.342
INST0157_N15_W07_P006,43.952,55.918,43.952,20.342,57.687,55.918,58.923,20.342,22.455,41.349,55.918,32.833,20.342,0.0,50.611,0.0,57.687,0.0,71.944,41.349,50.611,0.0,22.455,0.0,32.833,22.455,57.687,41.349,22.455,58.923,0.0
INST0157_N15_W07_D006,14.239,75.918,14.239,70.903,106.091,75.918,23.199,70.903,35.196,41.092,75.918,29.954,70.903,50.611,0.0,50.611,106.091,50.611,120.757,41.092,0.0,50.611,35.196,50.611,29.954,35.196,106.091,41.092,35.196,23.199,50.611
INST0157_N15_W07_P007,43.952,55.918,43.952,20.342,57.687,55.918,58.923,20.342,22.455,41.349,55.918,32.833,20.342,0.0,50.611,0.0,57.687,0.0,71.944,41.349,50.611,0.0,22.455,0.0,32.833,22.455,57.687,41.349,22.455,58.923,0.0
INST0157_N15_W07_D007,101.402,94.442,101.402,40.846,0.0,94.442,116.61,40.846,79.708,96.036,94.442,90.122,40.846,57.687,106.091,57.687,0.0,57.687,14.722,96.036,106.091,57.687,79.708,57.687,90.122,79.708,0.0,96.036,79.708,116.61,57.687
INST0157_N15_W07_P008,43.952,55.918,43.952,20.342,57.687,55.918,58.923,20.342,22.455,41.349,55.918,32.833,20.342,0.0,50.611,0.0,57.687,0.0,71.944,41.349,50.611,0.0,22.455,0.0,32.833,22.455,57.687,41.349,22.455,58.923,0.0
INST0157_N15_W07_D008,115.807,104.634,115.807,54.132,14.722,104.634,130.825,54.132,93.687,109.245,104.634,104.062,54.132,71.944,120.757,71.944,14.722,71.944,0.0,109.245,120.757,71.944,93.687,71.944,104.062,93.687,14.722,109.245,93.687,130.825,71.944
INST0157_N15_W07_P009,26.872,35.155,26.872,55.217,96.036,35.155,30.344,55.217,20.581,0.0,35.155,14.077,55.217,41.349,41.092,41.349,96.036,41.349,109.245,0.0,41.092,41.349,20.581,41.349,14.077,20.581,96.036,0.0,20.581,30.344,41.349
INST0157_N15_W07_D009,14.239,75.918,14.239,70.903,106.091,75.918,23.199,70.903,35.196,41.092,75.918,29.954,70.903,50.611,0.0,50.611,106.091,50.611,120.757,41.092,0.0,50.611,35.196,50.611,29.954,35.196,106.091,41.092,35.196,23.199,50.611
INST0157_N15_W07_P010,43.952,55.918,43.952,20.342,57.687,55.918,58.923,20.342,22.455,41.349,55.918,32.833,20.342,0.0,50.611,0.0,57.687,0.0,71.944,41.349,50.611,0.0,22.455,0.0,32.833,22.455,57.687,41.349,22.455,58.923,0.0
INST0157_N15_W07_D010,24.4,46.518,24.4,40.063,79.708,46.518,37.477,40.063,0.0,20.581,46.518,10.426,40.063,22.455,35.196,22.455,79.708,22.455,93.687,20.581,35.196,22.455,0.0,22.455,10.426,0.0,79.708,20.581,0.0,37.477,22.455
INST0157_N15_W07_P011,43.952,55.918,43.952,20.342,57.687,55.918,58.923,20.342,22.455,41.349,55.918,32.833,20.342,0.0,50.611,0.0,57.687,0.0,71.944,41.349,50.611,0.0,22.455,0.0,32.833,22.455,57.687,41.349,22.455,58.923,0.0
INST0157_N15_W07_D011,16.791,46.592,16.791,50.28,90.122,46.592,27.544,50.28,10.426,14.077,46.592,0.0,50.28,32.833,29.954,32.833,90.122,32.833,104.062,14.077,29.954,32.833,10.426,32.833,0.0,10.426,90.122,14.077,10.426,27.544,32.833
INST0157_N15_W07_P012,24.4,46.518,24.4,40.063,79.708,46.518,37.477,40.063,0.0,20.581,46.518,10.426,40.063,22.455,35.196,22.455,79.708,22.455,93.687,20.581,35.196,22.455,0.0,22.455,10.426,0.0,79.708,20.581,0.0,37.477,22.455
INST0157_N15_W07_D012,101.402,94.442,101.402,40.846,0.0,94.442,116.61,40.846,79.708,96.036,94.442,90.122,40.846,57.687,106.091,57.687,0.0,57.687,14.722,96.036,106.091,57.687,79.708,57.687,90.122,79.708,0.0,96.036,79.708,116.61,57.687
INST0157_N15_W07_P013,26.872,35.155,26.872,55.217,96.036,35.155,30.344,55.217,20.581,0.0,35.155,14.077,55.217,41.349,41.092,41.349,96.036,41.349,109.245,0.0,41.092,41.349,20.581,41.349,14.077,20.581,96.036,0.0,20.581,30.344,41.349
INST0157_N15_W07_D013,24.4,46.518,24.4,40.063,79.708,46.518,37.477,40.063,0.0,20.581,46.518,10.426,40.063,22.455,35.196,22.455,79.708,22.455,93.687,20.581,35.196,22.455,0.0,22.455,10.426,0.0,79.708,20.581,0.0,37.477,22.455
INST0157_N15_W07_P014,16.399,64.172,16.399,77.525,116.61,64.172,0.0,77.525,37.477,30.344,64.172,27.544,77.525,58.923,23.199,58.923,116.61,58.923,130.825,30.344,23.199,58.923,37.477,58.923,27.544,37.477,116.61,30.344,37.477,0.0,58.923
INST0157_N15_W07_D014,43.952,55.918,43.952,20.342,57.687,55.918,58.923,20.342,22.455,41.349,55.918,32.833,20.342,0.0,50.611,0.0,57.687,0.0,71.944,41.349,50.611,0.0,22.455,0.0,32.833,22.455,57.687,41.349,22.455,58.923,0.0
