,depot,INST0269_N22_S29_P000,INST0269_N22_S29_D000,INST0269_N22_S29_P001,INST0269_N22_S29_D001,INST0269_N22_S29_P002,INST0269_N22_S29_D002,INST0269_N22_S29_P003,INST0269_N22_S29_D003,INST0269_N22_S29_P004,INST0269_N22_S29_D004,INST0269_N22_S29_P005,INST0269_N22_S29_D005,INST0269_N22_S29_P006,INST0269_N22_S29_D006,INST0269_N22_S29_P007,INST0269_N22_S29_D007,INST0269_N22_S29_P008,INST0269_N22_S29_D008,INST0269_N22_S29_P009,INST0269_N22_S29_D009,INST0269_N22_S29_P010,INST0269_N22_S29_D010,INST0269_N22_S29_P011,INST0269_N22_S29_D011,INST0269_N22_S29_P012,INST0269_N22_S29_D012,INST0269_N22_S29_P013,INST0269_N22_S29_D013,INST0269_N22_S29_P014,INST0269_N22_S29_D014,INST0269_N22_S29_P015,INST0269_N22_S29_D015,INST0269_N22_S29_P016,INST0269_N22_S29_D016,INST0269_N22_S29_P017,INST0269_N22_S29_D017,INST0269_N22_S29_P018,INST0269_N22_S29_D018,INST0269_N22_S29_P019,INST0269_N22_S29_D019,INST0269_N22_S29_P020,INST0269_N22_S29_D020,INST0269_N22_S29_P021,INST0269_N22_S29_D021
depot,0.0,53.679,109.068,39.549,66.815,0.0,13.324,39.549,109.068,13.324,71.877,54.293,66.815,0.0,66.815,39.549,13.324,54.293,71.877,8.581,39.549,0.0,109.068,31.149,53.679,8.581,39.549,53.679,13.324,54.293,13.324,13.324,109.068,31.149,66.815,31.149,54.293,13.324,109.068,71.877,54.293,31.149,71.877,53.679,13.324
INST0269_N22_S29_P000,53.679,0.0,57.803,80.067,13.307,53.679,61.869,80.067,57.803,61.869,87.998,72.248,13.307,53.679,13.307,80.067,61.869,72.248,87.998,61.135,80.067,53.679,57.803,55.105,0.0,61.135,80.067,0.0,61.869,72.248,61.869,61.869,57.803,55.105,13.307,55.105,72.248,61.869,57.803,87.998,72.248,55.105,87.998,0.0,61.869
INST0269_N22_S29_D000,109.068,57.803,0.0,137.848,44.98,109.068,118.85,137.848,0.0,118.85,114.428,127.137,44.98,109.068,44.98,137.848,118.85,127.137,114.428,117.194,137.848,109.068,0.0,112.533,57.803,117.194,137.848,57.803,118.85,127.137,118.85,118.85,0.0,112.533,44.98,112.533,127.137,118.85,0.0,114.428,127.137,112.533,114.428,57.803,118.85
INST0269_N22_S29_P001,39.549,80.067,137.848,0.0,92.948,39.549,26.3,0.0,137.848,26.3,108.949,30.556,92.948,39.549,92.948,0.0,26.3,30.556,108.949,32.455,0.0,39.549,137.848,26.348,80.067,32.455,0.0,80.067,26.3,30.556,26.3,26.3,137.848,26.348,92.948,26.348,30.556,26.3,137.848,108.949,30.556,26.348,108.949,80.067,26.3
INST0269_N22_S29_D001,66.815,13.307,44.98,92.948,0.0,66.815,75.176,92.948,44.98,75.176,94.398,83.129,0.0,66.815,0.0,92.948,75.176,83.129,94.398,74.382,92.948,66.815,44.98,67.557,13.307,74.382,92.948,13.307,75.176,83.129,75.176,75.176,44.98,67.557,0.0,67.557,83.129,75.176,44.98,94.398,83.129,67.557,94.398,13.307,75.176
INST0269_N22_S29_P002,0.0,53.679,109.068,39.549,66.815,0.0,13.324,39.549,109.068,13.324,71.877,54.293,66.815,0.0,66.815,39.549,13.324,54.293,71.877,8.581,39.549,0.0,109.068,31.149,53.679,8.581,39.549,53.679,13.324,54.293,13.324,13.324,109.068,31.149,66.815,31.149,54.293,13.324,109.068,71.877,54.293,31.149,71.877,53.679,13.324
INST0269_N22_S29_D002,13.324,61.869,118.85,26.3,75.176,13.324,0.0,26.3,118.85,0.0,83.656,44.645,75.176,13.324,75.176,26.3,0.0,44.645,83.656,6.707,26.3,13.324,118.85,24.036,61.869,6.707,26.3,61.869,0.0,44.645,0.0,0.0,118.85,24.036,75.176,24.036,44.645,0.0,118.85,83.656,44.645,24.036,83.656,61.869,0.0
INST0269_N22_S29_P003,39.549,80.067,137.848,0.0,92.948,39.549,26.3,0.0,137.848,26.3,108.949,30.556,92.948,39.549,92.948,0.0,26.3,30.556,108.949,32.455,0.0,39.549,137.848,26.348,80.067,32.455,0.0,80.067,26.3,30.556,26.3,26.3,137.848,26.348,92.948,26.348,30.556,26.3,137.848,108.949,30.556,26.348,108.949,80.067,26.3
INST0269_N22_S29_D003,109.068,57.803,0.0,137.848,44.98,109.068,118.85,137.848,0.0,118.85,114.428,127.137,44.98,109.068,44.98,137.848,118.85,127.137,114.428,117.194,137.848,109.068,0.0,112.533,57.803,117.194,137.848,57.803,118.85,127.137,118.85,118.85,0.0,112.533,44.98,112.533,127.137,118.85,0.0,114.428,127.137,112.533,114.428,57.803,118.85
INST0269_N22_S29_P004,13.324,61.869,118.85,26.3,75.176,13.324,0.0,26.3,118.85,0.0,83.656,44.645,75.176,13.324,75.176,26.3,0.0,44.645,83.656,6.707,26.3,13.324,118.85,24.036,61.869,6.707,26.3,61.869,0.0,44.645,0.0,0.0,118.85,24.036,75.176,24.036,44.645,0.0,118.85,83.656,44.645,24.036,83.656,61.869,0.0
