,depot,INST0195_N18_N15_P000,INST0195_N18_N15_D000,INST0195_N18_N15_P001,INST0195_N18_N15_D001,INST0195_N18_N15_P002,INST0195_N18_N15_D002,INST0195_N18_N15_P003,INST0195_N18_N15_D003,INST0195_N18_N15_P004,INST0195_N18_N15_D004,INST0195_N18_N15_P005,INST0195_N18_N15_D005,INST0195_N18_N15_P006,INST0195_N18_N15_D006,INST0195_N18_N15_P007,INST0195_N18_N15_D007,INST0195_N18_N15_P008,INST0195_N18_N15_D008,INST0195_N18_N15_P009,INST0195_N18_N15_D009,INST0195_N18_N15_P010,INST0195_N18_N15_D010,INST0195_N18_N15_P011,INST0195_N18_N15_D011,INST0195_N18_N15_P012,INST0195_N18_N15_D012,INST0195_N18_N15_P013,INST0195_N18_N15_D013,INST0195_N18_N15_P014,INST0195_N18_N15_D014,INST0195_N18_N15_P015,INST0195_N18_N15_D015,INST0195_N18_N15_P016,INST0195_N18_N15_D016,INST0195_N18_N15_P017,INST0195_N18_N15_D017
depot,0.0,34.294,61.784,13.759,87.958,21.8,132.823,0.0,11.477,34.294,61.784,61.784,19.671,18.791,119.262,34.294,19.671,21.8,7.201,0.0,34.294,11.477,0.0,13.759,34.294,66.32,19.671,21.8,18.791,7.201,134.365,0.0,87.958,61.784,21.8,18.791,13.759
INST0195_N18_N15_P000,34.294,0.0,81.232,46.06,122.247,48.052,110.202,34.294,44.646,0.0,81.232,81.232,28.616,35.653,153.371,0.0,28.616,48.052,27.111,34.294,0.0,44.646,34.294,46.06,0.0,93.371,28.616,48.052,35.653,27.111,100.108,34.294,122.247,81.232,48.052,35.653,46.06
INST0195_N18_N15_D000,61.784,81.232,0.0,66.572,85.106,77.99,190.666,61.784,64.236,81.232,0.0,0.0,81.17,47.339,104.379,81.232,81.17,77.99,64.45,61.784,81.232,64.236,61.784,66.572,81.232,107.477,81.17,77.99,47.339,64.45,165.945,61.784,85.106,0.0,77.99,47.339,66.572
INST0195_N18_N15_P001,13.759,46.06,66.572,0.0,77.555,11.436,135.971,13.759,2.788,46.06,66.572,66.572,23.353,30.471,109.689,46.06,23.353,11.436,20.176,13.759,46.06,2.788,13.759,0.0,46.06,52.8,23.353,11.436,30.471,20.176,145.919,13.759,77.555,66.572,11.436,30.471,0.0
INST0195_N18_N15_D001,87.958,122.247,85.106,77.555,0.0,81.189,206.878,87.958,78.292,122.247,85.106,85.106,100.436,93.214,32.884,122.247,100.436,81.189,95.136,87.958,122.247,78.292,87.958,77.555,122.247,65.084,100.436,81.189,93.214,95.136,222.229,87.958,0.0,85.106,81.189,93.214,77.555
INST0195_N18_N15_P002,21.8,48.052,77.99,11.436,81.189,0.0,128.231,21.8,13.942,48.052,77.99,77.99,20.683,40.266,113.909,48.052,20.683,0.0,26.126,21.8,48.052,13.942,21.8,11.436,48.052,46.019,20.683,0.0,40.266,26.126,145.998,21.8,81.189,77.99,0.0,40.266,11.436
INST0195_N18_N15_D002,132.823,110.202,190.666,135.971,206.878,128.231,0.0,132.823,136.742,110.202,190.666,190.666,113.8,143.5,239.676,110.202,113.8,128.231,127.973,132.823,110.202,136.742,132.823,135.971,110.202,149.304,113.8,128.231,143.5,127.973,102.687,132.823,206.878,190.666,128.231,143.5,135.971
INST0195_N18_N15_P003,0.0,34.294,61.784,13.759,87.958,21.8,132.823,0.0,11.477,34.294,61.784,61.784,19.671,18.791,119.262,34.294,19.671,21.8,7.201,0.0,34.294,11.477,0.0,13.759,34.294,66.32,19.671,21.8,18.791,7.201,134.365,0.0,87.958,61.784,21.8,18.791,13.759
INST0195_N18_N15_D003,11.477,44.646,64.236,2.788,78.292,13.942,136.742,11.477,0.0,44.646,64.236,64.236,23.461,27.709,110.207,44.646,23.461,13.942,18.229,11.477,44.646,0.0,11.477,2.788,44.646,55.435,23.461,13.942,27.709,18.229,144.673,11.477,78.292,64.236,13.942,27.709,2.788
INST0195_N18_N15_P004,34.294,0.0,81.232,46.06,122.247,48.052,110.202,34.294,44.646,0.0,81.232,81.232,28.616,35.653,153.371,0.0,28.616,48.052,27.111,34.294,0.0,44.646,34.294,46.06,0.0,93.371,28.616,48.052,35.653,27.111,100.108,34.294,122.247,81.232,48.052,35.653,46.06
INST0195_N18_N15_D004,61.784,81.232,0.0,66.572,85.106,77.99,190.666,61.784,64.236,81.232,0.0,0.0,81.17,47.339,104.379,81.232,81.17,77.99,64.45,61.784,81.232,64.236,61.784,66.572,81.232,107.477,81.17,77.99,47.339,64.45,165.945,61.784,85.106,0.0,77.99,47.339,66.572
INST0195_N18_N15_P005,61.784,81.232,0.0,66.572,85.106,77.99,190.666,61.784,64.236,81.232,0.0,0.0,81.17,47.339,104.379,81.232,81.17,77.99,64.45,61.784,81.232,64.236,61.784,66.572,81.232,107.477,81.17,77.99,47.339,64.45,165.945,61.784,85.106,0.0,77.99,47.339,66.572
INST0195_N18_N15_D005,19.671,28.616,81.17,23.353,100.436,20.683,113.8,19.671,23.461,28.616,81.17,81.17,0.0,35.534,132.815,28.616,0.0,20.683,17.254,19.671,28.616,23.461,19.671,23.353,28.616,64.86,0.0,20.683,35.534,17.254,125.319,19.671,100.436,81.17,20.683,35.534,23.353
INST0195_N18_N15_P006,18.791,35.653,47.339,30.471,93.214,40.266,143.5,18.791,27.709,35.653,47.339,47.339,35.534,0.0,122.278,35.653,35.534,40.266,18.283,18.791,35.653,27.709,18.791,30.471,35.653,82.833,35.534,40.266,0.0,18.283,131.141,18.791,93.214,47.339,40.266,0.0,30.471
INST0195_N18_N15_D006,119.262,153.371,104.379,109.689,32.884,113.909,239.676,119.262,110.207,153.371,104.379,104.379,132.815,122.278,0.0,153.371,132.815,113.909,126.352,119.262,153.371,110.207,119.262,109.689,153.371,95.428,132.815,113.909,122.278,126.352,252.84,119.262,32.884,104.379,113.909,122.278,109.689
INST0195_N18_N15_P007,34.294,0.0,81.232,46.06,122.247,48.052,110.202,34.294,44.646,0.0,81.232,81.232,28.616,35.653,153.371,0.0,28.616,48.052,27.111,34.294,0.0,44.646,34.294,46.06,0.0,93.371,28.616,48.052,35.653,27.111,100.108,34.294,122.247,81.232,48.052,35.653,46.06
INST0195_N18_N15_D007,19.671,28.616,81.17,23.353,100.436,20.683,113.8,19.671,23.461,28.616,81.17,81.17,0.0,35.534,132.815,28.616,0.0,20.683,17.254,19.671,28.616,23.461,19.671,23.353,28.616,64.86,0.0,20.683,35.534,17.254,125.319,19.671,100.436,81.17,20.683,35.534,23.353
INST0195_N18_N15_P008,21.8,48.052,77.99,11.436,81.189,0.0,128.231,21.8,13.942,48.052,77.99,77.99,20.683,40.266,113.909,48.052,20.683,0.0,26.126,21.8,48.052,13.942,21.8,11.436,48.052,46.019,20.683,0.0,40.266,26.126,145.998,21.8,81.189,77.99,0.0,40.266,11.436
INST0195_N18_N15_D008,7.201,27.111,64.45,20.176,95.136,26.126,127.973,7.201,18.229,27.111,64.45,64.45,17.254,18.283,126.352,27.111,17.254,26.126,0.0,7.201,27.111,18.229,7.201,20.176,27.111,71.779,17.254,26.126,18.283,0.0,127.166,7.201,95.136,64.45,26.126,18.283,20.176
INST0195_N18_N15_P009,0.0,34.294,61.784,13.759,87.958,21.8,132.823,0.0,11.477,34.294,61.784,61.784,19.671,18.791,119.262,34.294,19.671,21.8,7.201,0.0,34.294,11.477,0.0,13.759,34.294,66.32,19.671,21.8,18.791,7.201,134.365,0.0,87.958,61.784,21.8,18.791,13.759
INST0195_N18_N15_D009,34.294,0.0,81.232,46.06,122.247,48.052,110.202,34.294,44.646,0.0,81.232,81.232,28.616,35.653,153.371,0.0,28.616,48.052,27.111,34.294,0.0,44.646,34.294,46.06,0.0,93.371,28.616,48.052,35.653,27.111,100.108,34.294,122.247,81.232,48.052,35.653,46.06
INST0195_N18_N15_P010,11.477,44.646,64.236,2.788,78.292,13.942,136.742,11.477,0.0,44.646,64.236,64.236,23.461,27.709,110.207,44.646,23.461,13.942,18.229,11.477,44.646,0.0,11.477,2.788,44.646,55.435,23.461,13.942,27.709,18.229,144.673,11.477,78.292,64.236,13.942,27.709,2.788
INST0195_N18_N15_D010,0.0,34.294,61.784,13.759,87.958,21.8,132.823,0.0,11.477,34.294,61.784,61.784,19.671,18.791,119.262,34.294,19.671,21.8,7.201,0.0,34.294,11.477,0.0,13.759,34.294,66.32,19.671,21.8,18.791,7.201,134.365,0.0,87.958,61.784,21.8,18.791,13.759
