,depot,INST0085_N8_W25_P000,INST0085_N8_W25_D000,INST0085_N8_W25_P001,INST0085_N8_W25_D001,INST0085_N8_W25_P002,INST0085_N8_W25_D002,INST0085_N8_W25_P003,INST0085_N8_W25_D003,INST0085_N8_W25_P004,INST0085_N8_W25_D004,INST0085_N8_W25_P005,INST0085_N8_W25_D005,INST0085_N8_W25_P006,INST0085_N8_W25_D006,INST0085_N8_W25_P007,INST0085_N8_W25_D007
depot,0.0,19.054,123.055,0.0,52.507,11.735,69.129,16.35,11.735,52.507,51.842,0.0,51.842,11.735,0.0,0.0,28.769
INST0085_N8_W25_P000,19.054,0.0,104.062,19.054,46.592,27.544,50.28,16.791,27.544,46.592,32.833,19.054,32.833,27.544,19.054,19.054,29.954
INST0085_N8_W25_D000,123.055,104.062,0.0,123.055,104.634,130.825,54.132,115.807,130.825,104.634,71.944,123.055,71.944,130.825,123.055,123.055,120.757
INST0085_N8_W25_P001,0.0,19.054,123.055,0.0,52.507,11.735,69.129,16.35,11.735,52.507,51.842,0.0,51.842,11.735,0.0,0.0,28.769
INST0085_N8_W25_D001,52.507,46.592,104.634,52.507,0.0,64.172,57.646,61.821,64.172,0.0,55.918,52.507,55.918,64.172,52.507,52.507,75.918
INST0085_N8_W25_P002,11.735,27.544,130.825,11.735,64.172,0.0,77.525,16.399,0.0,64.172,58.923,11.735,58.923,0.0,11.735,11.735,23.199
INST0085_N8_W25_D002,69.129,50.28,54.132,69.129,57.646,77.525,0.0,63.444,77.525,57.646,20.342,69.129,20.342,77.525,69.129,69.129,70.903
INST0085_N8_W25_P003,16.35,16.791,115.807,16.35,61.821,16.399,63.444,0.0,16.399,61.821,43.952,16.35,43.952,16.399,16.35,16.35,14.239
INST0085_N8_W25_D003,11.735,27.544,130.825,11.735,64.172,0.0,77.525,16.399,0.0,64.172,58.923,11.735,58.923,0.0,11.735,11.735,23.199
INST0085_N8_W25_P004,52.507,46.592,104.634,52.507,0.0,64.172,57.646,61.821,64.172,0.0,55.918,52.507,55.918,64.172,52.507,52.507,75.918
INST0085_N8_W25_D004,51.842,32.833,71.944,51.842,55.918,58.923,20.342,43.952,58.923,55.918,0.0,51.842,0.0,58.923,51.842,51.842,50.611
INST0085_N8_W25_P005,0.0,19.054,123.055,0.0,52.507,11.735,69.129,16.35,11.735,52.507,51.842,0.0,51.842,11.735,0.0,0.0,28.769
INST0085_N8_W25_D005,51.842,32.833,71.944,51.842,55.918,58.923,20.342,43.952,58.923,55.918,0.0,51.842,0.0,58.923,51.842,51.842,50.611
INST0085_N8_W25_P006,11.735,27.544,130.825,11.735,64.172,0.0,77.525,16.399,0.0,64.172,58.923,11.735,58.923,0.0,11.735,11.735,23.199
INST0085_N8_W25_D006,0.0,19.054,123.055,0.0,52.507,11.735,69.129,16.35,11.735,52.507,51.842,0.0,51.842,11.735,0.0,0.0,28.769
INST0085_N8_W25_P007,0.0,19.054,123.055,0.0,52.507,11.735,69.129,16.35,11.735,52.507,51.842,0.0,51.842,11.735,0.0,0.0,28.769
INST0085_N8_W25_D007,28.769,29.954,120.757,28.769,75.918,23.199,70.903,14.239,23.199,75.918,50.611,28.769,50.611,23.199,28.769,28.769,0.0
