,depot,INST0297_N25_N27_P000,INST0297_N25_N27_D000,INST0297_N25_N27_P001,INST0297_N25_N27_D001,INST0297_N25_N27_P002,INST0297_N25_N27_D002,INST0297_N25_N27_P003,INST0297_N25_N27_D003,INST0297_N25_N27_P004,INST0297_N25_N27_D004,INST0297_N25_N27_P005,INST0297_N25_N27_D005,INST0297_N25_N27_P006,INST0297_N25_N27_D006,INST0297_N25_N27_P007,INST0297_N25_N27_D007,INST0297_N25_N27_P008,INST0297_N25_N27_D008,INST0297_N25_N27_P009,INST0297_N25_N27_D009,INST0297_N25_N27_P010,INST0297_N25_N27_D010,INST0297_N25_N27_P011,INST0297_N25_N27_D011,INST0297_N25_N27_P012,INST0297_N25_N27_D012,INST0297_N25_N27_P013,INST0297_N25_N27_D013,INST0297_N25_N27_P014,INST0297_N25_N27_D014,INST0297_N25_N27_P015,INST0297_N25_N27_D015,INST0297_N25_N27_P016,INST0297_N25_N27_D016,INST0297_N25_N27_P017,INST0297_N25_N27_D017,INST0297_N25_N27_P018,INST0297_N25_N27_D018,INST0297_N25_N27_P019,INST0297_N25_N27_D019,INST0297_N25_N27_P020,INST0297_N25_N27_D020,INST0297_N25_N27_P021,INST0297_N25_N27_D021,INST0297_N25_N27_P022,INST0297_N25_N27_D022,INST0297_N25_N27_P023,INST0297_N25_N27_D023,INST0297_N25_N27_P024,INST0297_N25_N27_D024
depot,0.0,40.266,35.534,47.339,18.283,35.653,18.283,30.471,35.653,35.653,131.141,35.534,35.653,47.339,122.278,35.653,18.283,40.266,18.283,18.283,143.5,30.471,47.339,27.709,40.266,35.534,47.339,18.283,35.653,40.266,18.791,0.0,82.833,0.0,40.266,35.534,93.214,40.266,122.278,35.653,30.471,30.471,82.833,35.534,143.5,30.471,122.278,35.534,82.833,30.471,82.833
INST0297_N25_N27_P000,40.266,0.0,20.683,77.99,26.126,48.052,26.126,11.436,48.052,48.052,145.998,20.683,48.052,77.99,113.909,48.052,26.126,0.0,26.126,26.126,128.231,11.436,77.99,13.942,0.0,20.683,77.99,26.126,48.052,0.0,21.8,40.266,46.019,40.266,0.0,20.683,81.189,0.0,113.909,48.052,11.436,11.436,46.019,20.683,128.231,11.436,113.909,20.683,46.019,11.436,46.019
INST0297_N25_N27_D000,35.534,20.683,0.0,81.17,17.254,28.616,17.254,23.353,28.616,28.616,125.319,0.0,28.616,81.17,132.815,28.616,17.254,20.683,17.254,17.254,113.8,23.353,81.17,23.461,20.683,0.0,81.17,17.254,28.616,20.683,19.671,35.534,64.86,35.534,20.683,0.0,100.436,20.683,132.815,28.616,23.353,23.353,64.86,0.0,113.8,23.353,132.815,0.0,64.86,23.353,64.86
INST0297_N25_N27_P001,47.339,77.99,81.17,0.0,64.45,81.232,64.45,66.572,81.232,81.232,165.945,81.17,81.232,0.0,104.379,81.232,64.45,77.99,64.45,64.45,190.666,66.572,0.0,64.236,77.99,81.17,0.0,64.45,81.232,77.99,61.784,47.339,107.477,47.339,77.99,81.17,85.106,77.99,104.379,81.232,66.572,66.572,107.477,81.17,190.666,66.572,104.379,81.17,107.477,66.572,107.477
INST0297_N25_N27_D001,18.283,26.126,17.254,64.45,0.0,27.111,0.0,20.176,27.111,27.111,127.166,17.254,27.111,64.45,126.352,27.111,0.0,26.126,0.0,0.0,127.973,20.176,64.45,18.229,26.126,17.254,64.45,0.0,27.111,26.126,7.201,18.283,71.779,18.283,26.126,17.254,95.136,26.126,126.352,27.111,20.176,20.176,71.779,17.254,127.973,20.176,126.352,17.254,71.779,20.176,71.779
INST0297_N25_N27_P002,35.653,48.052,28.616,81.232,27.111,0.0,27.111,46.06,0.0,0.0,100.108,28.616,0.0,81.232,153.371,0.0,27.111,48.052,27.111,27.111,110.202,46.06,81.232,44.646,48.052,28.616,81.232,27.111,0.0,48.052,34.294,35.653,93.371,35.653,48.052,28.616,122.247,48.052,153.371,0.0,46.06,46.06,93.371,28.616,110.202,46.06,153.371,28.616,93.371,46.06,93.371
INST0297_N25_N27_D002,18.283,26.126,17.254,64.45,0.0,27.111,0.0,20.176,27.111,27.111,127.166,17.254,27.111,64.45,126.352,27.111,0.0,26.126,0.0,0.0,127.973,20.176,64.45,18.229,26.126,17.254,64.45,0.0,27.111,26.126,7.201,18.283,71.779,18.283,26.126,17.254,95.136,26.126,126.352,27.111,20.176,20.176,71.779,17.254,127.973,20.176,126.352,17.254,71.779,20.176,71.779
INST0297_N25_N27_P003,30.471,11.436,23.353,66.572,20.176,46.06,20.176,0.0,46.06,46.06,145.919,23.353,46.06,66.572,109.689,46.06,20.176,11.436,20.176,20.176,135.971,0.0,66.572,2.788,11.436,23.353,66.572,20.176,46.06,11.436,13.759,30.471,52.8,30.471,11.436,23.353,77.555,11.436,109.689,46.06,0.0,0.0,52.8,23.353,135.971,0.0,109.689,23.353,52.8,0.0,52.8
INST0297_N25_N27_D003,35.653,48.052,28.616,81.232,27.111,0.0,27.111,46.06,0.0,0.0,100.108,28.616,0.0,81.232,153.371,0.0,27.111,48.052,27.111,27.111,110.202,46.06,81.232,44.646,48.052,28.616,81.232,27.111,0.0,48.052,34.294,35.653,93.371,35.653,48.052,28.616,122.247,48.052,153.371,0.0,46.06,46.06,93.371,28.616,110.202,46.06,153.371,28.616,93.371,46.06,93.371
INST0297_N25_N27_P004,35.653,48.052,28.616,81.232,27.111,0.0,27.111,46.06,0.0,0.0,100.108,28.616,0.0,81.232,153.371,0.0,27.111,48.052,27.111,27.111,110.202,46.06,81.232,44.646,48.052,28.616,81.232,27.111,0.0,48.052,34.294,35.653,93.371,35.653,48.052,28.616,122.247,48.052,153.371,0.0,46.06,46.06,93.371,28.616,110.202,46.06,153.371,28.616,93.371,46.06,93.371
