,depot,INST0197_N18_S17_P000,INST0197_N18_S17_D000,INST0197_N18_S17_P001,INST0197_N18_S17_D001,INST0197_N18_S17_P002,INST0197_N18_S17_D002,INST0197_N18_S17_P003,INST0197_N18_S17_D003,INST0197_N18_S17_P004,INST0197_N18_S17_D004,INST0197_N18_S17_P005,INST0197_N18_S17_D005,INST0197_N18_S17_P006,INST0197_N18_S17_D006,INST0197_N18_S17_P007,INST0197_N18_S17_D007,INST0197_N18_S17_P008,INST0197_N18_S17_D008,INST0197_N18_S17_P009,INST0197_N18_S17_D009,INST0197_N18_S17_P010,INST0197_N18_S17_D010,INST0197_N18_S17_P011,INST0197_N18_S17_D011,INST0197_N18_S17_P012,INST0197_N18_S17_D012,INST0197_N18_S17_P013,INST0197_N18_S17_D013,INST0197_N18_S17_P014,INST0197_N18_S17_D014,INST0197_N18_S17_P015,INST0197_N18_S17_D015,INST0197_N18_S17_P016,INST0197_N18_S17_D016,INST0197_N18_S17_P017,INST0197_N18_S17_D017
depot,0.0,24.239,19.488,24.239,21.517,45.002,0.0,19.488,24.239,21.517,59.019,45.002,0.0,19.629,25.439,25.439,19.488,0.0,124.222,19.629,59.019,55.171,91.902,0.0,21.517,25.439,19.629,45.002,83.416,19.488,24.239,21.517,91.902,45.002,0.0,55.171,24.239
INST0197_N18_S17_P000,24.239,0.0,41.761,0.0,26.505,49.927,24.239,41.761,0.0,26.505,58.521,49.927,24.239,5.477,7.008,7.008,41.761,24.239,129.526,5.477,58.521,60.745,95.708,24.239,26.505,7.008,5.477,49.927,62.898,41.761,0.0,26.505,95.708,49.927,24.239,60.745,0.0
INST0197_N18_S17_D000,19.488,41.761,0.0,41.761,24.954,59.003,19.488,0.0,41.761,24.954,54.903,59.003,19.488,36.46,44.339,44.339,0.0,19.488,134.327,36.46,54.903,67.889,103.829,19.488,24.954,44.339,36.46,59.003,102.776,0.0,41.761,24.954,103.829,59.003,19.488,67.889,41.761
INST0197_N18_S17_P001,24.239,0.0,41.761,0.0,26.505,49.927,24.239,41.761,0.0,26.505,58.521,49.927,24.239,5.477,7.008,7.008,41.761,24.239,129.526,5.477,58.521,60.745,95.708,24.239,26.505,7.008,5.477,49.927,62.898,41.761,0.0,26.505,95.708,49.927,24.239,60.745,0.0
INST0197_N18_S17_D001,21.517,26.505,24.954,26.505,0.0,65.388,21.517,24.954,26.505,0.0,37.715,65.388,21.517,21.478,32.298,32.298,24.954,21.517,145.321,21.478,37.715,75.908,112.576,21.517,0.0,32.298,21.478,65.388,88.975,24.954,26.505,0.0,112.576,65.388,21.517,75.908,26.505
INST0197_N18_S17_P002,45.002,49.927,59.003,49.927,65.388,0.0,45.002,59.003,49.927,65.388,103.002,0.0,45.002,50.526,43.838,43.838,59.003,45.002,80.368,50.526,103.002,10.867,47.206,45.002,65.388,43.838,50.526,0.0,71.865,59.003,49.927,65.388,47.206,0.0,45.002,10.867,49.927
INST0197_N18_S17_D002,0.0,24.239,19.488,24.239,21.517,45.002,0.0,19.488,24.239,21.517,59.019,45.002,0.0,19.629,25.439,25.439,19.488,0.0,124.222,19.629,59.019,55.171,91.902,0.0,21.517,25.439,19.629,45.002,83.416,19.488,24.239,21.517,91.902,45.002,0.0,55.171,24.239
INST0197_N18_S17_P003,19.488,41.761,0.0,41.761,24.954,59.003,19.488,0.0,41.761,24.954,54.903,59.003,19.488,36.46,44.339,44.339,0.0,19.488,134.327,36.46,54.903,67.889,103.829,19.488,24.954,44.339,36.46,59.003,102.776,0.0,41.761,24.954,103.829,59.003,19.488,67.889,41.761
INST0197_N18_S17_D003,24.239,0.0,41.761,0.0,26.505,49.927,24.239,41.761,0.0,26.505,58.521,49.927,24.239,5.477,7.008,7.008,41.761,24.239,129.526,5.477,58.521,60.745,95.708,24.239,26.505,7.008,5.477,49.927,62.898,41.761,0.0,26.505,95.708,49.927,24.239,60.745,0.0
INST0197_N18_S17_P004,21.517,26.505,24.954,26.505,0.0,65.388,21.517,24.954,26.505,0.0,37.715,65.388,21.517,21.478,32.298,32.298,24.954,21.517,145.321,21.478,37.715,75.908,112.576,21.517,0.0,32.298,21.478,65.388,88.975,24.954,26.505,0.0,112.576,65.388,21.517,75.908,26.505
INST0197_N18_S17_D004,59.019,58.521,54.903,58.521,37.715,103.002,59.019,54.903,58.521,37.715,0.0,103.002,59.019,55.179,65.452,65.452,54.903,59.019,183.035,55.179,0.0,113.587,150.208,59.019,37.715,65.452,55.179,103.002,113.511,54.903,58.521,37.715,150.208,103.002,59.019,113.587,58.521
INST0197_N18_S17_P005,45.002,49.927,59.003,49.927,65.388,0.0,45.002,59.003,49.927,65.388,103.002,0.0,45.002,50.526,43.838,43.838,59.003,45.002,80.368,50.526,103.002,10.867,47.206,45.002,65.388,43.838,50.526,0.0,71.865,59.003,49.927,65.388,47.206,0.0,45.002,10.867,49.927
INST0197_N18_S17_D005,0.0,24.239,19.488,24.239,21.517,45.002,0.0,19.488,24.239,21.517,59.019,45.002,0.0,19.629,25.439,25.439,19.488,0.0,124.222,19.629,59.019,55.171,91.902,0.0,21.517,25.439,19.629,45.002,83.416,19.488,24.239,21.517,91.902,45.002,0.0,55.171,24.239
INST0197_N18_S17_P006,19.629,5.477,36.46,5.477,21.478,50.526,19.629,36.46,5.477,21.478,55.179,50.526,19.629,0.0,10.881,10.881,36.46,19.629,130.689,0.0,55.179,61.394,97.061,19.629,21.478,10.881,0.0,50.526,68.319,36.46,5.477,21.478,97.061,50.526,19.629,61.394,5.477
INST0197_N18_S17_D006,25.439,7.008,44.339,7.008,32.298,43.838,25.439,44.339,7.008,32.298,65.452,43.838,25.439,10.881,0.0,0.0,44.339,25.439,122.952,10.881,65.452,54.565,89.072,25.439,32.298,0.0,10.881,43.838,58.699,44.339,7.008,32.298,89.072,43.838,25.439,54.565,7.008
INST0197_N18_S17_P007,25.439,7.008,44.339,7.008,32.298,43.838,25.439,44.339,7.008,32.298,65.452,43.838,25.439,10.881,0.0,0.0,44.339,25.439,122.952,10.881,65.452,54.565,89.072,25.439,32.298,0.0,10.881,43.838,58.699,44.339,7.008,32.298,89.072,43.838,25.439,54.565,7.008
INST0197_N18_S17_D007,19.488,41.761,0.0,41.761,24.954,59.003,19.488,0.0,41.761,24.954,54.903,59.003,19.488,36.46,44.339,44.339,0.0,19.488,134.327,36.46,54.903,67.889,103.829,19.488,24.954,44.339,36.46,59.003,102.776,0.0,41.761,24.954,103.829,59.003,19.488,67.889,41.761
INST0197_N18_S17_P008,0.0,24.239,19.488,24.239,21.517,45.002,0.0,19.488,24.239,21.517,59.019,45.002,0.0,19.629,25.439,25.439,19.488,0.0,124.222,19.629,59.019,55.171,91.902,0.0,21.517,25.439,19.629,45.002,83.416,19.488,24.239,21.517,91.902,45.002,0.0,55.171,24.239
INST0197_N18_S17_D008,124.222,129.526,134.327,129.526,145.321,80.368,124.222,134.327,129.526,145.321,183.035,80.368,124.222,130.689,122.952,122.952,134.327,124.222,0.0,130.689,183.035,69.589,33.969,124.222,145.321,122.952,130.689,80.368,123.443,134.327,129.526,145.321,33.969,80.368,124.222,69.589,129.526
INST0197_N18_S17_P009,19.629,5.477,36.46,5.477,21.478,50.526,19.629,36.46,5.477,21.478,55.179,50.526,19.629,0.0,10.881,10.881,36.46,19.629,130.689,0.0,55.179,61.394,97.061,19.629,21.478,10.881,0.0,50.526,68.319,36.46,5.477,21.478,97.061,50.526,19.629,61.394,5.477
INST0197_N18_S17_D009,59.019,58.521,54.903,58.521,37.715,103.002,59.019,54.903,58.521,37.715,0.0,103.002,59.019,55.179,65.452,65.452,54.903,59.019,183.035,55.179,0.0,113.587,150.208,59.019,37.715,65.452,55.179,103.002,113.511,54.903,58.521,37.715,150.208,103.002,59.019,113.587,58.521
INST0197_N18_S17_P010,55.171,60.745,67.889,60.745,75.908,10.867,55.171,67.889,60.745,75.908,113.587,10.867,55.171,61.394,54.565,54.565,67.889,55.171,69.589,61.394,113.587,0.0,36.733,55.171,75.908,54.565,61.394,10.867,77.092,67.889,60.745,75.908,36.733,10.867,55.171,0.0,60.745
INST0197_N18_S17_D010,91.902,95.708,103.829,95.708,112.576,47.206,91.902,103.829,95.708,112.576,150.208,47.206,91.902,97.061,89.072,89.072,103.829,91.902,33.969,97.061,150.208,36.733,0.0,91.902,112.576,89.072,97.061,47.206,93.449,103.829,95.708,112.576,0.0,47.206,91.902,36.733,95.708
