,depot,INST0133_N12_W13_P000,INST0133_N12_W13_D000,INST0133_N12_W13_P001,INST0133_N12_W13_D001,INST0133_N12_W13_P002,INST0133_N12_W13_D002,INST0133_N12_W13_P003,INST0133_N12_W13_D003,INST0133_N12_W13_P004,INST0133_N12_W13_D004,INST0133_N12_W13_P005,INST0133_N12_W13_D005,INST0133_N12_W13_P006,INST0133_N12_W13_D006,INST0133_N12_W13_P007,INST0133_N12_W13_D007,INST0133_N12_W13_P008,INST0133_N12_W13_D008,INST0133_N12_W13_P009,INST0133_N12_W13_D009,INST0133_N12_W13_P010,INST0133_N12_W13_D010,INST0133_N12_W13_P011,INST0133_N12_W13_D011
depot,0.0,97.602,0.0,18.026,133.671,50.015,117.595,50.015,18.026,50.015,18.026,97.602,115.643,50.015,115.643,50.015,129.907,70.637,0.0,97.602,115.643,0.0,97.602,70.637,117.595
INST0133_N12_W13_P000,97.602,0.0,97.602,114.719,36.098,49.056,25.201,49.056,114.719,49.056,114.719,0.0,56.961,49.056,56.961,49.056,43.098,27.496,97.602,0.0,56.961,97.602,0.0,27.496,25.201
INST0133_N12_W13_D000,0.0,97.602,0.0,18.026,133.671,50.015,117.595,50.015,18.026,50.015,18.026,97.602,115.643,50.015,115.643,50.015,129.907,70.637,0.0,97.602,115.643,0.0,97.602,70.637,117.595
INST0133_N12_W13_P001,18.026,114.719,18.026,0.0,150.679,66.284,133.769,66.284,0.0,66.284,0.0,114.719,128.123,66.284,128.123,66.284,147.866,88.095,18.026,114.719,128.123,18.026,114.719,88.095,133.769
INST0133_N12_W13_D001,133.671,36.098,133.671,150.679,0.0,84.648,22.951,84.648,150.679,84.648,150.679,36.098,64.294,84.648,64.294,84.648,35.228,63.48,133.671,36.098,64.294,133.671,36.098,63.48,22.951
INST0133_N12_W13_P002,50.015,49.056,50.015,66.284,84.648,0.0,67.612,0.0,66.284,0.0,66.284,49.056,70.587,0.0,70.587,0.0,86.82,24.909,50.015,49.056,70.587,50.015,49.056,24.909,67.612
INST0133_N12_W13_D002,117.595,25.201,117.595,133.769,22.951,67.612,0.0,67.612,133.769,67.612,133.769,25.201,43.046,67.612,43.046,67.612,50.317,50.631,117.595,25.201,43.046,117.595,25.201,50.631,0.0
INST0133_N12_W13_P003,50.015,49.056,50.015,66.284,84.648,0.0,67.612,0.0,66.284,0.0,66.284,49.056,70.587,0.0,70.587,0.0,86.82,24.909,50.015,49.056,70.587,50.015,49.056,24.909,67.612
INST0133_N12_W13_D003,18.026,114.719,18.026,0.0,150.679,66.284,133.769,66.284,0.0,66.284,0.0,114.719,128.123,66.284,128.123,66.284,147.866,88.095,18.026,114.719,128.123,18.026,114.719,88.095,133.769
INST0133_N12_W13_P004,50.015,49.056,50.015,66.284,84.648,0.0,67.612,0.0,66.284,0.0,66.284,49.056,70.587,0.0,70.587,0.0,86.82,24.909,50.015,49.056,70.587,50.015,49.056,24.909,67.612
INST0133_N12_W13_D004,18.026,114.719,18.026,0.0,150.679,66.284,133.769,66.284,0.0,66.284,0.0,114.719,128.123,66.284,128.123,66.284,147.866,88.095,18.026,114.719,128.123,18.026,114.719,88.095,133.769
INST0133_N12_W13_P005,97.602,0.0,97.602,114.719,36.098,49.056,25.201,49.056,114.719,49.056,114.719,0.0,56.961,49.056,56.961,49.056,43.098,27.496,97.602,0.0,56.961,97.602,0.0,27.496,25.201
INST0133_N12_W13_D005,115.643,56.961,115.643,128.123,64.294,70.587,43.046,70.587,128.123,70.587,128.123,56.961,0.0,70.587,0.0,70.587,92.961,68.471,115.643,56.961,0.0,115.643,56.961,68.471,43.046
