,depot,INST0199_N18_W19_P000,INST0199_N18_W19_D000,INST0199_N18_W19_P001,INST0199_N18_W19_D001,INST0199_N18_W19_P002,INST0199_N18_W19_D002,INST0199_N18_W19_P003,INST0199_N18_W19_D003,INST0199_N18_W19_P004,INST0199_N18_W19_D004,INST0199_N18_W19_P005,INST0199_N18_W19_D005,INST0199_N18_W19_P006,INST0199_N18_W19_D006,INST0199_N18_W19_P007,INST0199_N18_W19_D007,INST0199_N18_W19_P008,INST0199_N18_W19_D008,INST0199_N18_W19_P009,INST0199_N18_W19_D009,INST0199_N18_W19_P010,INST0199_N18_W19_D010,INST0199_N18_W19_P011,INST0199_N18_W19_D011,INST0199_N18_W19_P012,INST0199_N18_W19_D012,INST0199_N18_W19_P013,INST0199_N18_W19_D013,INST0199_N18_W19_P014,INST0199_N18_W19_D014,INST0199_N18_W19_P015,INST0199_N18_W19_D015,INST0199_N18_W19_P016,INST0199_N18_W19_D016,INST0199_N18_W19_P017,INST0199_N18_W19_D017
depot,0.0,0.0,128.123,66.284,147.866,88.095,141.804,18.026,128.123,0.0,114.719,88.095,128.123,0.0,133.769,88.095,150.679,0.0,66.284,18.026,141.804,66.284,114.719,88.095,128.123,88.095,0.0,66.284,133.769,66.284,133.769,18.026,88.095,88.095,18.026,66.284,18.026
INST0199_N18_W19_P000,0.0,0.0,128.123,66.284,147.866,88.095,141.804,18.026,128.123,0.0,114.719,88.095,128.123,0.0,133.769,88.095,150.679,0.0,66.284,18.026,141.804,66.284,114.719,88.095,128.123,88.095,0.0,66.284,133.769,66.284,133.769,18.026,88.095,88.095,18.026,66.284,18.026
INST0199_N18_W19_D000,128.123,128.123,0.0,70.587,92.961,68.471,75.699,115.643,0.0,128.123,56.961,68.471,0.0,128.123,43.046,68.471,64.294,128.123,70.587,115.643,75.699,70.587,56.961,68.471,0.0,68.471,128.123,70.587,43.046,70.587,43.046,115.643,68.471,68.471,115.643,70.587,115.643
INST0199_N18_W19_P001,66.284,66.284,70.587,0.0,86.82,24.909,77.687,50.015,70.587,66.284,49.056,24.909,70.587,66.284,67.612,24.909,84.648,66.284,0.0,50.015,77.687,0.0,49.056,24.909,70.587,24.909,66.284,0.0,67.612,0.0,67.612,50.015,24.909,24.909,50.015,0.0,50.015
INST0199_N18_W19_D001,147.866,147.866,92.961,86.82,0.0,61.972,17.435,129.907,92.961,147.866,43.098,61.972,92.961,147.866,50.317,61.972,35.228,147.866,86.82,129.907,17.435,86.82,43.098,61.972,92.961,61.972,147.866,86.82,50.317,86.82,50.317,129.907,61.972,61.972,129.907,86.82,129.907
INST0199_N18_W19_P002,88.095,88.095,68.471,24.909,61.972,0.0,53.818,70.637,68.471,88.095,27.496,0.0,68.471,88.095,50.631,0.0,63.48,88.095,24.909,70.637,53.818,24.909,27.496,0.0,68.471,0.0,88.095,24.909,50.631,24.909,50.631,70.637,0.0,0.0,70.637,24.909,70.637
INST0199_N18_W19_D002,141.804,141.804,75.699,77.687,17.435,53.818,0.0,124.166,75.699,141.804,29.878,53.818,75.699,141.804,32.905,53.818,20.02,141.804,77.687,124.166,0.0,77.687,29.878,53.818,75.699,53.818,141.804,77.687,32.905,77.687,32.905,124.166,53.818,53.818,124.166,77.687,124.166
INST0199_N18_W19_P003,18.026,18.026,115.643,50.015,129.907,70.637,124.166,0.0,115.643,18.026,97.602,70.637,115.643,18.026,117.595,70.637,133.671,18.026,50.015,0.0,124.166,50.015,97.602,70.637,115.643,70.637,18.026,50.015,117.595,50.015,117.595,0.0,70.637,70.637,0.0,50.015,0.0
INST0199_N18_W19_D003,128.123,128.123,0.0,70.587,92.961,68.471,75.699,115.643,0.0,128.123,56.961,68.471,0.0,128.123,43.046,68.471,64.294,128.123,70.587,115.643,75.699,70.587,56.961,68.471,0.0,68.471,128.123,70.587,43.046,70.587,43.046,115.643,68.471,68.471,115.643,70.587,115.643
INST0199_N18_W19_P004,0.0,0.0,128.123,66.284,147.866,88.095,141.804,18.026,128.123,0.0,114.719,88.095,128.123,0.0,133.769,88.095,150.679,0.0,66.284,18.026,141.804,66.284,114.719,88.095,128.123,88.095,0.0,66.284,133.769,66.284,133.769,18.026,88.095,88.095,18.026,66.284,18.026
INST0199_N18_W19_D004,114.719,114.719,56.961,49.056,43.098,27.496,29.878,97.602,56.961,114.719,0.0,27.496,56.961,114.719,25.201,27.496,36.098,114.719,49.056,97.602,29.878,49.056,0.0,27.496,56.961,27.496,114.719,49.056,25.201,49.056,25.201,97.602,27.496,27.496,97.602,49.056,97.602
INST0199_N18_W19_P005,88.095,88.095,68.471,24.909,61.972,0.0,53.818,70.637,68.471,88.095,27.496,0.0,68.471,88.095,50.631,0.0,63.48,88.095,24.909,70.637,53.818,24.909,27.496,0.0,68.471,0.0,88.095,24.909,50.631,24.909,50.631,70.637,0.0,0.0,70.637,24.909,70.637
INST0199_N18_W19_D005,128.123,128.123,0.0,70.587,92.961,68.471,75.699,115.643,0.0,128.123,56.961,68.471,0.0,128.123,43.046,68.471,64.294,128.123,70.587,115.643,75.699,70.587,56.961,68.471,0.0,68.471,128.123,70.587,43.046,70.587,43.046,115.643,68.471,68.471,115.643,70.587,115.643
INST0199_N18_W19_P006,0.0,0.0,128.123,66.284,147.866,88.095,141.804,18.026,128.123,0.0,114.719,88.095,128.123,0.0,133.769,88.095,150.679,0.0,66.284,18.026,141.804,66.284,114.719,88.095,128.123,88.095,0.0,66.284,133.769,66.284,133.769,18.026,88.095,88.095,18.026,66.284,18.026
INST0199_N18_W19_D006,133.769,133.769,43.046,67.612,50.317,50.631,32.905,117.595,43.046,133.769,25.201,50.631,43.046,133.769,0.0,50.631,22.951,133.769,67.612,117.595,32.905,67.612,25.201,50.631,43.046,50.631,133.769,67.612,0.0,67.612,0.0,117.595,50.631,50.631,117.595,67.612,117.595
INST0199_N18_W19_P007,88.095,88.095,68.471,24.909,61.972,0.0,53.818,70.637,68.471,88.095,27.496,0.0,68.471,88.095,50.631,0.0,63.48,88.095,24.909,70.637,53.818,24.909,27.496,0.0,68.471,0.0,88.095,24.909,50.631,24.909,50.631,70.637,0.0,0.0,70.637,24.909,70.637
INST0199_N18_W19_D007,150.679,150.679,64.294,84.648,35.228,63.48,20.02,133.671,64.294,150.679,36.098,63.48,64.294,150.679,22.951,63.48,0.0,150.679,84.648,133.671,20.02,84.648,36.098,63.48,64.294,63.48,150.679,84.648,22.951,84.648,22.951,133.671,63.48,63.48,133.671,84.648,133.671
INST0199_N18_W19_P008,0.0,0.0,128.123,66.284,147.866,88.095,141.804,18.026,128.123,0.0,114.719,88.095,128.123,0.0,133.769,88.095,150.679,0.0,66.284,18.026,141.804,66.284,114.719,88.095,128.123,88.095,0.0,66.284,133.769,66.284,133.769,18.026,88.095,88.095,18.026,66.284,18.026
INST0199_N18_W19_D008,66.284,66.284,70.587,0.0,86.82,24.909,77.687,50.015,70.587,66.284,49.056,24.909,70.587,66.284,67.612,24.909,84.648,66.284,0.0,50.015,77.687,0.0,49.056,24.909,70.587,24.909,66.284,0.0,67.612,0.0,67.612,50.015,24.909,24.909,50.015,0.0,50.015
INST0199_N18_W19_P009,18.026,18.026,115.643,50.015,129.907,70.637,124.166,0.0,115.643,18.026,97.602,70.637,115.643,18.026,117.595,70.637,133.671,18.026,50.015,0.0,124.166,50.015,97.602,70.637,115.643,70.637,18.026,50.015,117.595,50.015,117.595,0.0,70.637,70.637,0.0,50.015,0.0
INST0199_N18_W19_D009,141.804,141.804,75.699,77.687,17.435,53.818,0.0,124.166,75.699,141.804,29.878,53.818,75.699,141.804,32.905,53.818,20.02,141.804,77.687,124.166,0.0,77.687,29.878,53.818,75.699,53.818,141.804,77.687,32.905,77.687,32.905,124.166,53.818,53.818,124.166,77.687,124.166
INST0199_N18_W19_P010,66.284,66.284,70.587,0.0,86.82,24.909,77.687,50.015,70.587,66.284,49.056,24.909,70.587,66.284,67.612,24.909,84.648,66.284,0.0,50.015,77.687,0.0,49.056,24.909,70.587,24.909,66.284,0.0,67.612,0.0,67.612,50.015,24.909,24.909,50.015,0.0,50.015
INST0199_N18_W19_D010,114.719,114.719,56.961,49.056,43.098,27.496,29.878,97.602,56.961,114.719,0.0,27.496,56.961,114.719,25.201,27.496,36.098,114.719,49.056,97.602,29.878,49.056,0.0,27.496,56.961,27.496,114.719,49.056,25.201,49.056,25.201,97.602,27.496,27.496,97.602,49.056,97.602
