,depot,INST0123_N12_N03_P000,INST0123_N12_N03_D000,INST0123_N12_N03_P001,INST0123_N12_N03_D001,INST0123_N12_N03_P002,INST0123_N12_N03_D002,INST0123_N12_N03_P003,INST0123_N12_N03_D003,INST0123_N12_N03_P004,INST0123_N12_N03_D004,INST0123_N12_N03_P005,INST0123_N12_N03_D005,INST0123_N12_N03_P006,INST0123_N12_N03_D006,INST0123_N12_N03_P007,INST0123_N12_N03_D007,INST0123_N12_N03_P008,INST0123_N12_N03_D008,INST0123_N12_N03_P009,INST0123_N12_N03_D009,INST0123_N12_N03_P010,INST0123_N12_N03_D010,INST0123_N12_N03_P011,INST0123_N12_N03_D011
depot,0.0,37.312,3.413,56.4,0.0,64.653,3.413,24.705,28.595,16.848,3.413,94.965,56.4,24.705,178.677,3.413,81.517,3.413,28.595,0.0,14.003,24.705,56.4,37.312,28.595
INST0123_N12_N03_P000,37.312,0.0,33.929,43.657,37.312,101.428,33.929,22.387,43.511,23.01,33.929,114.14,43.657,22.387,160.581,33.929,57.966,33.929,43.511,37.312,49.306,22.387,43.657,0.0,43.511
INST0123_N12_N03_D000,3.413,33.929,0.0,54.669,3.413,67.88,0.0,22.322,28.727,14.053,0.0,95.867,54.669,22.322,177.15,0.0,78.656,0.0,28.727,3.413,17.072,22.322,54.669,33.929,28.727
INST0123_N12_N03_P001,56.4,43.657,54.669,0.0,56.4,114.332,54.669,33.197,35.041,41.993,54.669,149.69,0.0,33.197,122.582,54.669,99.467,54.669,35.041,56.4,58.839,33.197,0.0,43.657,35.041
INST0123_N12_N03_D001,0.0,37.312,3.413,56.4,0.0,64.653,3.413,24.705,28.595,16.848,3.413,94.965,56.4,24.705,178.677,3.413,81.517,3.413,28.595,0.0,14.003,24.705,56.4,37.312,28.595
INST0123_N12_N03_P002,64.653,101.428,67.88,114.332,64.653,0.0,67.88,87.893,79.42,81.208,67.88,79.694,114.332,87.893,229.986,67.88,131.605,67.88,79.42,64.653,56.35,87.893,114.332,101.428,79.42
INST0123_N12_N03_D002,3.413,33.929,0.0,54.669,3.413,67.88,0.0,22.322,28.727,14.053,0.0,95.867,54.669,22.322,177.15,0.0,78.656,0.0,28.727,3.413,17.072,22.322,54.669,33.929,28.727
INST0123_N12_N03_P003,24.705,22.387,22.322,33.197,24.705,87.893,22.322,0.0,21.127,8.817,22.322,116.493,33.197,0.0,155.714,22.322,78.919,22.322,21.127,24.705,31.992,0.0,33.197,22.387,21.127
INST0123_N12_N03_D003,28.595,43.511,28.727,35.041,28.595,79.42,28.727,21.127,0.0,24.088,28.727,122.983,35.041,21.127,153.452,28.727,99.392,28.727,0.0,28.595,25.326,21.127,35.041,43.511,0.0
INST0123_N12_N03_P004,16.848,23.01,14.053,41.993,16.848,81.208,14.053,8.817,24.088,0.0,14.053,107.703,41.993,8.817,164.529,14.053,75.654,14.053,24.088,16.848,26.694,8.817,41.993,23.01,24.088
INST0123_N12_N03_D004,3.413,33.929,0.0,54.669,3.413,67.88,0.0,22.322,28.727,14.053,0.0,95.867,54.669,22.322,177.15,0.0,78.656,0.0,28.727,3.413,17.072,22.322,54.669,33.929,28.727
INST0123_N12_N03_P005,94.965,114.14,95.867,149.69,94.965,79.694,95.867,116.493,122.983,107.703,95.867,0.0,149.69,116.493,272.117,95.867,104.211,95.867,122.983,94.965,99.415,116.493,149.69,114.14,122.983
INST0123_N12_N03_D005,56.4,43.657,54.669,0.0,56.4,114.332,54.669,33.197,35.041,41.993,54.669,149.69,0.0,33.197,122.582,54.669,99.467,54.669,35.041,56.4,58.839,33.197,0.0,43.657,35.041
INST0123_N12_N03_P006,24.705,22.387,22.322,33.197,24.705,87.893,22.322,0.0,21.127,8.817,22.322,116.493,33.197,0.0,155.714,22.322,78.919,22.322,21.127,24.705,31.992,0.0,33.197,22.387,21.127
INST0123_N12_N03_D006,178.677,160.581,177.15,122.582,178.677,229.986,177.15,155.714,153.452,164.529,177.15,272.117,122.582,155.714,0.0,177.15,203.198,177.15,153.452,178.677,178.773,155.714,122.582,160.581,153.452
INST0123_N12_N03_P007,3.413,33.929,0.0,54.669,3.413,67.88,0.0,22.322,28.727,14.053,0.0,95.867,54.669,22.322,177.15,0.0,78.656,0.0,28.727,3.413,17.072,22.322,54.669,33.929,28.727
INST0123_N12_N03_D007,81.517,57.966,78.656,99.467,81.517,131.605,78.656,78.919,99.392,75.654,78.656,104.211,99.467,78.919,203.198,78.656,0.0,78.656,99.392,81.517,95.498,78.919,99.467,57.966,99.392
INST0123_N12_N03_P008,3.413,33.929,0.0,54.669,3.413,67.88,0.0,22.322,28.727,14.053,0.0,95.867,54.669,22.322,177.15,0.0,78.656,0.0,28.727,3.413,17.072,22.322,54.669,33.929,28.727
INST0123_N12_N03_D008,28.595,43.511,28.727,35.041,28.595,79.42,28.727,21.127,0.0,24.088,28.727,122.983,35.041,21.127,153.452,28.727,99.392,28.727,0.0,28.595,25.326,21.127,35.041,43.511,0.0
INST0123_N12_N03_P009,0.0,37.312,3.413,56.4,0.0,64.653,3.413,24.705,28.595,16.848,3.413,94.965,56.4,24.705,178.677,3.413,81.517,3.413,28.595,0.0,14.003,24.705,56.4,37.312,28.595
