,depot,INST0266_N22_S26_P000,INST0266_N22_S26_D000,INST0266_N22_S26_P001,INST0266_N22_S26_D001,INST0266_N22_S26_P002,INST0266_N22_S26_D002,INST0266_N22_S26_P003,INST0266_N22_S26_D003,INST0266_N22_S26_P004,INST0266_N22_S26_D004,INST0266_N22_S26_P005,INST0266_N22_S26_D005,INST0266_N22_S26_P006,INST0266_N22_S26_D006,INST0266_N22_S26_P007,INST0266_N22_S26_D007,INST0266_N22_S26_P008,INST0266_N22_S26_D008,INST0266_N22_S26_P009,INST0266_N22_S26_D009,INST0266_N22_S26_P010,INST0266_N22_S26_D010,INST0266_N22_S26_P011,INST0266_N22_S26_D011,INST0266_N22_S26_P012,INST0266_N22_S26_D012,INST0266_N22_S26_P013,INST0266_N22_S26_D013,INST0266_N22_S26_P014,INST0266_N22_S26_D014,INST0266_N22_S26_P015,INST0266_N22_S26_D015,INST0266_N22_S26_P016,INST0266_N22_S26_D016,INST0266_N22_S26_P017,INST0266_N22_S26_D017,INST0266_N22_S26_P018,INST0266_N22_S26_D018,INST0266_N22_S26_P019,INST0266_N22_S26_D019,INST0266_N22_S26_P020,INST0266_N22_S26_D020,INST0266_N22_S26_P021,INST0266_N22_S26_D021
depot,0.0,80.067,39.549,32.455,0.0,0.0,137.848,92.948,39.549,80.067,26.348,80.067,30.556,26.348,137.848,30.556,26.348,26.3,80.067,92.948,177.944,92.948,30.556,26.348,108.949,26.3,0.0,80.067,30.556,0.0,80.067,30.556,32.455,32.455,92.948,46.181,30.556,32.455,30.556,26.348,92.948,32.455,92.948,39.549,26.3
INST0266_N22_S26_P000,80.067,0.0,53.679,61.135,80.067,80.067,57.803,13.307,53.679,0.0,55.105,0.0,72.248,55.105,57.803,72.248,55.105,61.869,0.0,13.307,98.41,13.307,72.248,55.105,87.998,61.869,80.067,0.0,72.248,80.067,0.0,72.248,61.135,61.135,13.307,126.125,72.248,61.135,72.248,55.105,13.307,61.135,13.307,53.679,61.869
INST0266_N22_S26_D000,39.549,53.679,0.0,8.581,39.549,39.549,109.068,66.815,0.0,53.679,31.149,53.679,54.293,31.149,109.068,54.293,31.149,13.324,53.679,66.815,150.553,66.815,54.293,31.149,71.877,13.324,39.549,53.679,54.293,39.549,53.679,54.293,8.581,8.581,66.815,80.145,54.293,8.581,54.293,31.149,66.815,8.581,66.815,0.0,13.324
INST0266_N22_S26_P001,32.455,61.135,8.581,0.0,32.455,32.455,117.194,74.382,8.581,61.135,29.68,61.135,51.136,29.68,117.194,51.136,29.68,6.707,61.135,74.382,158.604,74.382,51.136,29.68,77.018,6.707,32.455,61.135,51.136,32.455,61.135,51.136,0.0,0.0,74.382,71.658,51.136,0.0,51.136,29.68,74.382,0.0,74.382,8.581,6.707
INST0266_N22_S26_D001,0.0,80.067,39.549,32.455,0.0,0.0,137.848,92.948,39.549,80.067,26.348,80.067,30.556,26.348,137.848,30.556,26.348,26.3,80.067,92.948,177.944,92.948,30.556,26.348,108.949,26.3,0.0,80.067,30.556,0.0,80.067,30.556,32.455,32.455,92.948,46.181,30.556,32.455,30.556,26.348,92.948,32.455,92.948,39.549,26.3
INST0266_N22_S26_P002,0.0,80.067,39.549,32.455,0.0,0.0,137.848,92.948,39.549,80.067,26.348,80.067,30.556,26.348,137.848,30.556,26.348,26.3,80.067,92.948,177.944,92.948,30.556,26.348,108.949,26.3,0.0,80.067,30.556,0.0,80.067,30.556,32.455,32.455,92.948,46.181,30.556,32.455,30.556,26.348,92.948,32.455,92.948,39.549,26.3
INST0266_N22_S26_D002,137.848,57.803,109.068,117.194,137.848,137.848,0.0,44.98,109.068,57.803,112.533,57.803,127.137,112.533,0.0,127.137,112.533,118.85,57.803,44.98,41.594,44.98,127.137,112.533,114.428,118.85,137.848,57.803,127.137,137.848,57.803,127.137,117.194,117.194,44.98,183.928,127.137,117.194,127.137,112.533,44.98,117.194,44.98,109.068,118.85
INST0266_N22_S26_P003,92.948,13.307,66.815,74.382,92.948,92.948,44.98,0.0,66.815,13.307,67.557,13.307,83.129,67.557,44.98,83.129,67.557,75.176,13.307,0.0,85.211,0.0,83.129,67.557,94.398,75.176,92.948,13.307,83.129,92.948,13.307,83.129,74.382,74.382,0.0,139.086,83.129,74.382,83.129,67.557,0.0,74.382,0.0,66.815,75.176
INST0266_N22_S26_D003,39.549,53.679,0.0,8.581,39.549,39.549,109.068,66.815,0.0,53.679,31.149,53.679,54.293,31.149,109.068,54.293,31.149,13.324,53.679,66.815,150.553,66.815,54.293,31.149,71.877,13.324,39.549,53.679,54.293,39.549,53.679,54.293,8.581,8.581,66.815,80.145,54.293,8.581,54.293,31.149,66.815,8.581,66.815,0.0,13.324
INST0266_N22_S26_P004,80.067,0.0,53.679,61.135,80.067,80.067,57.803,13.307,53.679,0.0,55.105,0.0,72.248,55.105,57.803,72.248,55.105,61.869,0.0,13.307,98.41,13.307,72.248,55.105,87.998,61.869,80.067,0.0,72.248,80.067,0.0,72.248,61.135,61.135,13.307,126.125,72.248,61.135,72.248,55.105,13.307,61.135,13.307,53.679,61.869
