,depot,INST0075_N8_N15_P000,INST0075_N8_N15_D000,INST0075_N8_N15_P001,INST0075_N8_N15_D001,INST0075_N8_N15_P002,INST0075_N8_N15_D002,INST0075_N8_N15_P003,INST0075_N8_N15_D003,INST0075_N8_N15_P004,INST0075_N8_N15_D004,INST0075_N8_N15_P005,INST0075_N8_N15_D005,INST0075_N8_N15_P006,INST0075_N8_N15_D006,INST0075_N8_N15_P007,INST0075_N8_N15_D007
depot,0.0,8.817,164.529,0.0,16.848,26.694,81.208,23.01,14.053,75.654,24.088,16.848,81.208,14.053,26.694,75.654,24.088
INST0075_N8_N15_P000,8.817,0.0,155.714,8.817,24.705,31.992,87.893,22.387,22.322,78.919,21.127,24.705,87.893,22.322,31.992,78.919,21.127
INST0075_N8_N15_D000,164.529,155.714,0.0,164.529,178.677,178.773,229.986,160.581,177.15,203.198,153.452,178.677,229.986,177.15,178.773,203.198,153.452
INST0075_N8_N15_P001,0.0,8.817,164.529,0.0,16.848,26.694,81.208,23.01,14.053,75.654,24.088,16.848,81.208,14.053,26.694,75.654,24.088
INST0075_N8_N15_D001,16.848,24.705,178.677,16.848,0.0,14.003,64.653,37.312,3.413,81.517,28.595,0.0,64.653,3.413,14.003,81.517,28.595
INST0075_N8_N15_P002,26.694,31.992,178.773,26.694,14.003,0.0,56.35,49.306,17.072,95.498,25.326,14.003,56.35,17.072,0.0,95.498,25.326
INST0075_N8_N15_D002,81.208,87.893,229.986,81.208,64.653,56.35,0.0,101.428,67.88,131.605,79.42,64.653,0.0,67.88,56.35,131.605,79.42
INST0075_N8_N15_P003,23.01,22.387,160.581,23.01,37.312,49.306,101.428,0.0,33.929,57.966,43.511,37.312,101.428,33.929,49.306,57.966,43.511
INST0075_N8_N15_D003,14.053,22.322,177.15,14.053,3.413,17.072,67.88,33.929,0.0,78.656,28.727,3.413,67.88,0.0,17.072,78.656,28.727
INST0075_N8_N15_P004,75.654,78.919,203.198,75.654,81.517,95.498,131.605,57.966,78.656,0.0,99.392,81.517,131.605,78.656,95.498,0.0,99.392
INST0075_N8_N15_D004,24.088,21.127,153.452,24.088,28.595,25.326,79.42,43.511,28.727,99.392,0.0,28.595,79.42,28.727,25.326,99.392,0.0
INST0075_N8_N15_P005,16.848,24.705,178.677,16.848,0.0,14.003,64.653,37.312,3.413,81.517,28.595,0.0,64.653,3.413,14.003,81.517,28.595
INST0075_N8_N15_D005,81.208,87.893,229.986,81.208,64.653,56.35,0.0,101.428,67.88,131.605,79.42,64.653,0.0,67.88,56.35,131.605,79.42
INST0075_N8_N15_P006,14.053,22.322,177.15,14.053,3.413,17.072,67.88,33.929,0.0,78.656,28.727,3.413,67.88,0.0,17.072,78.656,28.727
INST0075_N8_N15_D006,26.694,31.992,178.773,26.694,14.003,0.0,56.35,49.306,17.072,95.498,25.326,14.003,56.35,17.072,0.0,95.498,25.326
INST0075_N8_N15_P007,75.654,78.919,203.198,75.654,81.517,95.498,131.605,57.966,78.656,0.0,99.392,81.517,131.605,78.656,95.498,0.0,99.392
INST0075_N8_N15_D007,24.088,21.127,153.452,24.088,28.595,25.326,79.42,43.511,28.727,99.392,0.0,28.595,79.42,28.727,25.326,99.392,0.0
