,depot,INST0080_N8_S20_P000,INST0080_N8_S20_D000,INST0080_N8_S20_P001,INST0080_N8_S20_D001,INST0080_N8_S20_P002,INST0080_N8_S20_D002,INST0080_N8_S20_P003,INST0080_N8_S20_D003,INST0080_N8_S20_P004,INST0080_N8_S20_D004,INST0080_N8_S20_P005,INST0080_N8_S20_D005,INST0080_N8_S20_P006,INST0080_N8_S20_D006,INST0080_N8_S20_P007,INST0080_N8_S20_D007
depot,0.0,0.0,44.645,75.176,13.324,44.645,6.707,26.3,24.036,44.645,24.036,13.324,83.656,13.324,160.028,0.0,118.85
INST0080_N8_S20_P000,0.0,0.0,44.645,75.176,13.324,44.645,6.707,26.3,24.036,44.645,24.036,13.324,83.656,13.324,160.028,0.0,118.85
INST0080_N8_S20_D000,44.645,44.645,0.0,83.129,54.293,0.0,51.136,30.556,23.863,0.0,23.863,54.293,125.848,54.293,164.482,44.645,127.137
INST0080_N8_S20_P001,75.176,75.176,83.129,0.0,66.815,83.129,74.382,92.948,67.557,83.129,67.557,66.815,94.398,66.815,85.211,75.176,44.98
INST0080_N8_S20_D001,13.324,13.324,54.293,66.815,0.0,54.293,8.581,39.549,31.149,54.293,31.149,0.0,71.877,0.0,150.553,13.324,109.068
INST0080_N8_S20_P002,44.645,44.645,0.0,83.129,54.293,0.0,51.136,30.556,23.863,0.0,23.863,54.293,125.848,54.293,164.482,44.645,127.137
INST0080_N8_S20_D002,6.707,6.707,51.136,74.382,8.581,51.136,0.0,32.455,29.68,51.136,29.68,8.581,77.018,8.581,158.604,6.707,117.194
INST0080_N8_S20_P003,26.3,26.3,30.556,92.948,39.549,30.556,32.455,0.0,26.348,30.556,26.348,39.549,108.949,39.549,177.944,26.3,137.848
INST0080_N8_S20_D003,24.036,24.036,23.863,67.557,31.149,23.863,29.68,26.348,0.0,23.863,0.0,31.149,102.142,31.149,152.108,24.036,112.533
INST0080_N8_S20_P004,44.645,44.645,0.0,83.129,54.293,0.0,51.136,30.556,23.863,0.0,23.863,54.293,125.848,54.293,164.482,44.645,127.137
INST0080_N8_S20_D004,24.036,24.036,23.863,67.557,31.149,23.863,29.68,26.348,0.0,23.863,0.0,31.149,102.142,31.149,152.108,24.036,112.533
INST0080_N8_S20_P005,13.324,13.324,54.293,66.815,0.0,54.293,8.581,39.549,31.149,54.293,31.149,0.0,71.877,0.0,150.553,13.324,109.068
INST0080_N8_S20_D005,83.656,83.656,125.848,94.398,71.877,125.848,77.018,108.949,102.142,125.848,102.142,71.877,0.0,71.877,151.155,83.656,114.428
INST0080_N8_S20_P006,13.324,13.324,54.293,66.815,0.0,54.293,8.581,39.549,31.149,54.293,31.149,0.0,71.877,0.0,150.553,13.324,109.068
INST0080_N8_S20_D006,160.028,160.028,164.482,85.211,150.553,164.482,158.604,177.944,152.108,164.482,152.108,150.553,151.155,150.553,0.0,160.028,41.594
INST0080_N8_S20_P007,0.0,0.0,44.645,75.176,13.324,44.645,6.707,26.3,24.036,44.645,24.036,13.324,83.656,13.324,160.028,0.0,118.85
INST0080_N8_S20_D007,118.85,118.85,127.137,44.98,109.068,127.137,117.194,137.848,112.533,127.137,112.533,109.068,114.428,109.068,41.594,118.85,0.0
